OID_,AREA_HA,CUSTOMCODE,LANDCOVER_,EVT_NICK,EVT_NAME,IPCC_SOIL,SOC,TOTAL_MASS,TOT_MASS,N2O_EMISSI,CH4_EMISSI,gridcode14
,2.97,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,Sandy,18.252,0,5.4,-4.41,0,4005
,116.64,5,Urban,Urban,Western Warm Temperate Urban Herbaceous,NA,27.126,0,14.4,0,0,4819
,58.77,4,Urban,Developed,Western Warm Temperate Urban Herbaceous,NA,27.126,0,14.4,0,0,2671
,81.99,5,Urban,Urban,Western Warm Temperate Urban Herbaceous,Wetland,49.446,0,14.4,0,0,4620
,0.9,4,Urban,Developed,Western Cool Temperate Urban Herbaceous,Sandy,27.126,0,14.4,0,0,290
,7.2,4,Urban,Developed,Western Cool Temperate Urban Herbaceous,HAC,38.016,0,14.4,0,0,110
,2.52,4,Urban,Developed,Western Cool Temperate Urban Herbaceous,LAC,36.18,0,14.4,0,0,684
,0.09,11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Urban Herbaceous,LAC,21.564,0,5.4,-4.41,0,1712
,5.22,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,1529
,0.18,4,Urban,Developed,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,14.4,0,0,3603
,61.56,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,HAC,31.657374,0,3.6,-4.626,0,1060
,69.75,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Wetland,39.731292,0,3.6,-4.626,0,1138
,7.92,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,HAC,30.33,0,30.744,-3.546,0,1512
,31.95,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,HAC,26.532,0,5.4,-4.41,0,1145
,6.03,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,Sandy,21.168,0,30.744,-3.546,0,3348
,2.88,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,3.6,-0.107982,0,3962
,2.97,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,5.4,0,-6.6735,4661
,1.8,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,Wetland,38.412,0,30.744,-3.546,0,5164
,0.27,11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Urban Herbaceous,HAC,26.532,0,5.4,-4.41,0,117
,16.11,9,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,HAC,31.657374,0,3.6,-4.626,0,7509
,0.63,0,Wetland,Wetland,Western Cool Temperate Row Crop,HAC,38.016,0,5.4,0,-6.6735,6739
,1.17,2,Grassland,Grassland,Western Cool Temperate Row Crop,HAC,38.016,0,3.6,-0.107982,0,743
,0.72,7,Orchard,Orchard,Western Cool Temperate Row Crop,HAC,30.33,0,30.744,-3.546,0,484
,0.45,3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,Sandy,22.504536,0,3.6,-4.626,0,1519
,2.25,11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Row Crop,HAC,26.532,0,5.4,-4.41,0,753
,0.09,7,Orchard,Orchard,Western Cool Temperate Row Crop,LAC,30.528,0,30.744,-3.546,0,2286
,0.81,3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,NA,22.504536,0,3.6,-4.626,0,1050
,1.26,3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,HAC,31.657374,0,3.6,-4.626,0,658
,0.09,3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,Wetland,39.731292,0,3.6,-4.626,0,772
,0.18,11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Row Crop,LAC,21.564,0,5.4,-4.41,0,1598
,0.54,3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,LAC,31.855176,0,3.6,-4.626,0,2376
,0.63,0,Wetland,Wetland,Western Cool Temperate Row Crop,Wetland,49.446,0,5.4,0,-6.6735,5592
,9.54,3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,6659
,0.09,10,Rice,Rice,Western Warm Temperate Pasture and Hayland,Wetland,39.731292,0,1.8,-0.5148,-7.866,7074
,0.9,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,NA,27.126,0,5.4,0,-6.6735,6985
,0.18,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,NA,22.504536,0,3.6,-4.626,0,7269
,0.18,4,Urban,Developed,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,14.4,0,0,6544
,0.09,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,5.4,0,-6.6735,7007
,19.44,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,3217
,18.63,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Sandy,22.504536,0,3.6,-4.626,0,2456
,0.45,3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,3.6,-0.107982,0,3061
,148.77,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,Wetland,33.39,0,5.4,-4.41,0,3390
,7.38,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,LAC,31.855176,0,3.6,-4.626,0,2449
,0.45,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,LAC,30.528,0,30.744,-3.546,0,3069
,1.17,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,LAC,21.564,0,5.4,-4.41,0,2557
,0.09,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,3.6,-0.107982,0,3164
,0.18,4,Urban,Developed,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,14.4,0,0,4792
,0.72,3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,2604
,48.33,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,5.4,0,-6.6735,5329
,7.29,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,5.4,0,-6.6735,4386
,28.98,2,Grassland,Grassland,California Northern Coastal Grassland,NA,27.126,26.676,3.6,-0.107982,0,6994
,11.52,2,Grassland,Grassland,California Northern Coastal Grassland,HAC,38.016,26.676,3.6,-0.107982,0,6993
,13.5,3131,Grassland,Grassland,California Northern Coastal Grassland,HAC,38.016,26.676,3.6,-0.107982,0,7000
,26.19,3131,Grassland,Grassland,California Northern Coastal Grassland,NA,27.126,26.676,3.6,-0.107982,0,6998
,0.09,3131,Grassland,Grassland,California Northern Coastal Grassland,LAC,36.18,26.676,3.6,-0.107982,0,7634
,0.18,3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,NA,27.126,721.35,360.675,0,0,7611
,3.24,3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,HAC,38.016,721.35,360.675,0,0,7282
,0.09,9,Annual Cropland,Annual Cropland,California Montane Riparian Systems,LAC,31.855176,660.546,3.6,-4.626,0,6376
,0.09,2,Grassland,Grassland,California Montane Riparian Systems,NA,27.126,660.546,3.6,-0.107982,0,7612
,15.84,3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,HAC,38.016,660.546,330.273,0,0,7045
,1.26,3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,NA,27.126,660.546,330.273,0,0,7340
,0.45,2,Grassland,Grassland,California Montane Riparian Systems,LAC,36.18,660.546,3.6,-0.107982,0,1316
,4.95,2,Grassland,Grassland,California Montane Riparian Systems,HAC,38.016,660.546,3.6,-0.107982,0,4017
,0.27,7,Orchard,Orchard,California Montane Riparian Systems,HAC,30.33,660.546,30.744,-3.546,0,450
,0.09,8,Vineyard,Vineyard,California Montane Riparian Systems,Wetland,38.412,660.546,5.22,-1.638,0,4464
,0.09,2,Grassland,Grassland,California Montane Riparian Systems,Wetland,49.446,660.546,3.6,-0.107982,0,4384
,0.18,11,Irrigated Pasture,Irrigated Pasture,California Montane Riparian Systems,HAC,26.532,660.546,5.4,-4.41,0,2692
,5.85,5,Urban,Urban,Barren,LAC,36.18,7.542,14.4,0,0,5687
,30.33,5,Urban,Urban,Barren,Sandy,27.126,7.542,14.4,0,0,4105
,1224.09,4,Barren,Barren,Barren,HAC,38.016,7.542,3.771,0,0,936
,353.79,4,Barren,Barren,Barren,LAC,36.18,7.542,3.771,0,0,1466
,232.47,4,Barren,Barren,Barren,NA,27.126,7.542,3.771,0,0,1861
,1222.56,4,Barren,Barren,Barren,Wetland,49.446,7.542,3.771,0,0,1465
,1191.69,4,Barren,Barren,Barren,Sandy,27.126,7.542,3.771,0,0,1446
,3.42,11,Irrigated Pasture,Irrigated Pasture,Barren,Sandy,18.252,7.542,5.4,-4.41,0,1717
,7.38,11,Irrigated Pasture,Irrigated Pasture,Barren,Wetland,33.39,7.542,5.4,-4.41,0,1716
,1.53,11,Irrigated Pasture,Irrigated Pasture,Barren,NA,18.252,7.542,5.4,-4.41,0,5457
,7.2,5,Urban,Urban,Barren,Wetland,49.446,7.542,14.4,0,0,5374
,32.76,5,Urban,Urban,Barren,HAC,38.016,7.542,14.4,0,0,5335
,3.6,11,Irrigated Pasture,Irrigated Pasture,Barren,HAC,26.532,7.542,5.4,-4.41,0,2653
,11.34,5,Urban,Urban,Barren,NA,27.126,7.542,14.4,0,0,4872
,2.43,11,Irrigated Pasture,Irrigated Pasture,Barren,LAC,21.564,7.542,5.4,-4.41,0,2657
,0.27,4,Urban,Developed,Mediterranean California Sparsely Vegetated Systems,NA,27.126,13.32,14.4,0,0,7310
,0.63,4,Urban,Developed,Mediterranean California Sparsely Vegetated Systems,HAC,38.016,13.32,14.4,0,0,7190
,0.27,4,Urban,Developed,Mediterranean California Sparsely Vegetated Systems,LAC,36.18,13.32,14.4,0,0,7187
,0.09,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,NA,27.126,0,3.6,-0.107982,0,6359
,0.09,5,Urban,Urban,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,14.4,0,0,7172
,0.18,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,NA,21.168,0,30.744,-3.546,0,7266
,19.62,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,1016
,94.68,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Wetland,39.731292,0,3.6,-4.626,0,1139
