OBJECTID,FREQUENCY,pointid
-1,1,26370
-1,1,26371
-1,1,26372
-1,1,26373
-1,1,26374
-1,1,26375
-1,1,26376
-1,1,26377
-1,1,26378
-1,1,26379
-1,1,26380
-1,1,26417
-1,1,26418
-1,1,26419
-1,1,26420
-1,1,26421
-1,1,26422
-1,1,26423
-1,1,26424
-1,1,26425
-1,1,26426
-1,1,26427
-1,1,26466
-1,1,26467
-1,1,26468
-1,1,26469
-1,1,26470
-1,1,26471
-1,1,26472
-1,1,26473
-1,1,26474
-1,1,26475
-1,1,26476
-1,1,26517
-1,1,26518
-1,1,26519
-1,1,26520
-1,1,26521
-1,1,26522
-1,1,26523
-1,1,26524
-1,1,26525
-1,1,26526
-1,1,26527
-1,1,26570
-1,1,26571
-1,1,26572
-1,1,26573
-1,1,26574
-1,1,26575
-1,1,26576
-1,1,26577
-1,1,26578
-1,1,26579
-1,1,26580
-1,1,26625
-1,1,26626
-1,1,26627
-1,1,26628
-1,1,26629
-1,1,26630
-1,1,26631
-1,1,26632
-1,1,26633
-1,1,26634
-1,1,26635
-1,1,26682
-1,1,26683
-1,1,26684
-1,1,26685
-1,1,26686
-1,1,26687
-1,1,26688
-1,1,26689
-1,1,26690
-1,1,26691
-1,1,26692
-1,1,26741
-1,1,26742
-1,1,26743
-1,1,26744
-1,1,26745
-1,1,26746
-1,1,26747
-1,1,26748
-1,1,26749
-1,1,26750
-1,1,26751
-1,1,26802
-1,1,26803
-1,1,26804
-1,1,26805
-1,1,26806
-1,1,26807
-1,1,26808
-1,1,26809
-1,1,26810
-1,1,26811
-1,1,26812
-1,1,26866
-1,1,26867
-1,1,26868
-1,1,26869
-1,1,26870
-1,1,26871
-1,1,26872
-1,1,26873
-1,1,26874
-1,1,26875
-1,1,26876
-1,1,26932
-1,1,26933
-1,1,26934
-1,1,26935
-1,1,26936
-1,1,26937
-1,1,26938
-1,1,26939
-1,1,26940
-1,1,26941
-1,1,26942
-1,1,27000
-1,1,27001
-1,1,27002
-1,1,27003
-1,1,27004
-1,1,27005
-1,1,27006
-1,1,27007
-1,1,27008
-1,1,27009
-1,1,27010
-1,1,27070
-1,1,27071
-1,1,27072
-1,1,27073
-1,1,27074
-1,1,27075
-1,1,27076
-1,1,27077
-1,1,27078
-1,1,27079
-1,1,27080
-1,1,27142
-1,1,27143
-1,1,27144
-1,1,27145
-1,1,27146
-1,1,27147
-1,1,27148
-1,1,27149
-1,1,27150
-1,1,27151
-1,1,27152
-1,1,27216
-1,1,27217
-1,1,27218
-1,1,27219
-1,1,27220
-1,1,27221
-1,1,27222
-1,1,27223
-1,1,27224
-1,1,27225
-1,1,27226
-1,1,27292
-1,1,27293
-1,1,27294
-1,1,27295
-1,1,27296
-1,1,27297
-1,1,27298
-1,1,27299
-1,1,27300
-1,1,27301
-1,1,27302
-1,1,27370
-1,1,27371
-1,1,27372
-1,1,27373
-1,1,27374
-1,1,27375
-1,1,27376
-1,1,27377
-1,1,27378
-1,1,27379
-1,1,27380
-1,1,27450
-1,1,27451
-1,1,27452
-1,1,27453
-1,1,27454
-1,1,27455
-1,1,27456
-1,1,27457
-1,1,27458
-1,1,27459
-1,1,27460
-1,1,27532
-1,1,27533
-1,1,27534
-1,1,27535
-1,1,27536
-1,1,27537
-1,1,27538
-1,1,27539
-1,1,27540
-1,1,27541
-1,1,27542
-1,1,27616
-1,1,27617
-1,1,27618
-1,1,27619
-1,1,27620
-1,1,27621
-1,1,27622
-1,1,27623
-1,1,27624
-1,1,27625
-1,1,27626
-1,1,27703
-1,1,27704
-1,1,27705
-1,1,27706
-1,1,27707
-1,1,27708
-1,1,27709
-1,1,27710
-1,1,27711
-1,1,27712
-1,1,27713
-1,1,27792
-1,1,27793
-1,1,27794
-1,1,27795
-1,1,27796
-1,1,27797
-1,1,27798
-1,1,27799
-1,1,27800
-1,1,27801
-1,1,27802
-1,1,27883
-1,1,27884
-1,1,27885
-1,1,27886
-1,1,27887
-1,1,27888
-1,1,27889
-1,1,27890
-1,1,27891
-1,1,27892
-1,1,27893
-1,1,27976
-1,1,27977
-1,1,27978
-1,1,27979
-1,1,27980
-1,1,27981
-1,1,27982
-1,1,27983
-1,1,27984
-1,1,27985
-1,1,27986
-1,1,28071
-1,1,28072
-1,1,28073
-1,1,28074
-1,1,28075
-1,1,28076
-1,1,28077
-1,1,28078
-1,1,28079
-1,1,28080
-1,1,28081
-1,1,28168
-1,1,28169
-1,1,28170
-1,1,28171
-1,1,28172
-1,1,28173
-1,1,28174
-1,1,28175
-1,1,28176
-1,1,28177
-1,1,28178
-1,1,28267
-1,1,28268
-1,1,28269
-1,1,28270
-1,1,28271
-1,1,28272
-1,1,28273
-1,1,28274
-1,1,28275
-1,1,28276
-1,1,28277
-1,1,28368
-1,1,28369
-1,1,28370
-1,1,28371
-1,1,28372
-1,1,28373
-1,1,28374
-1,1,28375
-1,1,28376
-1,1,28377
-1,1,28378
-1,1,28471
