Landcover_Class,EVT_Nick,EVT_Name,SOC,total_mass,tot_Mass,N2O_emissions,CH4_emissions,gridcode01
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.58,400.75,2,-2.57,0,1649
Annual Cropland,Annual Cropland,Herbaceous Wetlands,22.07,10.42,2,-2.57,0,1895
Annual Cropland,Annual Cropland,Herbaceous Wetlands,12.5,10.42,2,-2.57,0,2198
Annual Cropland,Annual Cropland,Herbaceous Wetlands,17.58,10.42,2,-2.57,0,1764
Annual Cropland,Annual Cropland,Herbaceous Wetlands,12.5,10.42,2,-2.57,0,2328
Annual Cropland,Annual Cropland,Herbaceous Wetlands,17.69,10.42,2,-2.57,0,1757
Annual Cropland,Annual Cropland,Recently Disturbed Forest,17.69,3.2,2,-2.57,0,1823
Annual Cropland,Annual Cropland,Recently Disturbed Forest,22.07,3.2,2,-2.57,0,1458
Annual Cropland,Annual Cropland,Recently Disturbed Forest,12.5,3.2,2,-2.57,0,2002
Annual Cropland,Annual Cropland,Recently Disturbed Forest,12.5,3.2,2,-2.57,0,1988
Annual Cropland,Annual Cropland,Recently Disturbed Forest,17.58,3.2,2,-2.57,0,3091
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.58,335.84,2,-2.57,0,1650
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.69,335.84,2,-2.57,0,3189
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.58,307.38,2,-2.57,0,380
Annual Cropland,Annual Cropland,California Montane Riparian Systems,12.5,307.38,2,-2.57,0,1617
Annual Cropland,Annual Cropland,California Montane Riparian Systems,22.07,307.38,2,-2.57,0,3349
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.69,307.38,2,-2.57,0,3183
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,162.83,2,-2.57,0,2170
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.58,162.83,2,-2.57,0,3094
Annual Cropland,Annual Cropland,Agriculture-Cultivated Crops and Irrigated Agriculture,17.58,0,2,-2.57,0,287
Annual Cropland,Annual Cropland,Agriculture-Cultivated Crops and Irrigated Agriculture,12.5,0,2,-2.57,0,1588
Annual Cropland,Annual Cropland,Agriculture-Cultivated Crops and Irrigated Agriculture,12.5,0,2,-2.57,0,634
Annual Cropland,Annual Cropland,Agriculture-Cultivated Crops and Irrigated Agriculture,17.58,0,2,-2.57,0,356
Annual Cropland,Annual Cropland,Agriculture-Cultivated Crops and Irrigated Agriculture,12.5,0,2,-2.57,0,911
Annual Cropland,Annual Cropland,Agriculture-Cultivated Crops and Irrigated Agriculture,17.69,0,2,-2.57,0,462
Annual Cropland,Annual Cropland,Agriculture-Cultivated Crops and Irrigated Agriculture,22.07,0,2,-2.57,0,1030
Annual Cropland,Annual Cropland,Agriculture-Cultivated Crops and Irrigated Agriculture,17.69,0,2,-2.57,0,536
Annual Cropland,Annual Cropland,Agriculture-Cultivated Crops and Irrigated Agriculture,22.07,0,2,-2.57,0,740
Annual Cropland,Annual Cropland,Agriculture-Cultivated Crops and Irrigated Agriculture,12.5,0,2,-2.57,0,938
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.58,162.83,2,-2.57,0,628
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,22.07,162.83,2,-2.57,0,1947
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,162.83,2,-2.57,0,2162
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.69,162.83,2,-2.57,0,612
Annual Cropland,Annual Cropland,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,17.58,242.72,2,-2.57,0,1201
Annual Cropland,Annual Cropland,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,12.5,242.72,2,-2.57,0,1405
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.58,214.98,2,-2.57,0,2511
Annual Cropland,Annual Cropland,California Montane Riparian Systems,12.5,214.98,2,-2.57,0,2291
Annual Cropland,Annual Cropland,California Montane Riparian Systems,17.69,214.98,2,-2.57,0,2980
Annual Cropland,Annual Cropland,California Montane Riparian Systems,22.07,214.98,2,-2.57,0,3348
Annual Cropland,Annual Cropland,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,17.58,225.96,2,-2.57,0,1591
Annual Cropland,Annual Cropland,California Montane Woodland and Chaparral,17.69,186.96,2,-2.57,0,1424
Annual Cropland,Annual Cropland,California Montane Woodland and Chaparral,17.58,186.96,2,-2.57,0,853
Annual Cropland,Annual Cropland,California Montane Woodland and Chaparral,12.5,186.96,2,-2.57,0,947
Annual Cropland,Annual Cropland,California Mesic Chaparral,12.5,152.51,2,-2.57,0,2787
Annual Cropland,Annual Cropland,California Mesic Chaparral,22.07,152.51,2,-2.57,0,2112
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.58,152.51,2,-2.57,0,3065
Annual Cropland,Annual Cropland,California Mesic Chaparral,12.5,152.51,2,-2.57,0,2306
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.58,152.51,2,-2.57,0,619
Annual Cropland,Annual Cropland,North Pacific Montane Grassland,12.5,14.82,2,-2.57,0,2715
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,22.07,162.83,2,-2.57,0,1554
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,162.83,2,-2.57,0,958
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.58,162.83,2,-2.57,0,212
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,162.83,2,-2.57,0,2336
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.69,162.83,2,-2.57,0,1336
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,22.07,14.82,2,-2.57,0,2707
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.69,14.82,2,-2.57,0,3496
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,14.82,2,-2.57,0,3039
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.58,14.82,2,-2.57,0,3184
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,17.69,14.82,2,-2.57,0,1900
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,12.5,14.82,2,-2.57,0,2184
Annual Cropland,Annual Cropland,Introduced Upland Vegetation-Perennial Grassland and Forbland,22.07,14.82,2,-2.57,0,2620
