LC2014,carbrate_14,gridcode14,
Grassland,81.04,1,
Grassland,84.79,2,
Grassland,81.04,3,
Grassland,81.04,4,
Grassland,81.04,5,
Grassland,84.79,6,
Grassland,84.79,7,
Grassland,84.79,8,
Shrubland,86.81,9,
Grassland,84.79,10,
Shrubland,372.56,11,
Forest,394.29,12,
Shrubland,376.3,13,
Forest,390.55,14,
Grassland,84.79,15,
Grassland,81.04,16,
Grassland,81.04,17,
Grassland,84.79,18,
Grassland,84.79,19,
Shrubland,203.4,20,
Grassland,62.58,21,
Grassland,84.79,22,
Shrubland,376.3,23,
Forest,426.6,24,
Grassland,84.79,25,
Grassland,84.79,26,
Grassland,84.79,27,
Grassland,84.79,28,
Grassland,84.79,29,
Shrubland,207.15,30,
Annual Cropland,69.31,31,
Grassland,62.58,32,
Forest,391.07,33,
Grassland,62.58,34,
Shrubland,354.09,35,
Grassland,84.79,36,
Grassland,84.79,37,
Forest,441.44,38,
Shrubland,64.61,39,
Grassland,84.79,40,
Grassland,84.79,41,
Grassland,84.79,42,
Barren,77.51,43,
Forest,416.04,44,
Grassland,84.79,45,
Forest,566.02,46,
Grassland,62.58,47,
Grassland,81.04,48,
Grassland,62.58,49,
Grassland,81.04,50,
Grassland,84.79,51,
Grassland,81.04,52,
Grassland,84.79,53,
Grassland,62.58,54,
Grassland,81.04,55,
Grassland,62.58,56,
Forest,357.97,57,
Grassland,62.58,58,
Grassland,62.58,59,
Forest,332.96,60,
Grassland,81.04,61,
Grassland,81.04,62,
Grassland,62.58,63,
Grassland,62.58,64,
Grassland,84.79,65,
Grassland,81.04,66,
Grassland,62.58,67,
Grassland,62.58,68,
Grassland,81.04,69,
Grassland,84.79,70,
Grassland,62.58,71,
Barren,77.51,72,
Grassland,62.58,73,
Urban,106.87,74,
Grassland,84.79,75,
Grassland,108.09,76,
Shrubland,357.36,77,
Forest,384.08,78,
Grassland,84.79,79,
Grassland,108.09,80,
Grassland,84.79,81,
Grassland,84.79,82,
Grassland,108.09,83,
Grassland,81.04,84,
Water,77.51,85,
Forest,375.44,86,
Forest,403.95,87,
Grassland,108.09,88,
Shrubland,84.31,89,
Grassland,84.79,90,
Grassland,81.04,91,
Grassland,108.09,92,
Grassland,84.79,93,
Grassland,108.09,94,
Forest,336.7,95,
Forest,358.92,96,
Grassland,81.04,97,
Grassland,84.79,98,
Grassland,84.79,99,
Grassland,84.79,100,
Grassland,84.79,101,
Grassland,84.79,102,
Grassland,84.79,103,
Grassland,84.79,104,
Grassland,84.79,105,
Grassland,84.79,106,
Irrigated Pasture,62.65,107,
Irrigated Pasture,62.65,108,
Irrigated Pasture,62.65,109,
Urban,106.87,110,
Grassland,84.79,111,
Irrigated Pasture,62.65,112,
Irrigated Pasture,62.65,113,
Irrigated Pasture,62.65,114,
Irrigated Pasture,62.65,115,
Irrigated Pasture,62.65,116,
Irrigated Pasture,62.65,117,
Shrubland,376.3,118,
Grassland,84.79,119,
Grassland,84.79,120,
Grassland,84.79,121,
Irrigated Pasture,62.65,122,
Irrigated Pasture,62.65,123,
Irrigated Pasture,62.65,124,
Irrigated Pasture,62.65,125,
Irrigated Pasture,62.65,126,
Grassland,84.79,127,
Grassland,84.79,128,
Urban,106.87,129,
Irrigated Pasture,62.65,130,
Irrigated Pasture,62.65,131,
Grassland,108.09,132,
Grassland,84.79,133,
Irrigated Pasture,62.65,134,
Irrigated Pasture,62.65,135,
Forest,384.34,136,
Irrigated Pasture,62.65,137,
Irrigated Pasture,62.65,138,
Irrigated Pasture,62.65,139,
Irrigated Pasture,62.65,140,
Grassland,84.79,141,
Grassland,84.79,142,
Irrigated Pasture,62.65,143,
Grassland,84.79,144,
Forest,364.54,145,
Irrigated Pasture,62.65,146,
Grassland,84.79,147,
Grassland,84.79,148,
Orchard,122.55,149,
Shrubland,376.3,150,
Grassland,84.79,151,
Grassland,84.79,152,
Irrigated Pasture,62.65,153,
Orchard,122.55,154,
Orchard,122.55,155,
Grassland,84.79,156,
Grassland,84.79,157,
Grassland,84.79,158,
Grassland,84.79,159,
Grassland,84.79,160,
Grassland,108.09,161,
Orchard,122.55,162,
Shrubland,376.3,163,
Grassland,84.79,164,
Grassland,84.79,165,
Grassland,84.79,166,
Grassland,81.04,167,
Grassland,84.79,168,
Orchard,122.55,169,
Orchard,122.55,170,
Orchard,122.55,171,
Orchard,122.55,172,
Orchard,122.55,173,
Orchard,122.55,174,
Orchard,122.55,175,
Forest,471.99,176,
Grassland,84.79,177,
Grassland,84.79,178,
Grassland,84.79,179,
Orchard,122.55,180,
Orchard,122.55,181,
Orchard,122.55,182,
Orchard,122.55,183,
Orchard,122.55,184,
Orchard,122.55,185,
Grassland,108.09,186,
Orchard,122.55,187,
Orchard,122.55,188,
Forest,387.33,189,
Grassland,84.79,190,
Orchard,122.55,191,
Forest,393.6,192,
Forest,422.85,193,
Orchard,122.55,194,
Grassland,84.79,195,
Orchard,122.55,196,
Orchard,122.55,197,
Grassland,62.58,198,
Grassland,62.58,199,
Grassland,62.58,200,
Grassland,108.09,201,
Grassland,62.58,202,
Orchard,122.55,203,
Grassland,84.79,204,
Grassland,108.09,205,
Grassland,108.09,206,
Orchard,122.55,207,
Grassland,84.79,208,
Grassland,84.79,209,
Grassland,84.79,210,
Grassland,84.79,211,
Grassland,84.79,212,
Grassland,84.79,213,
Orchard,122.55,214,
Grassland,84.79,215,
Grassland,84.79,216,
Orchard,122.55,217,
Grassland,84.79,218,
Grassland,108.09,219,
Orchard,122.55,220,
Grassland,84.79,221,
Grassland,81.04,222,
Grassland,108.09,223,
Grassland,84.79,224,
Forest,419.75,225,
Shrubland,376.3,226,
Grassland,84.79,227,
Grassland,62.58,228,
Grassland,62.58,229,
Orchard,122.55,230,
Grassland,84.79,231,
Grassland,84.79,232,
Orchard,122.55,233,
Shrubland,376.3,234,
Grassland,62.58,235,
Grassland,62.58,236,
Forest,336.72,237,
Forest,368.87,238,
Orchard,122.55,239,
Grassland,84.79,240,
Shrubland,75.96,241,
Shrubland,57.5,242,
Forest,488.39,243,
Forest,372.09,244,
Grassland,62.58,245,
Grassland,84.79,246,
Shrubland,78.53,247,
Grassland,81.04,248,
Forest,342.33,249,
Orchard,122.55,250,
Forest,397.34,251,
Forest,355.18,252,
Forest,493.88,253,
Grassland,62.58,254,
Shrubland,83.07,255,
Orchard,122.55,256,
Forest,361.71,257,
Forest,437.7,258,
Forest,553.59,259,
Forest,375.14,260,
Grassland,62.58,261,
Forest,404.39,262,
Shrubland,372.56,263,
Grassland,62.58,264,
Forest,381.75,265,
Forest,479.9,266,
Grassland,108.09,267,
Grassland,81.04,268,
Forest,419.24,269,
Grassland,84.79,270,
Grassland,62.58,271,
Orchard,122.55,272,
Orchard,122.55,273,
Grassland,62.58,274,
Grassland,81.04,275,
Shrubland,354.09,276,
Forest,473.83,277,
Shrubland,64.61,278,
Orchard,122.55,279,
Orchard,122.55,280,
Forest,502.11,281,
Grassland,84.79,282,
Orchard,122.55,283,
Barren,55.3,284,
Urban,84.66,285,
Shrubland,60.13,286,
Forest,506.85,287,
Grassland,81.04,288,
Orchard,122.55,289,
Urban,84.66,290,
Grassland,81.04,291,
Shrubland,376.3,292,
Grassland,84.79,293,
Forest,475.42,294,
Forest,467.19,295,
Grassland,84.79,296,
Grassland,62.58,297,
Grassland,62.58,298,
Urban,106.87,299,
Grassland,62.58,300,
Grassland,62.58,301,
Grassland,62.58,302,
Water,73.76,303,
Grassland,62.58,304,
Orchard,122.55,305,
Grassland,84.79,306,
Forest,489.39,307,
Grassland,62.58,308,
Orchard,122.55,309,
Grassland,81.04,310,
Grassland,81.04,311,
Grassland,81.04,312,
Orchard,122.55,313,
Grassland,81.04,314,
Grassland,81.04,315,
Grassland,62.58,316,
Forest,510.6,317,
Orchard,122.55,318,
Orchard,122.55,319,
Grassland,62.58,320,
Grassland,62.58,321,
Forest,496.04,322,
Shrubland,78.53,323,
Grassland,62.58,324,
Orchard,122.55,325,
Orchard,122.55,326,
Orchard,122.55,327,
Forest,410.48,328,
Orchard,122.55,329,
Orchard,122.55,330,
Grassland,62.58,331,
Grassland,81.04,332,
Grassland,84.79,333,
Grassland,84.79,334,
Forest,575.79,335,
Forest,339.51,336,
Orchard,139.03,337,
Orchard,139.03,338,
Grassland,62.58,339,
Grassland,84.79,340,
Orchard,139.03,341,
Orchard,139.03,342,
Urban,103.12,343,
Barren,73.76,344,
Orchard,122.55,345,
Orchard,139.03,346,
Orchard,139.03,347,
Grassland,84.79,348,
Grassland,81.04,349,
Orchard,122.55,350,
Grassland,62.58,351,
Orchard,139.03,352,
Forest,543.82,353,
Orchard,103.87,354,
Grassland,84.79,355,
Grassland,84.79,356,
Grassland,62.58,357,
Orchard,122.55,358,
Grassland,84.79,359,
Orchard,122.55,360,
Grassland,84.79,361,
Forest,416.01,362,
Orchard,122.55,363,
Grassland,62.58,364,
Grassland,62.58,365,
Grassland,84.79,366,
Orchard,122.55,367,
Orchard,122.55,368,
Orchard,122.55,369,
Grassland,62.58,370,
Orchard,122.55,371,
Orchard,122.55,372,
Orchard,139.03,373,
Grassland,62.58,374,
Grassland,84.79,375,
Grassland,81.04,376,
Orchard,122.55,377,
Orchard,139.03,378,
Orchard,139.03,379,
Orchard,122.55,380,
Orchard,122.55,381,
Grassland,62.58,382,
Grassland,81.04,383,
Grassland,81.04,384,
Orchard,139.03,385,
Orchard,139.03,386,
Orchard,122.55,387,
Grassland,84.79,388,
Grassland,62.58,389,
Grassland,62.58,390,
Grassland,62.58,391,
Grassland,62.58,392,
Grassland,84.79,393,
Orchard,122.55,394,
Grassland,84.79,395,
Orchard,122.55,396,
Orchard,103.87,397,
Orchard,103.87,398,
Shrubland,78.53,399,
Orchard,139.03,400,
Orchard,122.55,401,
Orchard,139.03,402,
Orchard,139.03,403,
Orchard,122.55,404,
Orchard,122.55,405,
Shrubland,79.71,406,
Orchard,122.55,407,
Forest,388.08,408,
Orchard,139.03,409,
Grassland,84.79,410,
Orchard,122.55,411,
Orchard,139.03,412,
Urban,106.87,413,
Orchard,122.55,414,
Orchard,103.87,415,
Orchard,103.87,416,
Grassland,84.79,417,
Grassland,84.79,418,
Grassland,62.58,419,
Orchard,103.87,420,
Forest,398.74,421,
Orchard,122.55,422,
Orchard,122.55,423,
Orchard,122.55,424,
Orchard,122.55,425,
Grassland,62.58,426,
Grassland,84.79,427,
Grassland,84.79,428,
Shrubland,399.6,429,
Orchard,139.03,430,
Orchard,122.55,431,
Grassland,84.79,432,
Forest,497.63,433,
Orchard,139.03,434,
Orchard,139.03,435,
Orchard,122.55,436,
Grassland,84.79,437,
Orchard,122.55,438,
Orchard,139.03,439,
Orchard,122.55,440,
Orchard,122.55,441,
Orchard,122.55,442,
Shrubland,376.3,443,
Grassland,84.79,444,
Orchard,122.55,445,
Orchard,122.55,446,
Orchard,122.55,447,
Orchard,122.55,448,
Orchard,122.55,449,
Orchard,122.55,450,
Orchard,122.55,451,
Orchard,122.55,452,
Orchard,122.55,453,
Grassland,84.79,454,
Grassland,62.58,455,
Orchard,122.55,456,
Grassland,62.58,457,
Grassland,62.58,458,
Orchard,122.55,459,
Annual Cropland,69.31,460,
Annual Cropland,69.31,461,
Grassland,84.79,462,
Orchard,122.55,463,
Forest,299.49,464,
Annual Cropland,69.31,465,
Orchard,122.55,466,
Annual Cropland,69.31,467,
Grassland,84.79,468,
Grassland,108.09,469,
Annual Cropland,69.31,470,
Forest,594.24,471,
Orchard,139.03,472,
Orchard,122.55,473,
Grassland,84.79,474,
Annual Cropland,69.31,475,
Orchard,122.55,476,
Orchard,122.55,477,
Urban,106.87,478,
Orchard,122.55,479,
Orchard,122.55,480,
Grassland,84.79,481,
Forest,485.28,482,
Wetland,84.81,483,
Orchard,122.55,484,
Grassland,84.79,485,
Orchard,122.55,486,
Annual Cropland,69.31,487,
Orchard,122.55,488,
Orchard,122.55,489,
Grassland,84.79,490,
Annual Cropland,69.31,491,
Annual Cropland,69.31,492,
Forest,487.83,493,
Wetland,84.81,494,
Annual Cropland,69.31,495,
Grassland,84.79,496,
Orchard,139.03,497,
Annual Cropland,69.31,498,
Annual Cropland,69.31,499,
Urban,106.87,500,
Wetland,84.81,501,
Grassland,62.58,502,
Grassland,62.58,503,
Grassland,62.58,504,
Irrigated Pasture,62.65,505,
Irrigated Pasture,62.65,506,
Orchard,139.03,507,
Orchard,122.55,508,
Grassland,84.79,509,
Annual Cropland,69.31,510,
Annual Cropland,69.31,511,
Grassland,84.79,512,
Vineyard,71.57,513,
Annual Cropland,69.31,514,
Vineyard,71.57,515,
Irrigated Pasture,62.65,516,
Irrigated Pasture,62.65,517,
Grassland,84.79,518,
Grassland,84.79,519,
Annual Cropland,69.31,520,
Grassland,84.79,521,
Wetland,84.81,522,
Annual Cropland,69.31,523,
Wetland,84.81,524,
Annual Cropland,69.31,525,
Orchard,139.03,526,
Grassland,84.79,527,
Annual Cropland,69.31,528,
Grassland,108.09,529,
Shrubland,80.57,530,
Orchard,139.03,531,
Orchard,122.55,532,
Grassland,84.79,533,
Grassland,84.79,534,
Vineyard,88.05,535,
Orchard,122.55,536,
Urban,106.87,537,
Wetland,84.81,538,
Annual Cropland,69.31,539,
Irrigated Pasture,62.65,540,
Forest,404.39,541,
Orchard,139.03,542,
Annual Cropland,69.31,543,
Grassland,108.09,544,
Annual Cropland,69.31,545,
Grassland,84.79,546,
Grassland,62.58,547,
Grassland,84.79,548,
Grassland,81.04,549,
Grassland,108.09,550,
Shrubland,109.8,551,
Urban,106.87,552,
Grassland,81.04,553,
Grassland,84.79,554,
Grassland,81.04,555,
Forest,438.47,556,
Orchard,122.55,557,
Forest,427.26,558,
Wetland,84.81,559,
Annual Cropland,69.31,560,
Orchard,122.55,561,
Shrubland,399.6,562,
Grassland,84.79,563,
Grassland,84.79,564,
Grassland,62.58,565,
Grassland,62.58,566,
Water,55.3,567,
Forest,319.68,568,
Grassland,62.58,569,
Annual Cropland,69.31,570,
Orchard,122.55,571,
Orchard,122.55,572,
Wetland,84.81,573,
Wetland,84.81,574,
Grassland,81.04,575,
Grassland,84.79,576,
Grassland,81.04,577,
Grassland,81.04,578,
Orchard,122.55,579,
Grassland,84.79,580,
Grassland,84.79,581,
Wetland,84.81,582,
Annual Cropland,69.31,583,
Wetland,108.11,584,
Forest,475.42,585,
Grassland,84.79,586,
Orchard,139.03,587,
Orchard,122.55,588,
Grassland,84.79,589,
Grassland,84.79,590,
Grassland,81.04,591,
Grassland,62.58,592,
Grassland,84.79,593,
Grassland,84.79,594,
Grassland,81.04,595,
Grassland,84.79,596,
Orchard,139.03,597,
Orchard,122.55,598,
Orchard,122.55,599,
Orchard,139.03,600,
Wetland,84.81,601,
Wetland,84.81,602,
Irrigated Pasture,62.65,603,
Orchard,139.03,604,
Orchard,139.03,605,
Orchard,139.03,606,
Orchard,122.95,607,
Grassland,81.04,608,
Grassland,81.04,609,
Grassland,108.09,610,
Grassland,84.79,611,
Grassland,84.79,612,
Grassland,84.79,613,
Grassland,84.79,614,
Irrigated Pasture,62.65,615,
Orchard,122.55,616,
Orchard,122.95,617,
Annual Cropland,69.71,618,
Orchard,122.95,619,
Orchard,122.95,620,
Grassland,81.04,621,
Annual Cropland,69.31,622,
Grassland,81.04,623,
Grassland,84.79,624,
Grassland,62.58,625,
Grassland,62.58,626,
Forest,372.09,627,
Irrigated Pasture,62.65,628,
Grassland,84.79,629,
Orchard,122.55,630,
Forest,403.13,631,
Orchard,122.55,632,
Annual Cropland,69.31,633,
Orchard,122.95,634,
Orchard,122.95,635,
Grassland,81.04,636,
Vineyard,71.97,637,
