Landcover_Class,sumco2_ha,gridcode14,
Annual Cropland,50.65,941,
Annual Cropland,50.65,942,
Annual Cropland,50.65,1050,
Annual Cropland,50.65,1167,
Annual Cropland,50.65,1183,
Annual Cropland,50.65,1257,
Annual Cropland,50.65,1258,
Annual Cropland,50.65,1268,
Annual Cropland,50.65,1278,
Annual Cropland,50.65,1279,
Annual Cropland,50.65,1280,
Annual Cropland,50.65,1281,
Annual Cropland,50.65,1282,
Annual Cropland,50.65,1301,
Annual Cropland,50.65,1302,
Annual Cropland,50.65,1303,
Annual Cropland,50.65,1304,
Annual Cropland,50.65,1321,
Annual Cropland,50.65,1354,
Annual Cropland,50.65,1355,
Annual Cropland,50.65,1357,
Annual Cropland,50.65,1373,
Annual Cropland,50.65,1374,
Annual Cropland,50.65,1375,
Annual Cropland,50.65,1388,
Annual Cropland,50.65,1427,
Annual Cropland,50.65,1442,
Annual Cropland,50.65,1519,
Annual Cropland,50.65,1534,
Annual Cropland,50.65,1561,
Annual Cropland,50.65,1585,
Annual Cropland,50.65,1615,
Annual Cropland,50.65,1637,
Annual Cropland,50.65,1646,
Annual Cropland,50.65,1664,
Annual Cropland,50.65,1665,
Annual Cropland,50.65,1667,
Annual Cropland,50.65,1708,
Annual Cropland,50.65,1710,
Annual Cropland,50.65,1737,
Annual Cropland,50.65,1745,
Annual Cropland,50.65,1821,
Annual Cropland,50.65,1846,
Annual Cropland,50.65,1867,
Annual Cropland,50.65,1913,
Annual Cropland,50.65,1926,
Annual Cropland,50.65,1929,
Annual Cropland,50.65,1931,
Annual Cropland,50.65,1941,
Annual Cropland,50.65,1972,
Annual Cropland,50.65,1977,
Annual Cropland,50.65,1979,
Annual Cropland,50.65,1980,
Annual Cropland,50.65,1981,
Annual Cropland,50.65,1995,
Annual Cropland,50.65,2004,
Annual Cropland,50.65,2005,
Annual Cropland,50.65,2014,
Annual Cropland,50.65,2020,
Annual Cropland,50.65,2021,
Annual Cropland,50.65,2027,
Annual Cropland,50.65,2031,
Annual Cropland,50.65,2039,
Annual Cropland,50.65,2041,
Annual Cropland,50.65,2047,
Annual Cropland,50.65,2049,
Annual Cropland,50.65,2077,
Annual Cropland,50.65,2085,
Annual Cropland,50.65,2097,
Annual Cropland,50.65,2117,
Annual Cropland,50.65,2118,
Annual Cropland,50.65,2122,
Annual Cropland,50.65,2142,
Annual Cropland,50.65,2143,
Annual Cropland,50.65,2225,
Annual Cropland,50.65,2253,
Annual Cropland,50.65,2303,
Annual Cropland,50.65,2307,
Annual Cropland,50.65,2315,
Annual Cropland,50.65,2347,
Annual Cropland,50.65,2351,
Annual Cropland,50.65,2378,
Annual Cropland,50.65,2402,
Annual Cropland,50.65,2420,
Annual Cropland,50.65,2437,
Annual Cropland,50.65,2447,
Annual Cropland,50.65,2448,
Annual Cropland,50.65,2455,
Annual Cropland,50.65,2456,
Annual Cropland,50.65,2543,
Annual Cropland,50.65,2552,
Annual Cropland,50.65,2567,
Annual Cropland,50.65,2575,
Annual Cropland,50.65,2609,
Annual Cropland,50.65,2616,
Annual Cropland,50.65,2622,
Annual Cropland,50.65,2637,
Annual Cropland,50.65,2646,
Annual Cropland,50.65,2654,
Annual Cropland,50.65,2660,
Annual Cropland,50.65,2668,
Annual Cropland,50.65,2770,
Annual Cropland,50.65,2787,
Annual Cropland,50.65,2788,
Annual Cropland,50.65,2789,
Annual Cropland,50.65,2822,
Annual Cropland,50.65,2839,
Annual Cropland,50.65,2847,
Annual Cropland,50.65,2848,
Annual Cropland,50.65,2849,
Annual Cropland,50.65,2859,
Annual Cropland,50.65,2860,
Annual Cropland,50.65,2861,
Annual Cropland,50.65,2866,
Annual Cropland,50.65,2882,
Annual Cropland,50.65,2893,
Annual Cropland,50.65,2908,
Annual Cropland,50.65,2920,
Annual Cropland,50.65,2930,
Annual Cropland,50.65,2932,
Annual Cropland,50.65,2934,
Annual Cropland,50.65,2935,
Annual Cropland,50.65,2941,
Annual Cropland,50.65,2959,
Annual Cropland,50.65,2973,
Annual Cropland,50.65,2982,
Annual Cropland,50.65,3040,
Annual Cropland,50.65,3043,
Annual Cropland,50.65,3053,
Annual Cropland,50.65,3063,
Annual Cropland,50.65,3073,
Annual Cropland,50.65,3078,
Annual Cropland,50.65,3112,
Annual Cropland,50.65,3139,
Annual Cropland,50.65,3183,
Annual Cropland,50.65,3205,
Annual Cropland,50.65,3206,
Annual Cropland,50.65,3208,
Annual Cropland,50.65,3237,
Annual Cropland,50.65,3267,
Annual Cropland,50.65,3274,
Annual Cropland,50.65,3276,
Annual Cropland,50.65,3277,
Annual Cropland,50.65,3303,
Annual Cropland,50.65,3314,
Annual Cropland,50.65,3323,
Annual Cropland,50.65,3333,
Annual Cropland,50.65,3334,
Annual Cropland,50.65,3344,
Annual Cropland,50.65,3347,
Annual Cropland,50.65,3432,
Annual Cropland,50.65,3485,
Annual Cropland,50.65,3578,
Annual Cropland,50.65,3594,
Annual Cropland,50.65,3659,
Annual Cropland,50.65,3670,
Annual Cropland,50.65,3673,
Annual Cropland,50.65,3679,
Annual Cropland,50.65,3684,
Annual Cropland,50.65,3707,
Annual Cropland,50.65,3712,
Annual Cropland,50.65,3732,
Annual Cropland,50.65,3735,
Annual Cropland,50.65,3736,
Annual Cropland,50.65,3739,
Annual Cropland,50.65,3742,
Annual Cropland,50.65,3743,
Annual Cropland,50.65,3753,
