gridcode30,carbrate_30,landcover30
0,9.755997524,Wetland
1,15.7729231,Water
2,7.027471991,Grassland
4,98.55162489,Barren
6,6.570365547,Developed
7,11.07077991,Orchard
8,6.251311608,Vineyard
9,7.741233382,Annual Cropland
10,3.987758043,Rice
11,5.173351364,Irrigated Pasture
12,4.765320067,Developed Roads
13,6.570365547,Urban
14,34.10565901,Young Forest
15,32.56413965,Young Shrubland
16,34.10565901,Riparian Restoration
17,34.10565901,Oak Conversion
101,7.347482792,Grassland
102,7.687476134,Grassland
103,7.347482792,Grassland
104,7.347482792,Grassland
105,7.347482792,Grassland
106,7.687476134,Grassland
107,7.687476134,Grassland
108,7.687476134,Grassland
109,7.512269588,Shrubland
110,7.687476134,Grassland
111,32.24019304,Shrubland
112,39.3489526,Forest
113,32.5638411,Shrubland
114,38.97571188,Forest
115,7.687476134,Grassland
116,7.347482792,Grassland
117,7.347482792,Grassland
118,7.687476134,Grassland
119,7.687476134,Grassland
120,17.6016085,Shrubland
121,5.673808898,Grassland
122,7.687476134,Grassland
123,32.5638411,Shrubland
124,42.57339313,Forest
125,7.687476134,Grassland
126,7.687476134,Grassland
127,7.687476134,Grassland
128,7.687476134,Grassland
129,7.687476134,Grassland
130,17.92612194,Shrubland
131,6.255064597,Annual Cropland
132,5.673808898,Grassland
133,39.02760631,Forest
134,5.673808898,Grassland
135,30.64185622,Shrubland
136,7.687476134,Grassland
137,7.687476134,Grassland
138,44.05438037,Forest
139,5.591150076,Shrubland
140,7.687476134,Grassland
141,7.687476134,Grassland
142,7.687476134,Grassland
143,34.6582229,Barren
144,41.51953699,Forest
145,7.687476134,Grassland
146,56.48708856,Forest
147,5.673808898,Grassland
148,7.347482792,Grassland
149,5.673808898,Grassland
150,7.347482792,Grassland
151,7.687476134,Grassland
152,7.347482792,Grassland
153,7.687476134,Grassland
154,5.673808898,Grassland
155,7.347482792,Grassland
156,5.673808898,Grassland
157,35.72432616,Forest
158,5.673808898,Grassland
159,5.673808898,Grassland
160,33.2284036,Forest
161,7.347482792,Grassland
162,7.347482792,Grassland
163,5.673808898,Grassland
164,5.673808898,Grassland
165,7.687476134,Grassland
166,7.347482792,Grassland
167,5.673808898,Grassland
168,5.673808898,Grassland
169,7.347482792,Grassland
170,7.687476134,Grassland
171,5.673808898,Grassland
172,4.765295475,Barren
173,5.673808898,Grassland
174,6.570340955,Urban
175,7.687476134,Grassland
176,9.799968101,Grassland
177,30.92483193,Shrubland
178,38.3300254,Forest
179,7.687476134,Grassland
180,9.799968101,Grassland
181,7.687476134,Grassland
182,7.687476134,Grassland
183,9.799968101,Grassland
184,7.347482792,Grassland
185,3.182651624,Water
186,37.46777946,Forest
187,40.31299146,Forest
188,9.799968101,Grassland
189,7.295927301,Shrubland
190,7.687476134,Grassland
191,7.347482792,Grassland
192,9.799968101,Grassland
193,7.687476134,Grassland
194,9.799968101,Grassland
195,33.60164432,Forest
196,35.81913329,Forest
197,7.347482792,Grassland
198,7.687476134,Grassland
199,7.687476134,Grassland
200,7.687476134,Grassland
201,7.687476134,Grassland
202,7.687476134,Grassland
203,7.687476134,Grassland
204,7.687476134,Grassland
205,7.687476134,Grassland
206,7.687476134,Grassland
207,5.172872475,Irrigated Pasture
208,5.172872475,Irrigated Pasture
209,5.172872475,Irrigated Pasture
210,6.570340955,Urban
211,7.687476134,Grassland
212,5.172872475,Irrigated Pasture
213,5.172872475,Irrigated Pasture
214,5.172872475,Irrigated Pasture
215,5.172872475,Irrigated Pasture
216,5.172872475,Irrigated Pasture
217,5.172872475,Irrigated Pasture
218,32.5638411,Shrubland
219,7.687476134,Grassland
220,7.687476134,Grassland
221,7.687476134,Grassland
222,5.172872475,Irrigated Pasture
223,5.172872475,Irrigated Pasture
