cwhr_id,whr13_code,habitat_suitability
R028,5,0.66
B133,1023,0.954666666666667
R008,5,0.66
B087,1023,0.597333333333333
B140,1040,0.773333333333333
R061,1039,0.66
B193,5,0.553333333333333
A036,13,0.476666666666667
B290,4,1
B528,2,0.663333333333333
M060,4,1
R068,13,0.66
B129,1040,0.44
B172,1023,0.517777777777778
R067,12,0.495
B346,1063,0.44
M059,4,1
B071,1040,0.666666666666667
R058,12,0.4125
R080,9,0.666666666666667
M120,13,0.66
R037,1039,0.33
B287,13,0.61
M233,11,0.680857142857143
M038,2,0.11
A016,9,0.33
M088,13,0.66
B356,13,0.22
M001,1063,0.366666666666667
B521,1023,0.6625
B277,1042,0.11
M177,1042,0.11
B485,13,1
A045,9,0.385
B156,1040,0.22
B145,11,0.22
M047,6,0.66
B221,1034,0.22
A020,4,0.33
M080,1,0.971468531468531
M094,4,0.745
B381,1034,0.666666666666667
B150,1040,0.663333333333333
B291,4,0.353333333333333
R036,11,0.932
M034,8,0.44
B159,1034,0.666666666666667
B380,3,0.333333333333333
B105,9,0.666666666666667
B199,6,0.813333333333333
B354,8,0.776666666666667
R053,11,0.377142857142857
M145,8,0.33
B427,8,0.33
M112,1,0.1925
A039,6,1
B085,1023,0.5225
B265,4,0.204761904761905
B437,1063,0.44
B341,1043,0.11
B321,1052,0.66
B070,6,0.591111111111111
R024,4,0.66
M140,1040,0.44
M018,1063,0.513333333333333
B264,4,0.312777777777778
B075,6,0.74
B505,9,0.11
B484,1063,0.44
M023,13,0.221111111111111
M134,1023,0.64
B463,12,0.44
M085,4,0.551666666666667
M074,3,1
B483,2,0.513333333333333
A059,4,0.5775
M068,12,0.66
M030,1049,0.11
B166,1034,0.33
M149,1039,0.33
B275,1049,0.333333333333333
M155,11,1
R039,1023,0.33
B524,9,0.1925
B411,2,0.586666666666667
B514,3,0.666666666666667
B339,2,0.83
A037,1049,0.33
A020,3,0.33
M094,3,1
B067,1052,0.44
R031,8,0.66
M171,9,0.776666666666667
B324,1040,0.443333333333333
M117,1043,0.44
B385,1,0.428836291913215
B251,1063,0.5
M050,1037,0.33
A028,1043,0.33
M039,1039,0.11
B410,12,0.66
M021,8,0.33
M133,1037,0.66
M181,8,0.773333333333333
B086,1023,0.44
B549,13,0.814444444444444
B506,1,0.348333333333333
B250,1023,0.310666666666667
M060,3,0.66
A045,1,0.33
B091,9,0.386666666666667
M173,5,0.333333333333333
B050,1052,0.33
B404,6,0.515555555555556
R062,6,1
A016,1,0.789583333333333
B052,1043,0.33
M036,6,0.11
A033,6,1
A066,4,0.33
R080,1,0.491333333333333
M125,1,0.66
B053,1034,0.44
B545,13,0.22
B514,4,0.33
B255,1040,0.333333333333333
M031,1034,0.11
R017,4,0.55
B111,6,0.333333333333333
M112,9,1
R063,2,0.736666666666667
B331,2,0.661666666666667
A059,3,0.33
B158,12,1
M028,1049,0.22
M105,1049,0.33
B409,1040,0.44
B544,1042,0.66
M085,3,0.886666666666667
M123,12,0.33
M144,11,1
B326,1034,0.22
B264,3,0.333333333333333
R033,11,1
B077,1052,0.44
M027,6,0.22
B418,8,0.33
B376,1063,0.44
B372,1052,0.33
R024,3,1
B215,9,0.721666666666667
B213,1040,0.11
B265,3,0.333333333333333
B219,5,0.333333333333333
A012,1,0.661269841269841
B149,3,0.443333333333333
M146,1043,0.44
M182,1023,0.776666666666667
B084,1040,0.22
B328,13,0.72
B524,1,0.539897959183673
B394,8,0.33
M141,1034,0.66
B151,3,0.44
B380,4,0.22
B315,2,1
M042,1040,0.22
B489,1,0.763112244897959
M166,13,0.773333333333333
B505,1,0.525
M017,6,1
R076,1052,0.33
R060,11,0.33
B111,1039,0.333333333333333
R077,13,0.495
B133,1042,0.55
B052,1052,0.22
B148,9,0.165
A002,6,0.55
B311,11,0.935714285714286
B107,11,0.22
M045,4,0.866
B307,8,0.66
M176,11,0.894571428571429
M027,1039,0.11
B545,2,0.22
M137,1037,0.66
B430,4,0.441666666666667
A040,2,0.495
M078,1063,0.183333333333333
B410,5,0.22
R078,1,0.5005
M154,1,0.792833333333333
A028,1052,0.33
B376,12,0.293333333333333
B393,1034,0.22
B044,13,0.22
M081,1034,1
B289,6,0.443333333333333
A047,3,1
M177,1023,0.333333333333333
M083,11,0.495
B138,4,0.308
B277,1023,0.11
R049,6,1
B358,4,0.495
M175,3,0.66
M147,11,0.495
B499,1037,0.22
B058,1063,0.22
M084,1037,1
M117,1052,0.33
B109,1,0.878240740740741
M128,3,0.385
B294,3,0.333333333333333
B079,3,1
B396,12,1
B173,11,0.22
B546,1042,0.44
A004,6,0.66
M003,2,0.776666666666667
M142,1040,0.773333333333333
B342,1052,0.22
M102,1063,0.33
M166,2,1
B282,9,0.886666666666667
M039,6,0.165
B254,1040,0.333333333333333
B410,1063,0.33
B183,1052,0.22
M146,1052,0.44
B139,13,1
M122,11,0.33
B062,1034,0.443333333333333
M118,3,0.33
B315,13,0.666666666666667
R020,13,0.663333333333333
B273,11,0.400714285714286
M168,5,0.22
B331,13,0.773333333333333
B216,1034,0.44
M016,3,0.83
B158,5,1
M153,4,0.495
A034,1023,0.33
M134,1042,0.33
B116,3,0.22
R004,1,0.37125
B128,11,0.615047619047619
B110,11,0.35352380952381
A014,1052,0.33
B362,1,0.795384615384615
B773,4,0.22
M126,11,0.33
B233,9,0.833333333333333
R071,1052,0.33
B253,1040,0.333333333333333
M032,1037,0.11
M179,2,0.44
M150,11,0.33
B287,2,0.66
M088,2,0.33
M066,1,0.574444444444445
M038,13,0.22
M119,1,0.877222222222222
B138,3,1
M175,4,0.55
M120,2,0.83
B522,1023,0.256666666666667
B070,1039,0.44
B356,2,0.513333333333333
B351,4,0.333333333333333
A039,1039,0.33
R034,12,0.495
M161,1034,0.33
M033,1034,0.22
B340,1034,0.333333333333333
R067,5,1
A046,1037,0.33
M157,1043,0.44
B528,13,0.943333333333333
B501,3,1
B798,11,0.22
M075,6,0.11
M045,3,0.773333333333333
B250,1042,0.22
R070,4,0.44
R079,1052,0.55
B482,4,1
M148,13,0.66
B143,6,1
B799,1037,0.11
B080,1037,1
M162,1049,0.33
B141,6,0.33
R028,12,0.44
M149,6,0.515555555555556
R008,12,0.915
B491,1,0.33
R078,9,0.666666666666667
B082,1034,0.33
B477,4,0.459444444444444
B299,1,0.977962962962963
B483,13,0.22
M068,5,0.33
R093,13,0.33
B282,1,0.676734693877551
M023,2,0.183333333333333
R061,6,1
M006,1052,0.33
B226,1040,0.333333333333333
B116,4,0.385
B344,1037,0.333333333333333
B411,13,1
B124,8,0.553333333333333
B425,1042,0.44
B272,8,0.66
M076,1063,0.11
M153,3,0.256666666666667
B544,1023,0.22
B339,13,0.553333333333333
B323,1023,0.515555555555556
B109,9,0.11
B267,8,1
B375,8,0.22
M118,4,0.886666666666667
B333,1037,0.333333333333333
M026,8,0.276666666666667
B276,8,0.773333333333333
B125,1052,0.33
B169,9,0.666666666666667
R051,1063,0.33
B341,1052,0.22
B321,1043,0.44
B552,1,1
R058,1063,0.66
B527,1037,0.22
R037,6,0.33
M047,1039,0.663333333333333
B263,1,0.841287878787879
R004,9,1
M128,4,0.495
B294,4,0.256666666666667
M032,1043,0.22
M165,1043,0.11
B059,8,0.22
B282,11,0.888095238095238
B494,1037,0.44
B318,4,0.553333333333333
M142,1049,0.33
B358,1042,0.33
B521,4,0.385
B299,11,0.606190476190476
M158,6,1
B510,1063,0.44
B281,1040,0.11
B535,2,0.44
M081,2,1
B303,2,0.886666666666667
B426,12,0.22
B254,1049,0.55
M174,6,1
B173,9,0.666666666666667
B137,5,0.666666666666667
A046,1043,0.33
B239,5,0.666666666666667
B110,9,0.276666666666667
B128,9,0.276666666666667
M157,1037,0.44
B430,1042,0.44
M072,6,0.66
B086,3,0.553333333333333
M152,8,0.66
M113,8,0.66
R006,1,0.33
M025,8,0.83
B233,11,0.44
M045,1042,0.33
B545,1034,0.22
B250,3,0.333333333333333
B053,13,0.666666666666667
A031,3,0.22
B253,1049,0.663333333333333
B165,1023,0.33
A026,2,0.666666666666667
