,pointid,near_ease
0,1,4086.32016917
1,2,4076.86372141
2,3,4077.53512786
3,4,4067.61576319
4,5,4057.89394575
5,6,4048.37109872
6,7,4069.83696393
7,8,4059.45540571
8,9,4049.26949819
9,10,4039.28072148
10,11,4029.49054161
11,12,4019.90040958
12,13,4063.23185493
13,14,4052.38921933
14,15,4041.74017757
15,16,4031.28626383
16,17,4021.02900001
17,18,4010.96989479
18,19,4001.11044273
19,20,3991.45212334
20,21,4057.72513867
21,22,4046.42293624
22,23,4035.31211395
23,24,4024.3942569
24,25,4013.6709398
25,26,4003.14372599
26,27,3992.8141666
27,28,3982.68379952
28,29,3972.75414857
29,30,3963.02672246
30,31,5765.35958258
31,32,5765.98418347
32,33,5734.11688361
33,34,5734.7414845
34,35,5735.36608539
35,36,5735.99068628
36,37,5702.87418464
37,38,5703.49878553
38,39,5704.12338642
39,40,5704.74798731
40,41,5705.3725882
41,42,5705.99718909
42,43,5671.63148568
43,44,5672.25608656
44,45,5672.88068745
45,46,5673.50528834
46,47,5674.12988923
47,48,5674.75449012
48,49,5675.37909101
49,50,5676.0036919
50,51,5640.3887867
51,52,5641.01338759
52,53,5641.63798848
53,54,5642.26258937
54,55,5642.88719026
55,56,5643.51179115
56,57,5644.13639204
57,58,5644.76099293
58,59,5645.38559382
59,60,5646.0101946999985
60,61,5609.14608774
61,62,5609.77068863
62,63,5610.39528951
63,64,5611.0198904
64,65,5611.64449129
65,66,5612.26909218
66,67,5612.89369307
67,68,5613.51829396
68,69,5614.14289485
69,70,5614.76749574
70,71,5615.39209662
71,72,5616.01669751
72,73,5577.98990086
73,74,5578.52855121
74,75,5579.15259055
75,76,5579.77719144
76,77,5580.40179233
77,78,5581.02639321
78,79,5581.6509941
79,80,5582.27559499
80,81,5582.90019588
81,82,5583.52479677
82,83,5584.14939766
83,84,5584.77399855
84,85,5585.39859944
85,86,5586.02320032
86,87,5546.49071012
87,88,5546.99183561
88,89,5547.49296111
89,90,5547.9940866000015
90,91,5548.53481044
91,92,5549.15909335
92,93,5549.78369424
93,94,5550.40829513
94,95,5551.03289602
95,96,5551.65749691
96,97,5552.2820978
97,98,5552.90669869
98,99,5553.53129958
99,100,5554.15590047
100,101,5554.78050135
101,102,5555.40510224
102,103,5556.02970313
103,104,5515.49264487
104,105,5515.99377037
105,106,5516.49489586
106,107,5516.99602135
107,108,5517.49714684
108,109,5517.99827234
109,110,5518.54113772
110,111,5519.16559616
111,112,5519.79019705
112,113,5520.41479794
113,114,5521.03939883
114,115,5521.66399972
115,116,5522.28860061
116,117,5522.913201500001
117,118,5523.53780239
118,119,5524.16240328
119,120,5524.78700416
120,121,5525.41160505
121,122,5526.03620594
122,123,5484.59556958
123,124,5485.00684843
124,125,5485.49683061
125,126,5485.99795611
126,127,5486.499081600001
127,128,5487.00020709
128,129,5487.50133258
129,130,5488.00245808
130,131,5488.54753416
131,132,5489.17209898
132,133,5489.79669986
133,134,5490.42130075
134,135,5491.04590164
135,136,5491.67050253
136,137,5492.29510342
137,138,5492.91970431
138,139,5493.5443052
139,140,5494.16890609
140,141,5494.79350698
141,142,5495.41810786
142,143,5496.04270875
143,144,5453.78227563
144,145,5454.19031011
145,146,5454.59834458
146,147,5455.01010277
147,148,5455.50101635
148,149,5456.00214184
149,150,5456.50326734
150,151,5457.00439283
151,152,5457.50551832
152,153,5458.00664381
153,154,5458.5540009
154,155,5459.17860178
155,156,5459.80320267
156,157,5460.42780356
157,158,5461.05240445
158,159,5461.67700534
159,160,5462.30160623
160,161,5462.92620712
161,162,5463.550808
162,163,5464.17540889
163,164,5464.80000978
164,165,5465.42461067
165,166,5466.04921156
166,167,5422.96898168
167,168,5423.37701616
168,169,5423.78505063
169,170,5424.193085100002
170,171,5424.60111958
171,172,5425.0133931
172,173,5425.50520209
173,174,5426.00632758
174,175,5426.50745307
175,176,5427.00857857
176,177,5427.50970406
177,178,5428.01082955
178,179,5428.560503700001
179,180,5429.18510459
180,181,5429.80970548
181,182,5430.43430637
182,183,5431.05890726
183,184,5431.68350815
184,185,5432.30810904
185,186,5432.93270993
186,187,5433.55731081
187,188,5434.1819117
188,189,5434.80651259
189,190,5435.43111348
190,191,5436.05571437
191,192,5392.15568773
192,193,5392.56372221
193,194,5392.97175668
194,195,5393.37979115
195,196,5393.78782563
196,197,5394.1958601000015
197,198,5394.60389458
198,199,5395.01672002
199,200,5395.50938783
200,201,5396.01051332
201,202,5396.51163881
202,203,5397.01276431
203,204,5397.513889800001
204,205,5398.01501529
205,206,5398.56700651
206,207,5399.191607399999
207,208,5399.81620829
208,209,5400.44080918
209,210,5401.06541007
210,211,5401.69001096
211,212,5402.31461185
212,213,5402.93921274
213,214,5403.56381363
214,215,5404.18841451
215,216,5404.8130154
216,217,5405.43761629
217,218,5406.06221718
218,219,5361.34239378
219,220,5361.75042825
220,221,5362.15846273
221,222,5362.5664972
222,223,5362.97453168
223,224,5363.38256615
224,225,5363.79060062
225,226,5364.198635100001
226,227,5364.60666957
227,228,5365.02008415
228,229,5365.51357356
229,230,5366.01469906
230,231,5366.51582455
231,232,5367.01695004
232,233,5367.51807553
233,234,5368.01920103
234,235,5368.57350932
235,236,5369.19811021
236,237,5369.8227111000015
237,238,5370.44731199
238,239,5371.07191288
239,240,5371.69651377
240,241,5372.32111465
241,242,5372.94571554
242,243,5373.57031643
243,244,5374.19491732
244,245,5374.81951821
245,246,5375.444119100001
246,247,5376.06871999
247,248,5330.52909983
248,249,5330.9371343
249,250,5331.34516878
250,251,5331.75320325
251,252,5332.16123773
252,253,5332.5692721999985
253,254,5332.97730667
254,255,5333.38534115
255,256,5333.79337562
256,257,5334.2014101
257,258,5334.60944457
258,259,5335.0234861
259,260,5335.5177593
260,261,5336.01888479
261,262,5336.52001029
262,263,5337.02113578
263,264,5337.52226127
264,265,5338.02338676
265,266,5338.58001213
266,267,5339.20461302
267,268,5339.82921391
268,269,5340.4538148
269,270,5341.07841569
270,271,5341.70301658
271,272,5342.32761746
272,273,5342.95221835
273,274,5343.57681924
274,275,5344.20142013
275,276,5344.82602102
276,277,5345.45062191
277,278,5346.0752228
278,279,5299.71580588
279,280,5300.12384035
280,281,5300.53187483
281,282,5300.9399093
282,283,5301.34794378
283,284,5301.75597825
284,285,5302.16401272
285,286,5302.572047199998
286,287,5302.98008167
287,288,5303.38811615
288,289,5303.79615062
289,290,5304.20418509
290,291,5304.61221957
291,292,5305.02692654
292,293,5305.52194504
293,294,5306.02307053
294,295,5306.52419603
295,296,5307.02532152
296,297,5307.52644701
297,298,5308.0275725
298,299,5308.58651494
299,300,5309.21111583
300,301,5309.83571672
301,302,5310.46031761
302,303,5311.084918500002
303,304,5311.70951939
304,305,5312.33412028
305,306,5312.95872116
306,307,5313.58332205
307,308,5314.20792294
308,309,5314.83252383
309,310,5315.45712472
310,311,5316.08172561
311,312,5268.90251193
312,313,5269.310546399999
313,314,5269.71858088
314,315,5270.12661535
315,316,5270.53464982
316,317,5270.9426843
317,318,5271.35071877
318,319,5271.75875325
319,320,5272.16678772
320,321,5272.57482219
321,322,5272.98285667
322,323,5273.39089114
323,324,5273.79892562
324,325,5274.20696009
325,326,5274.61499456
326,327,5275.0304061000015
327,328,5275.52613078
328,329,5276.02725627
329,330,5276.52838176
330,331,5277.02950726
331,332,5277.53063275
332,333,5278.03175824
333,334,5278.59301775
334,335,5279.21761864
335,336,5279.84221953
336,337,5280.46682042
337,338,5281.0914213
338,339,5281.71602219
339,340,5282.34062308
340,341,5282.96522397
341,342,5283.58982486
342,343,5284.21442575
343,344,5284.83902664
344,345,5285.46362753
345,346,5286.08822842
346,347,5238.08921798
347,348,5238.49725245
348,349,5238.90528692
349,350,5239.313321399999
350,351,5239.72135587
351,352,5240.12939035
352,353,5240.53742482
353,354,5240.94545929
354,355,5241.35349377
355,356,5241.76152824
356,357,5242.16956272
357,358,5242.57759719
358,359,5242.98563166
359,360,5243.39366614
360,361,5243.80170061
361,362,5244.20973509
362,363,5244.61776956
363,364,5245.03392547
364,365,5245.53031652
365,366,5246.03144201
366,367,5246.5325675
367,368,5247.03369299
368,369,5247.53481849
369,370,5248.03594398
370,371,5248.59952056
371,372,5249.22412145
372,373,5249.84872234
373,374,5250.47332323
374,375,5251.09792411
375,376,5251.722525
376,377,5252.34712589
377,378,5252.97172678
378,379,5253.59632767
379,380,5254.22092856
380,381,5254.84552945
381,382,5255.47013034
382,383,5256.09473123
383,384,5207.27592403
384,385,5207.6839585
385,386,5208.09199298
386,387,5208.50002745
387,388,5208.90806192
388,389,5209.316096399999
389,390,5209.72413087
390,391,5210.13216535
391,392,5210.54019982
392,393,5210.94823429
393,394,5211.35626877
394,395,5211.76430324
395,396,5212.17233772
396,397,5212.58037219
397,398,5212.98840666
398,399,5213.39644114
399,400,5213.80447561
400,401,5214.21251009
401,402,5214.62054456
402,403,5215.03748532
403,404,5215.53450226
404,405,5216.03562775
405,406,5216.53675324
406,407,5217.03787873
407,408,5217.53900423
408,409,5218.04012972
409,410,5218.60602337
410,411,5219.23062426
411,412,5219.85522515
412,413,5220.47982604
413,414,5221.10442693
414,415,5221.72902781
415,416,5222.3536287
416,417,5222.97822959
417,418,5223.60283048
418,419,5224.22743137
419,420,5224.85203226
420,421,5225.47663315
421,422,5226.10123404
422,423,5176.46441386
423,424,5176.87066455
424,425,5177.27869902
425,426,5177.6867335
426,427,5178.09476797
427,428,5178.50280245
428,429,5178.91083692
429,430,5179.31887139
430,431,5179.72690587
431,432,5180.13494034
432,433,5180.54297482
433,434,5180.95100929
434,435,5181.35904376
435,436,5181.76707824
436,437,5182.17511271
437,438,5182.58314719
438,439,5182.99118166
439,440,5183.39921613
440,441,5183.80725061
441,442,5184.21528508
442,443,5184.62331956
443,444,5185.04108636
444,445,5185.53868799
445,446,5186.03981348
446,447,5186.54093898
447,448,5187.04206447
448,449,5187.54318996
449,450,5188.04431545
450,451,5188.61252618
451,452,5189.23712707
452,453,5189.86172796
453,454,5190.48632884
454,455,5191.11092973
455,456,5191.73553062
456,457,5192.36013151
457,458,5192.984732399998
458,459,5193.60933329
459,460,5194.23393418
460,461,5194.85853507
461,462,5195.48313595
462,463,5196.10773684
463,464,5145.682409
464,465,5146.07469388
465,466,5146.46697876
466,467,5146.87343955
467,468,5147.28147402
468,469,5147.68950849
469,470,5148.09754297
470,471,5148.50557744
471,472,5148.91361192
472,473,5149.32164639
473,474,5149.72968086
474,475,5150.13771534
475,476,5150.54574981
476,477,5150.95378429
477,478,5151.36181876
478,479,5151.76985323
479,480,5152.17788771
480,481,5152.58592218
481,482,5152.99395666
482,483,5153.40199113
483,484,5153.810025600002
484,485,5154.21806008
485,486,5154.62609455
486,487,5155.04472932
487,488,5155.54287373
488,489,5156.04399922
489,490,5156.54512472
490,491,5157.04625021
491,492,5157.5473757
492,493,5158.04850119
493,494,5158.61902899
494,495,5159.24362988
495,496,5159.86823076
496,497,5160.49283165
497,498,5161.11743254
498,499,5161.74203343
499,500,5162.36663432
500,501,5162.99123521
501,502,5163.6158361
502,503,5164.24043699
503,504,5164.86503788
504,505,5165.48963876
505,506,5166.11423965
506,507,5114.90040413
507,508,5115.29268902
508,509,5115.684973899999
509,510,5116.07725878
510,511,5116.46954366
511,512,5116.87621455
512,513,5117.28424902
513,514,5117.69228349
514,515,5118.10031797
515,516,5118.50835244
516,517,5118.91638692
517,518,5119.32442139
518,519,5119.73245586
519,520,5120.14049034
520,521,5120.54852481
521,522,5120.95655929
522,523,5121.36459376
523,524,5121.77262823
524,525,5122.18066271
525,526,5122.58869718
526,527,5122.99673166
527,528,5123.40476613
528,529,5123.8128006000015
529,530,5124.22083508
530,531,5124.62886955
531,532,5125.04841492
532,533,5125.54705947
533,534,5126.04818496
534,535,5126.54931046
535,536,5127.05043595
536,537,5127.55156144
537,538,5128.05268693
538,539,5128.6255318
539,540,5129.25013269
540,541,5129.87473358
541,542,5130.49933446
542,543,5131.12393535
543,544,5131.74853624
544,545,5132.37313713
545,546,5132.99773802
546,547,5133.62233891
547,548,5134.2469398
548,549,5134.87154069
549,550,5135.49614158
550,551,5136.12074246
551,552,5084.11839927
552,553,5084.51068415
553,554,5084.90296903
554,555,5085.29525391
555,556,5085.687538800001
556,557,5086.07982368
557,558,5086.47210856
558,559,5086.87898954
559,560,5087.28702401
560,561,5087.69505849
561,562,5088.10309296
562,563,5088.51112744
563,564,5088.91916191
564,565,5089.32719638
565,566,5089.73523086
566,567,5090.14326533
567,568,5090.55129981
568,569,5090.95933428
569,570,5091.36736875
570,571,5091.77540323
571,572,5092.1834377
572,573,5092.59147218
573,574,5092.99950665
574,575,5093.40754112
575,576,5093.8155756000015
576,577,5094.22361007
577,578,5094.63164455
578,579,5095.05214392
579,580,5095.55124521
580,581,5096.052370699998
581,582,5096.55349619
582,583,5097.05462168
583,584,5097.55574718
584,585,5098.05687267
585,586,5098.63203461
586,587,5099.25663549
587,588,5099.88123638
588,589,5100.50583727
589,590,5101.13043816
590,591,5101.75503905
591,592,5102.37963994
592,593,5103.00424083
593,594,5103.62884172
594,595,5104.2534426
595,596,5104.87804349
596,597,5105.50264438
597,598,5106.12724527
598,599,5053.39613326
599,600,5053.73804282
600,601,5054.12096417
601,602,5054.51324905
602,603,5054.90553393
603,604,5055.29781881
604,605,5055.6901037
605,606,5056.08238858
606,607,5056.47467346
607,608,5056.88176454
608,609,5057.28979901
609,610,5057.69783349
610,611,5058.10586796
611,612,5058.51390243
612,613,5058.92193691
613,614,5059.32997138
614,615,5059.73800586
615,616,5060.14604033
616,617,5060.5540748
617,618,5060.96210928
618,619,5061.37014375
619,620,5061.77817823
620,621,5062.1862127
621,622,5062.59424717
622,623,5063.00228165
623,624,5063.41031612
624,625,5063.818350600001
625,626,5064.22638507
626,627,5064.63441954
627,628,5065.05591709
628,629,5065.55543094
629,630,5066.05655644
630,631,5066.55768193
631,632,5067.05880742
632,633,5067.55993291
633,634,5068.06105841
634,635,5068.63853741
635,636,5069.2631383
636,637,5069.88773919
637,638,5070.51234008
638,639,5071.13694097
639,640,5071.76154186
640,641,5072.38614275
