,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,accesstype,unitname,AGNCY_NAME,pointid,near_cpad
0,0,0,0,0,Open Access,Snelling Courthouse Park,"Merced, County of",1,9432.46538738
1,1,1,1,1,Open Access,Snelling Courthouse Park,"Merced, County of",2,9422.51635627
2,2,2,2,2,Open Access,Snelling Courthouse Park,"Merced, County of",3,9424.39617929
3,3,3,3,3,Open Access,Snelling Courthouse Park,"Merced, County of",4,9414.24742314
4,4,4,4,4,Open Access,Snelling Courthouse Park,"Merced, County of",5,9404.18341719
5,5,5,5,5,Open Access,Snelling Courthouse Park,"Merced, County of",6,9394.20443381
6,6,6,6,6,Open Access,Snelling Courthouse Park,"Merced, County of",7,9416.79793795
7,7,7,7,7,Open Access,Snelling Courthouse Park,"Merced, County of",8,9406.449628
8,8,8,8,8,Open Access,Snelling Courthouse Park,"Merced, County of",9,9396.18570507
9,9,9,9,9,Open Access,Snelling Courthouse Park,"Merced, County of",10,9386.00644599
10,10,10,10,10,Open Access,Snelling Courthouse Park,"Merced, County of",11,9375.91212651
11,11,11,11,11,Open Access,Snelling Courthouse Park,"Merced, County of",12,9365.90302128
12,12,12,12,12,Open Access,Snelling Courthouse Park,"Merced, County of",13,9409.67180427
13,13,13,13,13,Open Access,Snelling Courthouse Park,"Merced, County of",14,9399.12414346
14,14,14,14,14,Open Access,Snelling Courthouse Park,"Merced, County of",15,9388.6604936
15,15,15,15,15,Open Access,Snelling Courthouse Park,"Merced, County of",16,9378.28113591
16,16,16,16,16,Open Access,Snelling Courthouse Park,"Merced, County of",17,9367.98635055
17,17,17,17,17,Open Access,Snelling Courthouse Park,"Merced, County of",18,9357.77641665
18,18,18,18,18,Open Access,Snelling Courthouse Park,"Merced, County of",19,9347.65161226
19,19,19,19,19,Open Access,Snelling Courthouse Park,"Merced, County of",20,9337.61221427
20,20,20,20,20,Open Access,Snelling Courthouse Park,"Merced, County of",21,9403.01885163
21,21,21,21,21,Open Access,Snelling Courthouse Park,"Merced, County of",22,9392.27207464
22,22,22,22,22,Open Access,Snelling Courthouse Park,"Merced, County of",23,9381.608919799999
23,23,23,23,23,Open Access,Snelling Courthouse Park,"Merced, County of",24,9371.02967257
24,24,24,24,24,Open Access,Snelling Courthouse Park,"Merced, County of",25,9360.53461743
25,25,25,25,25,Open Access,Snelling Courthouse Park,"Merced, County of",26,9350.1240379
26,26,26,26,26,Open Access,Snelling Courthouse Park,"Merced, County of",27,9339.79821646
27,27,27,27,27,Open Access,Snelling Courthouse Park,"Merced, County of",28,9329.55743453
28,28,28,28,28,Open Access,Snelling Courthouse Park,"Merced, County of",29,9319.40197245
29,29,29,29,29,Open Access,Snelling Courthouse Park,"Merced, County of",30,9309.33210945
30,30,30,30,30,Open Access,Henderson Park,"Merced, County of",31,10411.659244499999
31,31,31,31,31,Open Access,Henderson Park,"Merced, County of",32,10411.0789963
32,32,32,32,32,Open Access,Henderson Park,"Merced, County of",33,10383.089535100002
33,33,33,33,33,Open Access,Henderson Park,"Merced, County of",34,10382.334320200001
34,34,34,34,34,Open Access,Henderson Park,"Merced, County of",35,10381.6657421
35,35,35,35,35,Open Access,Henderson Park,"Merced, County of",36,10381.083817499999
36,36,36,36,36,Open Access,Henderson Park,"Merced, County of",37,10354.875584200001
37,37,37,37,37,Open Access,Henderson Park,"Merced, County of",38,10353.9444661
38,38,38,38,38,Open Access,Henderson Park,"Merced, County of",39,10353.1001952
39,39,39,39,39,Open Access,Henderson Park,"Merced, County of",40,10352.3427926
40,40,40,40,40,Open Access,Henderson Park,"Merced, County of",41,10351.672277399999
41,41,41,41,41,Open Access,Henderson Park,"Merced, County of",42,10351.0886666
42,42,42,42,42,Open Access,Henderson Park,"Merced, County of",43,10327.0203076
43,43,43,43,43,Open Access,Henderson Park,"Merced, County of",44,10325.9123605
44,44,44,44,44,Open Access,Henderson Park,"Merced, County of",45,10324.8914629
45,45,45,45,45,Open Access,Henderson Park,"Merced, County of",46,10323.9576406
46,46,46,46,46,Open Access,Henderson Park,"Merced, County of",47,10323.1109172
47,47,47,47,47,Open Access,Henderson Park,"Merced, County of",48,10322.351314200001
48,48,48,48,48,Open Access,Henderson Park,"Merced, County of",49,10321.678850700002
49,49,49,49,49,Open Access,Henderson Park,"Merced, County of",50,10321.0935439
50,50,50,50,50,Open Access,Henderson Park,"Merced, County of",51,10299.5266155
51,51,51,51,51,Open Access,Henderson Park,"Merced, County of",52,10298.2409249
52,52,52,52,52,Open Access,Henderson Park,"Merced, County of",53,10297.0424779
53,53,53,53,53,Open Access,Henderson Park,"Merced, County of",54,10295.9313049
54,54,54,54,54,Open Access,Henderson Park,"Merced, County of",55,10294.9074342
55,55,55,55,55,Open Access,Henderson Park,"Merced, County of",56,10293.9708919
56,56,56,56,56,Open Access,Henderson Park,"Merced, County of",57,10293.121701799999
57,57,57,57,57,Open Access,Henderson Park,"Merced, County of",58,10292.359885400001
58,58,58,58,58,Open Access,Henderson Park,"Merced, County of",59,10291.6854623
59,59,59,59,59,Open Access,Henderson Park,"Merced, County of",60,10291.0984496
60,60,60,60,60,Open Access,Henderson Park,"Merced, County of",61,10272.3974112
61,61,61,61,61,Open Access,Henderson Park,"Merced, County of",62,10270.9330743
62,62,62,62,62,Open Access,Henderson Park,"Merced, County of",63,10269.5561667
63,63,63,63,63,Open Access,Henderson Park,"Merced, County of",64,10268.2667235
64,64,64,64,64,Open Access,Henderson Park,"Merced, County of",65,10267.064777700001
