,Unnamed: 0,pointid,near_fema,fema_class
0,0,1,9364.579750362918,100
1,1,2,9353.886247359878,100
2,2,3,9358.275405825589,100
3,3,4,9347.38212543604,100
4,4,5,9336.572530996707,100
5,5,6,9325.84691350889,100
6,6,7,9352.447981228659,100
7,7,8,9341.355215878964,100
8,8,9,9330.345722258644,100
9,9,10,9319.419795486805,100
10,10,11,9308.577729822768,100
11,11,12,9297.819818634553,100
12,12,13,9347.098368580937,100
13,13,14,9335.8064429148,100
14,14,15,9324.5973622034,100
15,15,16,9313.471425566928,100
16,16,17,9302.428931332546,100
17,17,18,9291.47017700288,100
18,18,19,9280.595459224314,100
19,19,20,9269.805073755113,100
20,20,21,9339.114772030307,100
21,21,22,9330.222224663166,100
22,22,23,9319.328336182984,100
23,23,24,9308.002721595229,100
24,24,25,9296.760118066148,100
25,25,26,9285.600827114333,100
26,26,27,9274.525149469782,100
27,27,28,9263.533385042048,100
28,28,29,9252.62583288818,100
29,29,30,9241.802791180451,100
30,30,31,10427.867132685464,100
31,31,32,10427.729466914185,100
32,32,33,10398.403458097544,100
33,33,34,10398.092295011793,100
34,34,35,10397.867679182697,100
35,35,36,10397.729616219149,100
36,36,37,10369.290044060248,100
37,37,38,10368.804411119712,100
38,38,39,10368.405557956545,100
39,39,40,10368.09349458582,100
40,40,41,10367.868228844418,100
41,41,42,10367.72976639004,100
42,42,43,10340.529849014389,100
43,43,44,10339.868783334061,100
44,44,45,10339.294722309389,100
45,45,46,10338.807680433149,100
46,46,47,10338.407670003731,100
47,47,48,10338.094701123642,100
48,48,49,10337.868781698155,100
49,49,50,10337.729917434384,100
50,50,51,10312.125828304803,100
51,51,52,10311.288377162176,100
52,52,53,10310.538147701522,100
53,53,54,10309.87515896371,100
54,54,55,10309.299427780026,100
55,55,56,10308.810968770073,100
56,56,57,10308.409794339903,100
57,57,58,10308.095914680436,100
58,58,59,10307.869337766178,100
59,59,60,10307.7300693542,100
60,60,61,10284.080933134626,100
61,61,62,10283.066154482896,100
62,62,63,10282.138806477977,100
63,63,64,10281.298912777946,100
64,64,65,10280.54649481717,100
65,65,66,10279.88157180355,100
66,66,67,10279.30416071608,100
67,67,68,10278.814276302664,100
68,68,69,10278.41193107827,100
69,69,70,10278.097135323284,100
70,70,71,10277.869897082242,100
71,71,72,10277.730222162772,100
72,72,73,10256.398109461888,100
73,73,74,10255.205072448916,100
74,74,75,10254.099666776723,100
75,75,76,10253.081920788462,100
76,76,77,10252.15186059043,100
77,77,78,10251.309510048774,100
78,78,79,10250.554890786403,100
79,79,80,10249.888022180226,100
80,80,81,10249.308921358665,100
81,81,82,10248.81760319945,100
82,82,83,10248.414080327724,100
83,83,84,10248.098363114408,100
84,84,85,10247.87045967487,100
85,85,86,10247.73037586789,100
86,86,87,10230.540299612654,100
87,87,88,10229.080296889217,100
88,88,89,10227.708082381694,100
89,89,90,10226.4236914292,100
90,90,91,10225.227157126297,100
91,91,92,10224.118510318709,100
92,92,93,10223.097779599404,100
93,93,94,10222.164991304871,100
94,94,95,10221.320169511744,100
95,95,96,10220.563336033694,100
96,96,97,10219.894510418626,100
97,97,98,10219.313709946156,100
98,98,99,10218.820949625357,100
99,99,100,10218.416242192852,100
100,100,101,10218.099598111154,100
101,101,102,10217.87102556731,100
102,102,103,10217.730530471852,100
103,103,104,10203.77069335011,100
104,104,105,10202.130427546945,100
105,105,106,10200.578128659565,100
106,106,107,10199.1138368535,100
107,107,108,10197.737590039524,100
108,108,109,10196.449423868768,100
109,109,110,10195.249371728109,100
110,110,111,10194.137464735846,100
111,111,112,10193.113731737698,100
112,112,113,10192.178199303042,100
113,113,114,10191.330891721496,100
114,114,115,10190.571830999743,100
115,115,116,10189.901036858704,100
116,116,117,10189.31852673096,100
117,117,118,10188.824315758488,100
118,118,119,10188.418416790704,100
119,119,120,10188.100840382795,100
120,120,121,10187.871594794336,100
121,121,122,10187.730685988212,100
122,122,123,10177.372838949184,100
123,123,124,10175.551424919884,100
124,124,125,10173.818147549016,100
125,125,126,10172.17305189045,100
126,126,127,10170.616180734334,100
127,127,128,10169.147574601502,100
128,128,129,10167.767271738288,100
129,129,130,10166.4753081115,100
130,130,131,10165.271717403792,100
131,131,132,10164.156531009257,100
132,132,133,10163.129778029339,100
133,133,134,10162.191485269079,100
134,134,135,10161.341677233571,100
135,135,136,10160.580376124812,100
136,136,137,10159.907601838771,100
137,137,138,10159.323371962813,100
138,138,139,10158.827701773394,100
139,139,140,10158.42060423406,100
140,140,141,10158.102089993768,100
141,141,142,10157.872167385474,100
142,142,143,10157.730842425044,100
143,143,144,10151.349636546594,100
144,144,145,10149.346202668588,100
145,145,146,10147.431066030056,100
146,146,147,10145.60427663333,100
147,147,148,10143.865882209266,100
148,148,149,10142.215928211042,100
149,149,150,10140.654457808254,100
150,150,151,10139.181511881274,100
151,151,152,10137.797129015931,100
152,152,153,10136.501345498471,100
153,153,154,10135.294195310807,100
154,154,155,10134.175710126081,100
155,155,156,10133.145919304536,100
156,156,157,10132.204849889624,100
157,157,158,10131.352526604504,100
158,158,159,10130.588971848778,100
159,159,160,10129.914205695559,100
160,160,161,10129.328245888832,100
161,161,162,10128.83110784112,100
162,162,163,10128.422804631458,100
163,163,164,10128.103347003682,100
164,164,165,10127.87274336501,100
165,165,166,10127.730999784922,100
166,166,167,10125.703974731174,100
167,167,168,10123.517663445611,100
168,168,169,10121.419800616115,100
169,169,170,10119.410441251632,100
170,170,171,10117.489638083212,100
171,171,172,10115.657441557112,100
172,172,173,10113.91389982822,100
173,173,174,10112.259058753743,100
174,174,175,10110.692961887216,100
175,175,176,10109.215650472806,100
176,176,177,10107.827163439872,100
177,177,178,10106.527537397877,100
178,178,179,10105.316806631554,100
179,179,180,10104.195003096429,100
180,180,181,10103.162156414568,100
181,181,182,10102.218293870712,100
182,182,183,10101.363440408662,100
