,Unnamed: 0,pointid,near_parks
0,0,1,9441.16575148
1,1,2,9431.1814622
2,2,3,9432.94814651
3,3,4,9422.87368157
4,4,5,9412.87593056
5,5,6,9402.89164128
6,6,7,9425.17434145
7,7,8,9414.90037391
8,8,9,9404.71087991
9,9,10,9394.6061343
10,10,11,9384.58610964
11,11,12,9374.60182036
12,12,13,9417.8719464
13,13,14,9407.39866715
14,14,15,9397.00949061
15,15,16,9386.70469604
16,16,17,9376.48456164
17,17,18,9366.34936454
18,18,19,9356.29938078
19,19,20,9346.31199944
20,20,21,9411.04205871
21,21,22,9400.36969032
22,22,23,9389.78104104
23,23,24,9379.27639441
24,24,25,9368.85603298
25,25,26,9358.520238299998
26,26,27,9348.26929088
27,27,28,9338.10347012
28,28,29,9328.02305436
29,29,30,9318.02217853
30,30,31,10412.9583716
31,31,32,10412.3775297
32,32,33,10384.3898322
33,33,34,10383.634044
34,34,35,10382.9648816
35,35,36,10382.382361700002
36,36,37,10356.177013
37,37,38,10355.2453422
38,38,39,10354.4005075
39,39,40,10353.6425301
40,40,41,10352.9714292
41,41,42,10352.3872216
42,42,43,10328.3228292
43,43,44,10327.2143502
44,44,45,10326.1929097
45,45,46,10325.2585333
46,46,47,10324.4112448
47,47,48,10323.6510656
48,48,49,10322.978014899998
49,49,50,10322.3921098
50,50,51,10300.830189899998
51,51,52,10299.5439886
52,52,53,10298.345019700002
53,53,54,10297.2333137
54,54,55,10296.2088989
55,55,56,10295.2718012
56,56,57,10294.4220447
57,57,58,10293.659650799998
58,58,59,10292.9846389
59,59,60,10292.3970264
60,60,61,10273.7019978
61,61,62,10272.2371717
62,62,63,10270.8597636
63,63,64,10269.569808700002
64,64,65,10268.367339899998
65,65,66,10267.252388
66,66,67,10266.2249815
67,67,68,10265.2851467
68,68,69,10264.4329076
69,69,70,10263.6682861
70,70,71,10262.9913017
71,71,72,10262.4019718
72,72,73,10246.9411474
73,73,74,10245.2968063
74,74,75,10243.740060200002
75,75,76,10242.270949
76,76,77,10240.8895105
77,77,78,10239.59578
78,78,79,10238.3897909
79,79,80,10237.2715741
80,80,81,10236.241158399998
81,81,82,10235.2985704
82,82,83,10234.4438343
83,83,84,10233.6769721
84,84,85,10232.9980036
85,85,86,10232.4069462
86,86,87,10222.4629735
87,87,88,10220.5505241
88,88,89,10218.7257908
89,89,90,10216.9888206
90,90,91,10215.3396582
91,91,92,10213.778346100002
92,92,93,10212.304924700002
93,93,94,10210.919432
94,94,95,10209.6219039
95,95,96,10208.4123737
96,96,97,10207.2908729
97,97,98,10206.2574304
98,98,99,10205.312073
99,99,100,10204.4548252
100,100,101,10203.6857092
101,101,102,10203.0047449
102,102,103,10202.4119499
103,103,104,10196.6268629
104,104,105,10194.5330032
105,105,106,10192.5270137
106,106,107,10190.6089464
107,107,108,10188.7788508
108,108,109,10187.0367743
109,109,110,10185.3827623
110,110,111,10183.8168574
111,111,112,10182.3391005
112,112,113,10180.9495299
113,113,114,10179.6481816
114,114,115,10178.4350896
115,115,116,10177.3102854
116,116,117,10176.2737983
117,117,118,10175.3256552
118,118,119,10174.4658809
119,119,120,10173.6944978
120,120,121,10173.0115259
121,121,122,10172.4169831
122,122,123,10171.1675593
123,123,124,10168.8914485
124,124,125,10166.7033528
125,125,126,10164.603329
126,126,127,10162.5914317
127,127,128,10160.6677133
128,128,129,10158.832223799998
129,129,130,10157.0850111
130,130,131,10155.4261208
131,131,132,10153.8555962
132,132,133,10152.3734781
133,133,134,10150.9798055
134,134,135,10149.6746147
135,135,136,10148.4579398
136,136,137,10147.3298127
137,137,138,10146.2902629
138,138,139,10145.3393177
139,139,140,10144.477002
140,140,141,10143.703338299998
141,141,142,10143.018347
142,142,143,10142.422046
143,143,144,10146.087899200002
144,144,145,10143.6287111
145,145,146,10141.2576736
146,146,147,10138.9748483
147,147,148,10136.7802948
148,148,149,10134.6740706
149,149,150,10132.6562307
150,150,151,10130.7268279
151,151,152,10128.8859128
152,152,153,10127.1335335
153,153,154,10125.4697361
154,154,155,10123.8945643
155,155,156,10122.4080594
156,156,157,10121.0102605
157,157,158,10119.7012044
158,158,159,10118.4809254
159,159,160,10117.3494557
160,160,161,10116.3068252
161,161,162,10115.3530612
162,162,163,10114.488189
163,163,164,10113.7122313
164,164,165,10113.025208600002
165,165,166,10112.427139
166,166,167,10121.3907046
167,167,168,10118.7476284
168,168,169,10116.1928283
169,169,170,10113.7263712
170,170,171,10111.3483217
171,171,172,10109.0587423
172,172,173,10106.8576931
173,173,174,10104.7452318
174,174,175,10102.7214141
175,175,176,10100.7862933
176,176,177,10098.9399204
177,177,178,10097.182344
178,178,179,10095.5136105
179,179,180,10093.933764
180,180,181,10092.4428462
181,181,182,10091.0408965
182,182,183,10089.7279521
183,183,184,10088.504047700002
184,184,185,10087.3692156
185,185,186,10086.323486
186,186,187,10085.3668865
187,187,188,10084.4994426
188,188,189,10083.7211772
189,189,190,10083.032111
190,190,191,10082.4322623
191,191,192,10097.078782200002
192,192,193,10094.2510225
193,193,194,10091.5116547
194,194,195,10088.8607508
195,195,196,10086.2983806
196,196,197,10083.8246114
197,197,198,10081.4395086
198,198,199,10079.1431351
