,Unnamed: 0,pointid,ripstr_dist,ripstr_flag
0,0,1,4343.225148992115,1
1,1,2,4332.718972932732,1
2,2,3,4336.837608768023,1
3,3,4,4325.9289793451735,1
4,4,5,4315.172133057044,1
5,5,6,4304.597488904829,1
6,6,7,4330.7486647640335,1
7,7,8,4319.823217313034,1
8,8,9,4308.897769862042,1
9,9,10,4297.972472850754,1
10,10,11,4287.145481664522,1
11,11,12,4276.50153566326,1
12,12,13,4325.079473197302,1
13,13,14,4313.855316936272,1
14,14,15,4302.811051097417,1
15,15,16,4291.8833784087865,1
16,16,17,4280.957930957794,1
17,17,18,4270.032483506787,1
18,18,19,4259.145715283289,1
19,19,20,4248.431619738008,1
20,20,21,4320.439561734663,1
21,21,22,4308.785589071322,1
22,22,23,4297.309448780179,1
23,23,24,4286.012569342523,1
24,24,25,4274.896371907605,1
25,25,26,4263.943539506267,1
26,26,27,4253.018092055269,1
27,27,28,4242.092644604272,1
28,28,29,4231.1733676475815,1
29,29,30,4220.3882606537345,1
13534,13534,31,3619.6152368840417,1
13535,13535,32,3590.320861541209,1
13536,13536,33,3672.01574249813,1
13537,13537,34,3642.6486296222693,1
13538,13538,35,3613.2919152241084,1
13539,13539,36,3583.9458548307894,1
13540,13540,37,3724.887214833217,1
13541,13541,38,3695.453177752745,1
13542,13542,39,3666.028316134201,1
13543,13543,40,3636.6128527013507,1
13544,13544,41,3607.2070173705824,1
13545,13545,42,3577.811047540447,1
13546,13546,43,3778.2098821140667,1
13547,13547,44,3748.7143581552446,1
13548,13548,45,3719.2269041797113,1
13549,13549,46,3689.747713666761,1
13550,13550,47,3660.2769862735795,1
13551,13551,48,3630.814928081421,1
13552,13552,49,3601.3617518535675,1
13553,13553,50,3571.917677305665,1
13554,13554,51,3831.776808047578,1
13555,13555,52,3802.273834838865,1
13556,13556,53,3772.770861630142,1
13557,13557,54,3743.2678884214333,1
13558,13558,55,3713.7649152127174,1
13559,13559,56,3684.2619420040014,1
13560,13560,57,3654.7589687952864,1
13561,13561,58,3625.255996963525,1
13562,13562,59,3595.75728731166,1
13563,13563,60,3566.266941072949,1
13564,13564,61,3885.3445036574626,1
13565,13565,62,3855.8415304487457,1
13566,13566,63,3826.3385572400293,1
13567,13567,64,3796.8355840313147,1
13568,13568,65,3767.332610822599,1
13569,13569,66,3737.8296376138833,1
13570,13570,67,3708.326664405168,1
13571,13571,68,3678.823691196451,1
13572,13572,69,3649.320717987744,1
13573,13573,70,3619.817744779021,1
13574,13574,71,3590.3147715703058,1
13575,13575,72,3560.811798361591,1
34256,34256,73,3904.473232452473,1
34257,34257,74,3897.340349038052,1
13576,13576,75,3879.908465224059,1
13577,13577,76,3850.4032796415363,1
13578,13578,77,3820.9003064328203,1
13579,13579,78,3791.3973332241053,1
13580,13580,79,3761.894360015389,1
13581,13581,80,3732.3913868066734,1
13582,13582,81,3702.888413597957,1
13583,13583,82,3673.385440389242,1
13584,13584,83,3643.882467180527,1
13585,13585,84,3614.3794939718105,1
13586,13586,85,3584.876520763095,1
13587,13587,86,3555.37354755438,1
34258,34258,87,3898.232765695726,1
34259,34259,88,3890.3944875611187,1
34260,34260,89,3882.7721851981123,1
34261,34261,90,3875.367132988861,1
34262,34262,91,3868.180578612185,1
34263,34263,92,3861.213742083527,1
13588,13588,93,3845.0685000508734,1
13589,13589,94,3815.5299978019843,1
13590,13590,95,3785.998753059769,1
13591,13591,96,3756.474936987264,1
13592,13592,97,3726.958726127349,1
13593,13593,98,3697.4503026139673,1
13594,13594,99,3667.94718958136,1
13595,13595,100,3638.4442163726367,1
13596,13596,101,3608.9412431639203,1
13597,13597,102,3579.438269955206,1
13598,13598,103,3549.9352967464893,1
34264,34264,104,3885.753046896566,1
34265,34265,105,3877.425346124426,1
34266,34266,106,3869.312327542236,1
34267,34267,107,3861.415344322921,1
34268,34268,108,3853.7357245502308,1
34269,34269,109,3846.274770212976,1
34270,34270,110,3839.0337562046852,1
34271,34271,111,3832.0139293302723,1
34272,34272,112,3825.216507321307,1
13599,13599,113,3810.382374729897,1
13600,13600,114,3780.810923029023,1
13601,13601,115,3751.246276871048,1
13602,13602,116,3721.688598443216,1
13603,13603,117,3692.1380550875338,1
13604,13604,118,3662.594819505549,1
13605,13605,119,3633.0590699728796,1
13606,13606,120,3603.530990564053,1
13607,13607,121,3574.0107713881985,1
13608,13608,122,3544.498608836262,1
34273,34273,123,3874.3947640117826,1
34274,34274,124,3865.576976429794,1
34275,34275,125,3856.972379212261,1
34276,34276,126,3848.5824023019786,1
34277,34277,127,3840.408452314761,1
34278,34278,128,3832.451911493847,1
34279,34279,129,3824.7141366662977,1
34280,34280,130,3817.19645820296,1
34281,34281,131,3809.9001789836157,1
34282,34282,132,3802.826573369024,1
34283,34283,133,3795.9768861814423,1
34284,34284,134,3789.352331695478,1
13609,13609,135,3775.8543289199183,1
13610,13610,136,3746.250566535374,1
13611,13611,137,3716.6531585971197,1
13612,13612,138,3687.0622581336042,1
13613,13613,139,3657.478023091403,1
13614,13614,140,3627.900616532916,1
13615,13615,141,3598.3302068436205,1
13616,13616,142,3568.766967949376,1
13617,13617,143,3539.2110795444096,1
34285,34285,144,3864.1678060496197,1
34286,34286,145,3854.8597129613568,1
34287,34287,146,3845.763120619197,1
34288,34288,147,3836.879533320912,1
34289,34289,148,3828.2104339389534,1
34290,34290,149,3819.757282841576,1
34291,34291,150,3811.521516812341,1
34292,34292,151,3803.504547969625,1
34293,34293,152,3795.7077626877203,1
34294,34294,153,3788.13252052116,1
34295,34295,154,3780.7801531340297,1
34296,34296,155,3773.6519632359273,1
34297,34297,156,3766.7492235263753,1
34298,34298,157,3760.0731756494756,1
34299,34299,158,3753.625029160601,1
13618,13618,159,3741.488739097017,1
13619,13619,160,3711.8533617093653,1
13620,13620,161,3682.2238895640826,1
13621,13621,162,3652.600466369101,1
13622,13622,163,3622.983240502652,1
13623,13623,164,3593.3723652032536,1
13624,13624,165,3563.7679987689644,1
13625,13625,166,3534.170304766464,1
34300,34300,167,3855.081176737077,1
34301,34301,168,3845.28301332096,1
34302,34302,169,3835.6944646096226,1
34303,34303,170,3826.3171064535522,1
34304,34304,171,3817.1524953086773,1
34305,34305,172,3808.2021671312896,1
34306,34306,173,3799.467636267696,1
34307,34307,174,3790.950394340161,1
34308,34308,175,3782.651909130684,1
34309,34309,176,3774.57362346427,1
34310,34310,177,3766.716954093362,1
34311,34311,178,3759.083290585161,1
34312,34312,179,3751.6739942136155,1
34313,34313,180,3744.4903968578883,1
34314,34314,181,3737.53379990912,1
34315,34315,182,3730.805473187432,1
34316,34316,183,3724.3066538709572,1
34317,34317,184,3718.0385454389348,1
13626,13626,185,3707.290123035768,1
13627,13627,186,3677.6238864791335,1
13628,13628,187,3647.963108975365,1
13629,13629,188,3618.307924774858,1
13630,13630,189,3588.6584725398243,1
13631,13631,190,3559.0148955258946,1
13632,13632,191,3529.377341772699,1
34318,34318,192,3847.142956164765,1
34319,34319,193,3836.855417978419,1
34320,34320,194,3826.7754143367933,1
34321,34321,195,3816.9045894644414,1
34322,34322,196,3807.2445703391454,1
34323,34323,197,3797.796965568209,1
34324,34324,198,3788.5633642558064,1
34325,34325,199,3779.545334862841,1
