,Unnamed: 0,pointid,near_woodycrop
0,0,1,784.888527116249
1,1,2,811.9421161626701
2,2,3,717.809166840324
3,3,4,744.8825410761079
4,4,5,772.172260574025
5,5,6,799.6561761157104
6,6,7,650.7303589037001
7,7,8,677.8274116609169
8,8,9,705.1595564118367
9,9,10,732.700484508464
10,10,11,760.4275113374962
11,11,12,788.3210006075811
12,12,13,583.6522937494977
13,13,14,610.7781921442922
14,14,15,638.1614215847351
15,15,16,665.770230634451
16,16,17,693.5776813011287
17,17,18,721.5608082476834
18,18,19,749.6999399753545
19,19,20,777.9781487927858
20,20,21,516.575260731677
21,21,22,543.7370688117559
22,22,23,571.182982939793
23,23,24,598.8739433303139
24,24,25,626.7774724732852
25,25,26,654.8663985882922
26,26,27,683.1178522041419
27,27,28,711.5124735378854
28,28,29,740.0337830126407
29,29,30,768.6676785191376
30,30,31,4875.0230768703195
31,31,32,4875.20768788553
32,32,33,4845.0
33,33,34,4845.0
34,34,35,4845.023219758601
35,35,36,4845.208973821459
36,36,37,4815.210275782357
37,37,38,4815.023364429293
38,38,39,4815.0
39,39,40,4815.0
40,40,41,4815.023364429293
41,41,42,4815.210275782357
42,42,43,4786.151898970387
43,43,44,4785.5877382007975
44,44,45,4785.211594069569
45,45,46,4785.023510915889
46,46,47,4785.000000001862
47,47,48,4785.000000001862
48,48,49,4785.023510915889
49,49,50,4785.211594069569
50,50,51,4757.861914768019
51,51,52,4756.916017757722
52,52,53,4756.159164704225
53,53,54,4755.591445866643
54,54,55,4755.2129289864615
55,55,56,4755.023659247133
56,56,57,4755.0
57,57,58,4755.0
58,58,59,4755.023659247133
59,59,60,4755.2129289864615
60,60,61,4716.253809963194
61,61,62,4729.022097643444
62,62,63,4727.880074621183
63,63,64,4726.92817800313
64,64,65,4726.1665226692985
65,65,66,4725.595200607009
66,66,67,4725.214280855421
67,67,68,4725.02380946382
68,68,69,4725.0
69,69,70,4725.0
70,70,71,4725.02380946382
71,71,72,4725.214280855421
72,72,73,4649.177346585092
73,73,74,4676.20038065094
74,74,75,4700.388281835607
75,75,76,4699.047775881565
76,76,77,4697.898466337633
77,77,78,4696.940493557215
78,78,79,4696.1739746327
79,79,80,4695.599003324015
80,80,81,4695.215650001338
81,81,82,4695.02396160206
82,82,83,4695.000000001862
83,83,84,4695.000000001862
