,Unnamed: 0,pointid,fmmp_class
0,0,1,G
1,1,2,G
2,2,3,G
3,3,4,G
4,4,5,G
5,5,6,G
6,6,7,G
7,7,8,G
8,8,9,G
9,9,10,G
10,10,11,G
11,11,12,G
12,12,13,G
13,13,14,G
14,14,15,G
15,15,16,G
16,16,17,G
17,17,18,G
18,18,19,G
19,19,20,G
20,20,21,G
21,21,22,G
22,22,23,G
23,23,24,G
24,24,25,G
25,25,26,G
26,26,27,G
27,27,28,G
28,28,29,G
29,29,30,G
30,30,31,G
31,31,32,G
32,32,33,G
33,33,34,G
34,34,35,G
35,35,36,G
36,36,37,G
37,37,38,G
38,38,39,G
39,39,40,G
40,40,41,G
41,41,42,G
42,42,43,G
43,43,44,G
44,44,45,G
45,45,46,G
46,46,47,G
47,47,48,G
48,48,49,G
49,49,50,G
50,50,51,G
51,51,52,G
52,52,53,G
53,53,54,G
54,54,55,G
55,55,56,G
56,56,57,G
57,57,58,G
58,58,59,G
59,59,60,G
60,60,61,G
61,61,62,G
62,62,63,G
63,63,64,G
64,64,65,G
65,65,66,G
66,66,67,G
67,67,68,G
68,68,69,G
69,69,70,G
70,70,71,G
71,71,72,G
72,72,73,G
73,73,74,G
74,74,75,G
75,75,76,G
76,76,77,G
77,77,78,G
78,78,79,G
79,79,80,G
80,80,81,G
81,81,82,G
82,82,83,G
83,83,84,G
84,84,85,G
85,85,86,G
86,86,87,G
87,87,88,G
88,88,89,G
89,89,90,G
90,90,91,G
91,91,92,G
92,92,93,G
93,93,94,G
94,94,95,G
95,95,96,G
96,96,97,G
97,97,98,G
98,98,99,G
99,99,100,G
100,100,101,G
101,101,102,G
102,102,103,G
103,103,104,G
104,104,105,G
105,105,106,G
106,106,107,G
107,107,108,G
108,108,109,G
109,109,110,G
110,110,111,G
111,111,112,G
112,112,113,G
113,113,114,G
114,114,115,G
115,115,116,G
116,116,117,G
117,117,118,G
118,118,119,G
119,119,120,G
120,120,121,G
121,121,122,G
122,122,123,G
123,123,124,G
124,124,125,G
125,125,126,G
126,126,127,G
127,127,128,G
128,128,129,G
129,129,130,G
130,130,131,G
131,131,132,G
132,132,133,G
133,133,134,G
134,134,135,G
135,135,136,G
136,136,137,G
137,137,138,G
138,138,139,G
139,139,140,G
140,140,141,G
141,141,142,G
142,142,143,G
143,143,144,G
144,144,145,G
145,145,146,G
146,146,147,G
147,147,148,G
148,148,149,G
149,149,150,G
150,150,151,G
151,151,152,G
152,152,153,G
153,153,154,G
154,154,155,G
155,155,156,G
156,156,157,G
157,157,158,G
158,158,159,G
159,159,160,G
160,160,161,G
161,161,162,G
162,162,163,G
163,163,164,G
164,164,165,G
165,165,166,G
166,166,167,G
167,167,168,G
168,168,169,G
169,169,170,G
170,170,171,G
171,171,172,G
172,172,173,G
173,173,174,G
174,174,175,G
175,175,176,G
176,176,177,G
177,177,178,G
178,178,179,G
179,179,180,G
180,180,181,G
181,181,182,G
182,182,183,G
183,183,184,G
184,184,185,G
185,185,186,G
186,186,187,G
187,187,188,G
188,188,189,G
189,189,190,G
190,190,191,G
191,191,192,G
192,192,193,G
193,193,194,G
194,194,195,G
195,195,196,G
196,196,197,G
197,197,198,G
198,198,199,G
199,199,200,G
200,200,201,G
201,201,202,G
202,202,203,G
203,203,204,G
204,204,205,G
205,205,206,G
206,206,207,G
207,207,208,G
208,208,209,G
209,209,210,G
210,210,211,G
211,211,212,G
212,212,213,G
213,213,214,G
214,214,215,G
215,215,216,G
216,216,217,G
217,217,218,G
218,218,219,G
219,219,220,G
220,220,221,G
221,221,222,G
222,222,223,G
223,223,224,G
224,224,225,G
225,225,226,G
226,226,227,G
227,227,228,G
228,228,229,G
229,229,230,G
230,230,231,G
231,231,232,G
232,232,233,G
233,233,234,G
234,234,235,G
235,235,236,G
236,236,237,G
237,237,238,G
238,238,239,G
239,239,240,G
240,240,241,G
241,241,242,G
242,242,243,G
243,243,244,G
244,244,245,G
245,245,246,G
246,246,247,G
247,247,248,G
248,248,249,G
249,249,250,G
250,250,251,G
251,251,252,G
252,252,253,G
253,253,254,G
254,254,255,G
255,255,256,G
256,256,257,G
257,257,258,G
258,258,259,G
259,259,260,G
260,260,261,G
261,261,262,G
262,262,263,G
263,263,264,G
264,264,265,G
265,265,266,G
266,266,267,G
267,267,268,G
268,268,269,G
269,269,270,G
270,270,271,G
271,271,272,G
272,272,273,G
273,273,274,G
274,274,275,G
275,275,276,G
276,276,277,G
277,277,278,G
278,278,279,G
279,279,280,G
280,280,281,G
281,281,282,G
282,282,283,G
283,283,284,G
284,284,285,G
285,285,286,G
286,286,287,G
287,287,288,G
288,288,289,G
289,289,290,G
290,290,291,G
291,291,292,G
292,292,293,G
293,293,294,G
294,294,295,G
295,295,296,G
296,296,297,G
297,297,298,G
298,298,299,G
299,299,300,G
300,300,301,G
301,301,302,G
302,302,303,G
303,303,304,G
304,304,305,G
305,305,306,G
306,306,307,G
307,307,308,G
308,308,309,G
309,309,310,G
310,310,311,G
311,311,312,G
312,312,313,G
313,313,314,G
314,314,315,G
315,315,316,G
316,316,317,G
317,317,318,G
318,318,319,G
319,319,320,G
320,320,321,G
321,321,322,G
322,322,323,G
323,323,324,G
324,324,325,G
325,325,326,G
326,326,327,G
327,327,328,G
328,328,329,G
329,329,330,G
330,330,331,G
331,331,332,G
332,332,333,G
333,333,334,G
334,334,335,G
335,335,336,G
336,336,337,G
337,337,338,G
338,338,339,G
339,339,340,G
340,340,341,G
341,341,342,G
342,342,343,G
343,343,344,G
344,344,345,G
345,345,346,G
346,346,347,G
347,347,348,G
348,348,349,G
349,349,350,G
350,350,351,G
351,351,352,G
352,352,353,G
353,353,354,G
354,354,355,G
355,355,356,G
356,356,357,G
357,357,358,G
358,358,359,G
359,359,360,G
360,360,361,G
361,361,362,G
362,362,363,G
363,363,364,G
364,364,365,G
365,365,366,G
366,366,367,G
367,367,368,G
368,368,369,G
369,369,370,G
370,370,371,G
371,371,372,G
372,372,373,G
373,373,374,G
374,374,375,G
375,375,376,G
376,376,377,G
377,377,378,G
378,378,379,G
379,379,380,G
380,380,381,G
381,381,382,G
382,382,383,G
383,383,384,G
384,384,385,G
385,385,386,G
386,386,387,G
387,387,388,G
388,388,389,G
389,389,390,G
390,390,391,G
391,391,392,G
392,392,393,G
393,393,394,G
394,394,395,G
395,395,396,G
396,396,397,G
397,397,398,G
398,398,399,G
399,399,400,G
400,400,401,G
401,401,402,G
402,402,403,G
403,403,404,G
404,404,405,G
405,405,406,G
406,406,407,G
407,407,408,G
408,408,409,G
409,409,410,G
410,410,411,G
411,411,412,G
412,412,413,G
413,413,414,G
414,414,415,G
415,415,416,G
416,416,417,G
417,417,418,G
418,418,419,G
419,419,420,G
420,420,421,G
421,421,422,G
422,422,423,G
423,423,424,G
424,424,425,G
425,425,426,G
426,426,427,G
427,427,428,G
428,428,429,G
429,429,430,G
430,430,431,G
431,431,432,G
432,432,433,G
433,433,434,G
434,434,435,G
435,435,436,G
436,436,437,G
437,437,438,G
438,438,439,G
439,439,440,G
440,440,441,G
441,441,442,G
442,442,443,G
443,443,444,G
444,444,445,G
445,445,446,G
446,446,447,G
447,447,448,G
448,448,449,G
449,449,450,G
450,450,451,G
451,451,452,G
452,452,453,G
453,453,454,G
454,454,455,G
455,455,456,G
456,456,457,G
457,457,458,G
458,458,459,G
459,459,460,G
460,460,461,G
461,461,462,G
462,462,463,G
463,463,464,G
464,464,465,G
465,465,466,G
466,466,467,G
467,467,468,G
468,468,469,G
469,469,470,G
470,470,471,G
471,471,472,G
472,472,473,G
473,473,474,G
474,474,475,G
475,475,476,G
476,476,477,G
477,477,478,G
478,478,479,G
479,479,480,G
480,480,481,G
481,481,482,G
482,482,483,G
483,483,484,G
484,484,485,G
485,485,486,G
486,486,487,G
487,487,488,G
488,488,489,G
489,489,490,G
490,490,491,G
491,491,492,G
492,492,493,G
493,493,494,G
494,494,495,G
495,495,496,G
496,496,497,G
497,497,498,G
498,498,499,G
499,499,500,G
500,500,501,G
501,501,502,G
502,502,503,G
503,503,504,G
504,504,505,G
505,505,506,G
506,506,507,G
507,507,508,G
508,508,509,G
509,509,510,G
510,510,511,G
511,511,512,G
512,512,513,G
513,513,514,G
514,514,515,G
515,515,516,G
516,516,517,G
517,517,518,G
518,518,519,G
519,519,520,G
520,520,521,G
521,521,522,G
522,522,523,G
523,523,524,G
524,524,525,G
525,525,526,G
526,526,527,G
527,527,528,G
528,528,529,G
529,529,530,G
530,530,531,G
531,531,532,G
532,532,533,G
533,533,534,G
534,534,535,G
535,535,536,G
536,536,537,G
537,537,538,G
538,538,539,G
539,539,540,G
540,540,541,G
541,541,542,G
542,542,543,G
543,543,544,G
544,544,545,G
545,545,546,G
546,546,547,G
547,547,548,G
548,548,549,G
549,549,550,G
550,550,551,G
551,551,552,G
552,552,553,G
553,553,554,G
554,554,555,G
555,555,556,G
556,556,557,G
557,557,558,G
558,558,559,G
559,559,560,G
560,560,561,G
561,561,562,G
562,562,563,G
563,563,564,G
564,564,565,G
565,565,566,G
566,566,567,G
567,567,568,G
568,568,569,G
569,569,570,G
570,570,571,G
571,571,572,G
572,572,573,G
573,573,574,G
574,574,575,G
575,575,576,G
576,576,577,G
577,577,578,G
578,578,579,G
579,579,580,G
580,580,581,G
581,581,582,G
582,582,583,G
583,583,584,G
584,584,585,G
585,585,586,G
586,586,587,G
587,587,588,G
588,588,589,G
589,589,590,G
590,590,591,G
591,591,592,G
592,592,593,G
593,593,594,G
594,594,595,G
595,595,596,G
596,596,597,G
597,597,598,G
598,598,599,G
599,599,600,G
600,600,601,G
601,601,602,G
602,602,603,G
603,603,604,G
604,604,605,G
605,605,606,G
606,606,607,G
607,607,608,G
608,608,609,G
609,609,610,G
610,610,611,G
611,611,612,G
612,612,613,G
613,613,614,G
614,614,615,G
615,615,616,G
616,616,617,G
617,617,618,G
618,618,619,G
619,619,620,G
620,620,621,G
621,621,622,G
622,622,623,G
623,623,624,G
624,624,625,G
625,625,626,G
626,626,627,G
627,627,628,G
628,628,629,G
629,629,630,G
630,630,631,G
631,631,632,G
632,632,633,G
633,633,634,G
634,634,635,G
635,635,636,G
636,636,637,G
637,637,638,G
638,638,639,G
639,639,640,G
640,640,641,G
641,641,642,G
642,642,643,G
643,643,644,G
644,644,645,G
645,645,646,G
646,646,647,G
647,647,648,G
648,648,649,G
649,649,650,G
650,650,651,G
651,651,652,G
652,652,653,G
653,653,654,G
654,654,655,G
655,655,656,G
656,656,657,G
657,657,658,G
658,658,659,G
659,659,660,G
660,660,661,G
661,661,662,G
662,662,663,G
663,663,664,G
664,664,665,G
665,665,666,G
666,666,667,G
667,667,668,G
668,668,669,G
669,669,670,G
