,pointid,gp_code
0,1,FP
1,2,FP
2,3,FP
3,4,FP
4,5,FP
5,6,FP
6,7,FP
7,8,FP
8,9,FP
9,10,FP
10,11,FP
11,12,FP
12,13,FP
13,14,FP
14,15,FP
15,16,FP
16,17,FP
17,18,FP
18,19,FP
19,20,FP
20,21,FP
21,22,FP
22,23,FP
23,24,FP
24,25,FP
25,26,FP
26,27,FP
27,28,FP
28,29,FP
29,30,FP
30,31,FP
31,32,FP
32,33,FP
33,34,FP
34,35,FP
35,36,FP
36,37,FP
37,38,FP
38,39,FP
39,40,FP
40,41,FP
41,42,FP
42,43,FP
43,44,FP
44,45,FP
45,46,FP
46,47,FP
47,48,FP
48,49,FP
49,50,FP
50,51,FP
51,52,FP
52,53,FP
53,54,FP
54,55,FP
55,56,FP
56,57,FP
57,58,FP
58,59,FP
59,60,FP
60,61,FP
61,62,FP
62,63,FP
63,64,FP
64,65,FP
65,66,FP
66,67,FP
67,68,FP
68,69,FP
69,70,FP
70,71,FP
71,72,FP
72,73,FP
73,74,FP
74,75,FP
75,76,FP
76,77,FP
77,78,FP
78,79,FP
79,80,FP
80,81,FP
81,82,FP
82,83,FP
83,84,FP
84,85,FP
85,86,FP
86,87,FP
87,88,FP
88,89,FP
89,90,FP
90,91,FP
91,92,FP
92,93,FP
93,94,FP
94,95,FP
95,96,FP
96,97,FP
97,98,FP
98,99,FP
99,100,FP
100,101,FP
101,102,FP
102,103,FP
103,104,FP
104,105,FP
105,106,FP
106,107,FP
107,108,FP
108,109,FP
109,110,FP
110,111,FP
111,112,FP
112,113,FP
113,114,FP
114,115,FP
115,116,FP
116,117,FP
117,118,FP
118,119,FP
119,120,FP
120,121,FP
121,122,FP
122,123,FP
123,124,FP
124,125,FP
125,126,FP
126,127,FP
127,128,FP
128,129,FP
129,130,FP
130,131,FP
131,132,FP
132,133,FP
133,134,FP
134,135,FP
135,136,FP
136,137,FP
137,138,FP
138,139,FP
139,140,FP
140,141,FP
141,142,FP
142,143,FP
143,144,FP
144,145,FP
145,146,FP
146,147,FP
147,148,FP
148,149,FP
149,150,FP
150,151,FP
151,152,FP
152,153,FP
153,154,FP
154,155,FP
155,156,FP
156,157,FP
157,158,FP
158,159,FP
159,160,FP
160,161,FP
161,162,FP
162,163,FP
163,164,FP
164,165,FP
165,166,FP
166,167,FP
167,168,FP
168,169,FP
169,170,FP
170,171,FP
171,172,FP
172,173,FP
173,174,FP
174,175,FP
175,176,FP
176,177,FP
177,178,FP
178,179,FP
179,180,FP
180,181,FP
181,182,FP
182,183,FP
183,184,FP
184,185,FP
185,186,FP
186,187,FP
187,188,FP
188,189,FP
189,190,FP
190,191,FP
191,192,FP
192,193,FP
193,194,FP
194,195,FP
195,196,FP
196,197,FP
197,198,FP
198,199,FP
199,200,FP
200,201,FP
201,202,FP
202,203,FP
203,204,FP
204,205,FP
205,206,FP
206,207,FP
207,208,FP
208,209,FP
209,210,FP
210,211,FP
211,212,FP
212,213,FP
213,214,FP
214,215,FP
215,216,FP
216,217,FP
217,218,FP
218,219,FP
219,220,FP
220,221,FP
221,222,FP
222,223,FP
223,224,FP
224,225,FP
225,226,FP
226,227,FP
227,228,FP
228,229,FP
229,230,FP
230,231,FP
231,232,FP
232,233,FP
233,234,FP
234,235,FP
235,236,FP
236,237,FP
237,238,FP
238,239,FP
239,240,FP
240,241,FP
241,242,FP
242,243,FP
243,244,FP
244,245,FP
245,246,FP
246,247,FP
247,248,FP
248,249,FP
249,250,FP
250,251,FP
251,252,FP
252,253,FP
253,254,FP
254,255,FP
255,256,FP
256,257,FP
257,258,FP
258,259,FP
259,260,FP
260,261,FP
261,262,FP
262,263,FP
263,264,FP
264,265,FP
265,266,FP
266,267,FP
267,268,FP
268,269,FP
