,Unnamed: 0,pointid,huc12_val
0,0,1,Peaslee Creek-Tuolumne River
1,1,2,Peaslee Creek-Tuolumne River
2,2,3,Peaslee Creek-Tuolumne River
3,3,4,Peaslee Creek-Tuolumne River
4,4,5,Peaslee Creek-Tuolumne River
5,5,6,Peaslee Creek-Tuolumne River
6,6,7,Peaslee Creek-Tuolumne River
7,7,8,Peaslee Creek-Tuolumne River
8,8,9,Peaslee Creek-Tuolumne River
9,9,10,Peaslee Creek-Tuolumne River
10,10,11,Peaslee Creek-Tuolumne River
11,11,12,Peaslee Creek-Tuolumne River
12,12,13,Peaslee Creek-Tuolumne River
13,13,14,Peaslee Creek-Tuolumne River
14,14,15,Peaslee Creek-Tuolumne River
15,15,16,Peaslee Creek-Tuolumne River
16,16,17,Peaslee Creek-Tuolumne River
17,17,18,Peaslee Creek-Tuolumne River
18,18,19,Peaslee Creek-Tuolumne River
19,19,20,Peaslee Creek-Tuolumne River
20,20,21,Peaslee Creek-Tuolumne River
21,21,22,Peaslee Creek-Tuolumne River
22,22,23,Peaslee Creek-Tuolumne River
23,23,24,Peaslee Creek-Tuolumne River
24,24,25,Peaslee Creek-Tuolumne River
25,25,26,Peaslee Creek-Tuolumne River
26,26,27,Peaslee Creek-Tuolumne River
27,27,28,Peaslee Creek-Tuolumne River
28,28,29,Peaslee Creek-Tuolumne River
29,29,30,Peaslee Creek-Tuolumne River
30,30,31,Middle Dry Creek
31,31,32,Middle Dry Creek
32,32,33,Middle Dry Creek
33,33,34,Middle Dry Creek
34,34,35,Middle Dry Creek
35,35,36,Middle Dry Creek
36,36,37,Middle Dry Creek
37,37,38,Middle Dry Creek
38,38,39,Middle Dry Creek
39,39,40,Middle Dry Creek
40,40,41,Middle Dry Creek
41,41,42,Middle Dry Creek
42,42,43,Middle Dry Creek
43,43,44,Middle Dry Creek
44,44,45,Middle Dry Creek
45,45,46,Middle Dry Creek
46,46,47,Middle Dry Creek
47,47,48,Middle Dry Creek
48,48,49,Middle Dry Creek
49,49,50,Middle Dry Creek
50,50,51,Middle Dry Creek
51,51,52,Middle Dry Creek
52,52,53,Middle Dry Creek
53,53,54,Middle Dry Creek
54,54,55,Middle Dry Creek
55,55,56,Middle Dry Creek
56,56,57,Middle Dry Creek
57,57,58,Middle Dry Creek
58,58,59,Middle Dry Creek
59,59,60,Middle Dry Creek
60,60,61,Middle Dry Creek
61,61,62,Middle Dry Creek
62,62,63,Middle Dry Creek
63,63,64,Middle Dry Creek
64,64,65,Middle Dry Creek
65,65,66,Middle Dry Creek
66,66,67,Middle Dry Creek
67,67,68,Middle Dry Creek
68,68,69,Middle Dry Creek
69,69,70,Middle Dry Creek
70,70,71,Middle Dry Creek
71,71,72,Middle Dry Creek
72,72,73,Middle Dry Creek
73,73,74,Middle Dry Creek
74,74,75,Middle Dry Creek
75,75,76,Middle Dry Creek
76,76,77,Middle Dry Creek
77,77,78,Middle Dry Creek
78,78,79,Middle Dry Creek
79,79,80,Middle Dry Creek
80,80,81,Middle Dry Creek
81,81,82,Middle Dry Creek
82,82,83,Middle Dry Creek
83,83,84,Middle Dry Creek
84,84,85,Middle Dry Creek
85,85,86,Middle Dry Creek
86,86,87,Middle Dry Creek
87,87,88,Middle Dry Creek
88,88,89,Middle Dry Creek
89,89,90,Middle Dry Creek
90,90,91,Middle Dry Creek
