,pointid,LC2001,LC2014
0,1,Grassland,Grassland
1,2,Grassland,Grassland
2,3,Grassland,Grassland
3,4,Grassland,Grassland
4,5,Grassland,Grassland
5,6,Grassland,Grassland
6,7,Grassland,Grassland
7,8,Grassland,Grassland
8,9,Grassland,Grassland
9,10,Grassland,Grassland
10,11,Grassland,Grassland
11,12,Grassland,Grassland
12,13,Grassland,Grassland
13,14,Grassland,Grassland
14,15,Grassland,Grassland
15,16,Grassland,Grassland
16,17,Grassland,Grassland
17,18,Grassland,Grassland
18,19,Grassland,Grassland
19,20,Grassland,Grassland
20,21,Grassland,Grassland
21,22,Grassland,Grassland
22,23,Grassland,Grassland
23,24,Grassland,Grassland
24,25,Grassland,Grassland
25,26,Grassland,Grassland
26,27,Grassland,Grassland
27,28,Grassland,Grassland
28,29,Grassland,Grassland
29,30,Grassland,Grassland
30,31,Grassland,Grassland
31,32,Grassland,Grassland
32,33,Grassland,Grassland
33,34,Grassland,Grassland
34,35,Grassland,Grassland
35,36,Grassland,Grassland
36,37,Grassland,Grassland
37,38,Grassland,Grassland
38,39,Grassland,Grassland
39,40,Grassland,Grassland
40,41,Grassland,Grassland
41,42,Grassland,Grassland
42,43,Grassland,Grassland
43,44,Grassland,Grassland
44,45,Grassland,Grassland
45,46,Grassland,Grassland
46,47,Grassland,Grassland
47,48,Grassland,Grassland
48,49,Grassland,Grassland
49,50,Grassland,Grassland
50,51,Grassland,Grassland
51,52,Grassland,Grassland
52,53,Grassland,Grassland
53,54,Grassland,Grassland
54,55,Grassland,Grassland
55,56,Grassland,Grassland
56,57,Grassland,Grassland
57,58,Grassland,Grassland
58,59,Grassland,Grassland
59,60,Grassland,Grassland
60,61,Grassland,Grassland
61,62,Grassland,Grassland
62,63,Grassland,Grassland
63,64,Grassland,Grassland
64,65,Grassland,Grassland
65,66,Grassland,Grassland
66,67,Grassland,Grassland
67,68,Grassland,Grassland
68,69,Grassland,Grassland
69,70,Grassland,Grassland
70,71,Grassland,Grassland
71,72,Grassland,Grassland
72,73,Grassland,Grassland
73,74,Grassland,Grassland
74,75,Grassland,Grassland
75,76,Grassland,Grassland
76,77,Grassland,Grassland
77,78,Grassland,Grassland
78,79,Grassland,Grassland
79,80,Grassland,Grassland
80,81,Grassland,Grassland
81,82,Grassland,Grassland
82,83,Grassland,Grassland
83,84,Grassland,Grassland
84,85,Grassland,Grassland
85,86,Grassland,Grassland
86,87,Grassland,Grassland
87,88,Grassland,Grassland
88,89,Grassland,Grassland
89,90,Grassland,Grassland
90,91,Grassland,Grassland
91,92,Grassland,Grassland
92,93,Grassland,Grassland
93,94,Grassland,Grassland
94,95,Grassland,Grassland
95,96,Grassland,Grassland
96,97,Grassland,Grassland
97,98,Grassland,Grassland
98,99,Grassland,Grassland
99,100,Grassland,Grassland
100,101,Grassland,Grassland
101,102,Grassland,Grassland
102,103,Grassland,Grassland
103,104,Grassland,Grassland
104,105,Grassland,Grassland
105,106,Grassland,Grassland
