,Unnamed: 0,pointid,smallgroup_val
0,0,1,1766
1,1,2,1766
2,2,3,1765
3,3,4,1766
4,4,5,1766
5,5,6,1766
6,6,7,1863
7,7,8,1863
8,8,9,1863
9,9,10,1864
10,10,11,1864
11,11,12,1864
12,12,13,1862
13,13,14,1862
14,14,15,1863
15,15,16,1863
16,16,17,1863
17,17,18,1864
18,18,19,1864
19,19,20,1864
20,20,21,1862
21,21,22,1862
22,22,23,1862
23,23,24,1862
24,24,25,1863
25,25,26,1863
26,26,27,1863
27,27,28,1864
28,28,29,1864
29,29,30,1864
30,30,31,475
31,31,32,476
32,32,33,475
33,33,34,475
34,34,35,475
35,35,36,476
36,36,37,474
37,37,38,474
38,38,39,475
39,39,40,475
40,40,41,475
41,41,42,476
42,42,43,474
43,43,44,474
44,44,45,474
45,45,46,474
46,46,47,475
47,47,48,475
48,48,49,475
49,49,50,476
50,50,51,525
51,51,52,525
52,52,53,526
53,53,54,526
54,54,55,526
55,55,56,526
56,56,57,527
57,57,58,527
58,58,59,527
59,59,60,528
60,60,61,524
61,61,62,525
62,62,63,525
63,63,64,525
64,64,65,526
65,65,66,526
66,66,67,526
67,67,68,526
68,68,69,527
69,69,70,527
70,70,71,527
71,71,72,528
72,72,73,524
73,73,74,524
74,74,75,524
75,75,76,525
76,76,77,525
77,77,78,525
78,78,79,526
79,79,80,526
80,80,81,526
81,81,82,526
82,82,83,527
83,83,84,527
84,84,85,527
85,85,86,528
86,86,87,578
87,87,88,578
88,88,89,578
89,89,90,579
90,90,91,579
91,91,92,579
92,92,93,580
93,93,94,580
94,94,95,580
95,95,96,581
96,96,97,581
97,97,98,581
98,98,99,581
99,99,100,582
100,100,101,582
101,101,102,582
102,102,103,583
103,103,104,577
104,104,105,578
105,105,106,578
106,106,107,578
107,107,108,578
108,108,109,579
109,109,110,579
110,110,111,579
111,111,112,580
112,112,113,580
113,113,114,580
114,114,115,581
115,115,116,581
116,116,117,581
117,117,118,581
118,118,119,582
119,119,120,582
120,120,121,582
121,121,122,583
122,122,123,577
123,123,124,577
124,124,125,577
125,125,126,578
126,126,127,578
127,127,128,578
128,128,129,578
129,129,130,579
130,130,131,579
131,131,132,579
132,132,133,580
133,133,134,580
134,134,135,580
135,135,136,581
136,136,137,581
137,137,138,581
138,138,139,581
139,139,140,582
140,140,141,582
141,141,142,582
142,142,143,583
143,143,144,633
144,144,145,633
145,145,146,634
146,146,147,634
147,147,148,634
148,148,149,635
149,149,150,635
150,150,151,635
151,151,152,635
152,152,153,636
153,153,154,636
154,154,155,636
155,155,156,637
156,156,157,637
157,157,158,637
158,158,159,638
159,159,160,638
160,160,161,638
161,161,162,638
162,162,163,639
163,163,164,639
164,164,165,639
165,165,166,640
166,166,167,632
167,167,168,633
168,168,169,633
169,169,170,633
170,170,171,634
171,171,172,634
172,172,173,634
173,173,174,635
174,174,175,635
175,175,176,635
176,176,177,635
177,177,178,636
178,178,179,636
179,179,180,636
180,180,181,637
181,181,182,637
182,182,183,637
183,183,184,638
184,184,185,638
185,185,186,638
186,186,187,638
187,187,188,639
188,188,189,639
189,189,190,639
190,190,191,640
191,191,192,632
192,192,193,632
193,193,194,632
194,194,195,633
195,195,196,633
196,196,197,633
197,197,198,634
198,198,199,634
199,199,200,634
200,200,201,635
201,201,202,635
202,202,203,635
203,203,204,635
204,204,205,636
205,205,206,636
206,206,207,636
207,207,208,637
208,208,209,637
209,209,210,637
210,210,211,638
211,211,212,638
212,212,213,638
213,213,214,638
214,214,215,639
215,215,216,639
216,216,217,639
217,217,218,640
218,218,219,631
219,219,220,632
220,220,221,632
221,221,222,632
222,222,223,632
223,223,224,633
224,224,225,633
225,225,226,633
226,226,227,634
227,227,228,634
228,228,229,634
229,229,230,635
230,230,231,635
231,231,232,635
232,232,233,635
233,233,234,636
234,234,235,636
235,235,236,636
236,236,237,637
237,237,238,637
238,238,239,637
239,239,240,638
240,240,241,638
241,241,242,638
242,242,243,638
243,243,244,639
244,244,245,639
245,245,246,639
246,246,247,640
247,247,248,691
248,248,249,691
249,249,250,691
250,250,251,692
251,251,252,692
252,252,253,692
253,253,254,692
254,254,255,693
255,255,256,693
256,256,257,693
257,257,258,694
258,258,259,694
259,259,260,694
260,260,261,695
261,261,262,695
262,262,263,695
263,263,264,695
264,264,265,696
265,265,266,696
266,266,267,696
267,267,268,697
268,268,269,697
269,269,270,697
270,270,271,698
271,271,272,698
272,272,273,698
273,273,274,698
274,274,275,699
275,275,276,699
276,276,277,699
277,277,278,700
278,278,279,690
279,279,280,690
280,280,281,691
281,281,282,691
282,282,283,691
283,283,284,692
284,284,285,692
285,285,286,692
286,286,287,692
287,287,288,693
288,288,289,693
289,289,290,693
290,290,291,694
291,291,292,694
292,292,293,694
293,293,294,695
294,294,295,695
295,295,296,695
296,296,297,695
297,297,298,696
298,298,299,696
299,299,300,696
300,300,301,697
301,301,302,697
302,302,303,697
303,303,304,698
304,304,305,698
305,305,306,698
306,306,307,698
307,307,308,699
308,308,309,699
309,309,310,699
310,310,311,700
311,311,312,689
312,312,313,690
313,313,314,690
314,314,315,690
315,315,316,691
316,316,317,691
317,317,318,691
318,318,319,692
319,319,320,692
320,320,321,692
321,321,322,692
322,322,323,693
323,323,324,693
324,324,325,693
325,325,326,694
326,326,327,694
327,327,328,694
328,328,329,695
329,329,330,695
330,330,331,695
331,331,332,695
332,332,333,696
333,333,334,696
334,334,335,696
335,335,336,697
336,336,337,697
337,337,338,697
338,338,339,698
339,339,340,698
340,340,341,698
341,341,342,698
342,342,343,699
343,343,344,699
344,344,345,699
345,345,346,700
346,346,347,751
347,347,348,751
348,348,349,751
349,349,350,752
350,350,351,752
351,351,352,752
352,352,353,753
353,353,354,753
354,354,355,753
355,355,356,754
356,356,357,754
357,357,358,754
358,358,359,754
359,359,360,755
360,360,361,755
361,361,362,755
362,362,363,756
363,363,364,756
364,364,365,756
365,365,366,757
366,366,367,757
367,367,368,757
368,368,369,757
369,369,370,758
370,370,371,758
371,371,372,758
372,372,373,759
373,373,374,759
374,374,375,759
375,375,376,760
376,376,377,760
