,pointid,smallgroup_val
0,1,1766
1,2,1766
2,3,1765
3,4,1766
4,5,1766
5,6,1766
6,7,1863
7,8,1863
8,9,1863
9,10,1864
10,11,1864
11,12,1864
12,13,1862
13,14,1862
14,15,1863
15,16,1863
16,17,1863
17,18,1864
18,19,1864
19,20,1864
20,21,1862
21,22,1862
22,23,1862
23,24,1862
24,25,1863
25,26,1863
26,27,1863
27,28,1864
28,29,1864
29,30,1864
30,31,475
31,32,476
32,33,475
33,34,475
34,35,475
35,36,476
36,37,474
37,38,474
38,39,475
39,40,475
40,41,475
41,42,476
42,43,474
43,44,474
44,45,474
45,46,474
46,47,475
47,48,475
48,49,475
49,50,476
50,51,525
51,52,525
52,53,526
53,54,526
54,55,526
55,56,526
56,57,527
57,58,527
58,59,527
59,60,528
60,61,524
61,62,525
62,63,525
63,64,525
64,65,526
65,66,526
66,67,526
67,68,526
68,69,527
69,70,527
70,71,527
71,72,528
72,73,524
73,74,524
74,75,524
75,76,525
76,77,525
77,78,525
78,79,526
79,80,526
80,81,526
81,82,526
82,83,527
83,84,527
84,85,527
85,86,528
86,87,578
87,88,578
88,89,578
89,90,579
90,91,579
91,92,579
92,93,580
93,94,580
94,95,580
95,96,581
96,97,581
97,98,581
98,99,581
99,100,582
100,101,582
101,102,582
102,103,583
103,104,577
104,105,578
105,106,578
106,107,578
107,108,578
108,109,579
109,110,579
110,111,579
111,112,580
112,113,580
113,114,580
114,115,581
115,116,581
116,117,581
117,118,581
118,119,582
119,120,582
120,121,582
121,122,583
122,123,577
123,124,577
124,125,577
125,126,578
126,127,578
127,128,578
128,129,578
129,130,579
130,131,579
131,132,579
132,133,580
133,134,580
134,135,580
135,136,581
136,137,581
137,138,581
138,139,581
139,140,582
140,141,582
141,142,582
142,143,583
143,144,633
144,145,633
145,146,634
146,147,634
147,148,634
148,149,635
149,150,635
150,151,635
151,152,635
152,153,636
153,154,636
154,155,636
155,156,637
156,157,637
157,158,637
158,159,638
159,160,638
160,161,638
161,162,638
162,163,639
163,164,639
164,165,639
165,166,640
166,167,632
167,168,633
168,169,633
169,170,633
170,171,634
171,172,634
172,173,634
173,174,635
174,175,635
175,176,635
176,177,635
177,178,636
178,179,636
179,180,636
180,181,637
181,182,637
182,183,637
183,184,638
184,185,638
185,186,638
186,187,638
187,188,639
188,189,639
189,190,639
190,191,640
191,192,632
192,193,632
193,194,632
194,195,633
195,196,633
196,197,633
197,198,634
198,199,634
199,200,634
200,201,635
201,202,635
202,203,635
203,204,635
204,205,636
205,206,636
206,207,636
207,208,637
208,209,637
209,210,637
210,211,638
211,212,638
212,213,638
213,214,638
214,215,639
215,216,639
216,217,639
217,218,640
218,219,631
219,220,632
220,221,632
221,222,632
222,223,632
223,224,633
224,225,633
225,226,633
226,227,634
227,228,634
228,229,634
229,230,635
230,231,635
231,232,635
232,233,635
233,234,636
234,235,636
235,236,636
236,237,637
237,238,637
238,239,637
239,240,638
240,241,638
241,242,638
242,243,638
243,244,639
244,245,639
245,246,639
246,247,640
247,248,691
248,249,691
249,250,691
250,251,692
251,252,692
252,253,692
253,254,692
254,255,693
255,256,693
256,257,693
257,258,694
258,259,694
259,260,694
260,261,695
261,262,695
262,263,695
263,264,695
264,265,696
265,266,696
266,267,696
267,268,697
268,269,697
269,270,697
270,271,698
271,272,698
272,273,698
273,274,698
274,275,699
275,276,699
276,277,699
277,278,700
278,279,690
279,280,690
280,281,691
281,282,691
282,283,691
283,284,692
284,285,692
285,286,692
286,287,692
287,288,693
288,289,693
289,290,693
290,291,694
291,292,694
292,293,694
293,294,695
294,295,695
295,296,695
296,297,695
297,298,696
298,299,696
299,300,696
300,301,697
301,302,697
302,303,697
303,304,698
304,305,698
305,306,698
306,307,698
307,308,699
308,309,699
309,310,699
310,311,700
311,312,689
312,313,690
313,314,690
314,315,690
315,316,691
316,317,691
317,318,691
318,319,692
319,320,692
320,321,692
321,322,692
322,323,693
323,324,693
324,325,693
325,326,694
326,327,694
327,328,694
328,329,695
329,330,695
330,331,695
331,332,695
332,333,696
333,334,696
334,335,696
335,336,697
336,337,697
337,338,697
338,339,698
339,340,698
340,341,698
341,342,698
342,343,699
343,344,699
344,345,699
345,346,700
346,347,751
347,348,751
348,349,751
349,350,752
350,351,752
351,352,752
352,353,753
353,354,753
354,355,753
355,356,754
356,357,754
357,358,754
358,359,754
359,360,755
360,361,755
361,362,755
362,363,756
363,364,756
364,365,756
365,366,757
366,367,757
367,368,757
368,369,757
369,370,758
370,371,758
371,372,758
372,373,759
373,374,759
374,375,759
375,376,760
376,377,760
377,378,760
378,379,760
379,380,761
380,381,761
381,382,761
382,383,762
383,384,750
384,385,751
385,386,751
386,387,751
387,388,751
388,389,752
389,390,752
390,391,752
391,392,753
392,393,753
393,394,753
394,395,754
395,396,754
396,397,754
397,398,754
398,399,755
399,400,755
400,401,755
401,402,756
402,403,756
403,404,756
404,405,757
405,406,757
406,407,757
407,408,757
408,409,758
409,410,758
410,411,758
411,412,759
412,413,759
413,414,759
414,415,760
415,416,760
416,417,760
417,418,760
418,419,761
419,420,761
420,421,761
421,422,762
422,423,750
423,424,750
424,425,750
425,426,751
426,427,751
427,428,751
428,429,751
429,430,752
430,431,752
431,432,752
432,433,753
433,434,753
434,435,753
435,436,754
436,437,754
437,438,754
438,439,754
439,440,755
440,441,755
441,442,755
442,443,756
443,444,756
444,445,756
445,446,757
446,447,757
447,448,757
448,449,757
449,450,758
450,451,758
451,452,758
452,453,759
453,454,759
454,455,759
455,456,760
456,457,760
457,458,760
458,459,760
459,460,761
460,461,761
461,462,761
462,463,762
463,464,814
464,465,814
465,466,815
466,467,815
467,468,815
468,469,816
469,470,816
470,471,816
471,472,816
472,473,817
473,474,817
474,475,817
475,476,818
476,477,818
477,478,818
478,479,819
479,480,819
480,481,819
481,482,819
482,483,820
483,484,820
484,485,820
485,486,821
486,487,821
487,488,821
488,489,822
489,490,822
490,491,822
491,492,822
492,493,823
493,494,823
494,495,823
495,496,824
496,497,824
497,498,824
498,499,825
499,500,825
500,501,825
501,502,825
502,503,826
503,504,826
504,505,826
505,506,827
506,507,813
507,508,814
508,509,814
509,510,814
510,511,815
511,512,815
512,513,815
513,514,816
514,515,816
515,516,816
516,517,816
517,518,817
518,519,817
519,520,817
520,521,818
521,522,818
522,523,818
523,524,819
524,525,819
525,526,819
526,527,819
527,528,820
528,529,820
529,530,820
530,531,821
531,532,821
532,533,821
533,534,822
534,535,822
535,536,822
536,537,822
537,538,823
538,539,823
539,540,823
540,541,824
541,542,824
542,543,824
543,544,825
544,545,825
545,546,825
546,547,825
547,548,826
548,549,826
549,550,826
550,551,827
551,552,813
552,553,813
553,554,813
554,555,814
555,556,814
556,557,814
557,558,815
558,559,815
559,560,815
560,561,816
561,562,816
562,563,816
563,564,816
564,565,817
565,566,817
566,567,817
567,568,818
568,569,818
569,570,818
570,571,819
571,572,819
572,573,819
573,574,819
574,575,820
575,576,820
576,577,820
577,578,821
578,579,821
579,580,821
580,581,822
581,582,822
582,583,822
583,584,822
584,585,823
585,586,823
586,587,823
587,588,824
588,589,824
589,590,824
590,591,825
591,592,825
592,593,825
593,594,825
594,595,826
595,596,826
596,597,826
597,598,827
598,599,812
599,600,813
600,601,813
601,602,813
602,603,813
603,604,814
604,605,814
605,606,814
606,607,815
607,608,815
608,609,815
609,610,816
610,611,816
611,612,816
612,613,816
613,614,817
614,615,817
615,616,817
616,617,818
617,618,818
618,619,818
619,620,819
620,621,819
621,622,819
622,623,819
623,624,820
624,625,820
625,626,820
626,627,821
627,628,821
628,629,821
629,630,822
630,631,822
631,632,822
632,633,822
633,634,823
634,635,823
635,636,823
636,637,824
637,638,824
638,639,824
639,640,825
640,641,825
641,642,825
642,643,825
643,644,826
644,645,826
645,646,826
646,647,827
647,648,880
648,649,880
649,650,880
650,651,881
651,652,881
652,653,881
653,654,881
654,655,882
655,656,882
656,657,882
657,658,883
658,659,883
659,660,883
660,661,884
661,662,884
662,663,884
663,664,884
664,665,885
665,666,885
666,667,885
667,668,886
668,669,886
669,670,886
670,671,887
671,672,887
672,673,887
673,674,887
674,675,888
675,676,888
676,677,888
677,678,889
678,679,889
679,680,889
680,681,890
681,682,890
682,683,890
683,684,890
684,685,891
685,686,891
686,687,891
687,688,892
688,689,892
689,690,892
690,691,893
691,692,893
692,693,893
693,694,893
694,695,894
695,696,894
696,697,894
697,698,895
698,699,879
699,700,879
700,701,879
701,702,880
702,703,880
703,704,880
704,705,881
705,706,881
706,707,881
707,708,881
708,709,882
709,710,882
710,711,882
711,712,883
712,713,883
713,714,883
714,715,884
715,716,884
716,717,884
717,718,884
718,719,885
719,720,885
720,721,885
721,722,886
722,723,886
723,724,886
724,725,887
725,726,887
726,727,887
727,728,887
728,729,888
729,730,888
730,731,888
731,732,889
732,733,889
733,734,889
734,735,890
735,736,890
736,737,890
737,738,890
738,739,891
739,740,891
740,741,891
741,742,892
742,743,892
743,744,892
744,745,893
745,746,893
746,747,893
747,748,893
748,749,894
749,750,894
750,751,894
751,752,895
752,753,878
753,754,878
754,755,879
755,756,879
756,757,879
757,758,880
758,759,880
759,760,880
760,761,881
761,762,881
762,763,881
763,764,881
764,765,882
765,766,882
766,767,882
767,768,883
768,769,883
769,770,883
770,771,884
771,772,884
772,773,884
773,774,884
774,775,885
775,776,885
776,777,885
777,778,886
778,779,886
779,780,886
780,781,887
781,782,887
782,783,887
783,784,887
784,785,888
785,786,888
786,787,888
787,788,889
788,789,889
789,790,889
790,791,890
791,792,890
792,793,890
793,794,890
794,795,891
795,796,891
796,797,891
797,798,892
798,799,892
799,800,892
800,801,893
801,802,893
802,803,893
803,804,893
804,805,894
805,806,894
806,807,894
807,808,895
808,809,948
809,810,948
810,811,948
811,812,948
812,813,949
813,814,949
814,815,949
815,816,950
816,817,950
817,818,950
818,819,951
819,820,951
820,821,951
821,822,951
822,823,952
823,824,952
824,825,952
825,826,953
826,827,953
827,828,953
828,829,954
829,830,954
830,831,954
831,832,954
832,833,955
833,834,955
834,835,955
835,836,956
836,837,956
837,838,956
838,839,957
839,840,957
840,841,957
841,842,957
842,843,958
843,844,958
844,845,958
845,846,959
846,847,959
847,848,959
848,849,960
849,850,960
850,851,960
851,852,960
852,853,961
853,854,961
854,855,961
855,856,962
856,857,962
857,858,962
858,859,963
859,860,963
860,861,963
861,862,963
862,863,964
863,864,964
864,865,964
865,866,965
866,867,947
867,868,947
868,869,948
869,870,948
870,871,948
871,872,948
872,873,949
873,874,949
874,875,949
875,876,950
876,877,950
877,878,950
878,879,951
879,880,951
880,881,951
881,882,951
882,883,952
883,884,952
884,885,952
885,886,953
886,887,953
887,888,953
888,889,954
889,890,954
890,891,954
891,892,954
892,893,955
893,894,955
894,895,955
895,896,956
896,897,956
897,898,956
898,899,957
899,900,957
900,901,957
901,902,957
902,903,958
903,904,958
904,905,958
905,906,959
906,907,959
907,908,959
908,909,960
909,910,960
910,911,960
911,912,960
912,913,961
913,914,961
914,915,961
915,916,962
916,917,962
917,918,962
918,919,963
919,920,963
920,921,963
921,922,963
922,923,964
923,924,964
924,925,964
925,926,965
926,927,946
927,928,947
928,929,947
929,930,947
930,931,948
931,932,948
932,933,948
933,934,948
934,935,949
935,936,949
936,937,949
937,938,950
938,939,950
939,940,950
940,941,951
941,942,951
942,943,951
943,944,951
944,945,952
945,946,952
946,947,952
947,948,953
948,949,953
949,950,953
950,951,954
951,952,954
952,953,954
953,954,954
954,955,955
955,956,955
956,957,955
957,958,956
958,959,956
959,960,956
960,961,957
961,962,957
962,963,957
963,964,957
964,965,958
965,966,958
966,967,958
967,968,959
968,969,959
969,970,959
970,971,960
971,972,960
972,973,960
973,974,960
974,975,961
975,976,961
976,977,961
977,978,962
978,979,962
979,980,962
980,981,963
981,982,963
982,983,963
983,984,963
984,985,964
985,986,964
986,987,964
987,988,965
988,989,1018
989,990,1018
990,991,1018
991,992,1019
992,993,1019
993,994,1019
994,995,1020
995,996,1020
996,997,1020
997,998,1020
998,999,1021
999,1000,1021
1000,1001,1021
1001,1002,1022
1002,1003,1022
1003,1004,1022
