,Unnamed: 0,pointid,ci_score,poll_score,popchar_score
0,0,1,32.16,6.96,4.62
1,1,2,43.95,7.09,6.2
2,2,3,32.16,6.96,4.62
3,3,4,43.95,7.09,6.2
4,4,5,43.95,7.09,6.2
5,5,6,43.95,7.09,6.2
6,6,7,32.16,6.96,4.62
7,7,8,43.95,7.09,6.2
8,8,9,43.95,7.09,6.2
9,9,10,43.95,7.09,6.2
10,10,11,43.95,7.09,6.2
11,11,12,43.95,7.09,6.2
12,12,13,32.16,6.96,4.62
13,13,14,43.95,7.09,6.2
14,14,15,43.95,7.09,6.2
15,15,16,43.95,7.09,6.2
16,16,17,43.95,7.09,6.2
17,17,18,43.95,7.09,6.2
18,18,19,43.95,7.09,6.2
19,19,20,43.95,7.09,6.2
20,20,21,32.16,6.96,4.62
21,21,22,43.95,7.09,6.2
22,22,23,43.95,7.09,6.2
23,23,24,43.95,7.09,6.2
24,24,25,43.95,7.09,6.2
25,25,26,43.95,7.09,6.2
26,26,27,43.95,7.09,6.2
27,27,28,43.95,7.09,6.2
28,28,29,43.95,7.09,6.2
29,29,30,43.95,7.09,6.2
30,30,31,43.95,7.09,6.2
31,31,32,43.95,7.09,6.2
32,32,33,43.95,7.09,6.2
33,33,34,43.95,7.09,6.2
34,34,35,43.95,7.09,6.2
35,35,36,43.95,7.09,6.2
36,36,37,43.95,7.09,6.2
37,37,38,43.95,7.09,6.2
38,38,39,43.95,7.09,6.2
39,39,40,43.95,7.09,6.2
40,40,41,43.95,7.09,6.2
41,41,42,43.95,7.09,6.2
42,42,43,43.95,7.09,6.2
43,43,44,43.95,7.09,6.2
44,44,45,43.95,7.09,6.2
45,45,46,43.95,7.09,6.2
46,46,47,43.95,7.09,6.2
47,47,48,43.95,7.09,6.2
48,48,49,43.95,7.09,6.2
49,49,50,43.95,7.09,6.2
50,50,51,43.95,7.09,6.2
51,51,52,43.95,7.09,6.2
52,52,53,43.95,7.09,6.2
53,53,54,43.95,7.09,6.2
54,54,55,43.95,7.09,6.2
55,55,56,43.95,7.09,6.2
56,56,57,43.95,7.09,6.2
57,57,58,43.95,7.09,6.2
58,58,59,43.95,7.09,6.2
59,59,60,43.95,7.09,6.2
60,60,61,43.95,7.09,6.2
61,61,62,43.95,7.09,6.2
62,62,63,43.95,7.09,6.2
63,63,64,43.95,7.09,6.2
64,64,65,43.95,7.09,6.2
65,65,66,43.95,7.09,6.2
66,66,67,43.95,7.09,6.2
67,67,68,43.95,7.09,6.2
68,68,69,43.95,7.09,6.2
69,69,70,43.95,7.09,6.2
70,70,71,43.95,7.09,6.2
71,71,72,43.95,7.09,6.2
72,72,73,43.95,7.09,6.2
73,73,74,43.95,7.09,6.2
74,74,75,43.95,7.09,6.2
75,75,76,43.95,7.09,6.2
76,76,77,43.95,7.09,6.2
77,77,78,43.95,7.09,6.2
78,78,79,43.95,7.09,6.2
79,79,80,43.95,7.09,6.2
80,80,81,43.95,7.09,6.2
81,81,82,43.95,7.09,6.2
82,82,83,43.95,7.09,6.2
83,83,84,43.95,7.09,6.2
84,84,85,43.95,7.09,6.2
85,85,86,43.95,7.09,6.2
86,86,87,32.16,6.96,4.62
87,87,88,43.95,7.09,6.2
88,88,89,43.95,7.09,6.2
89,89,90,43.95,7.09,6.2
90,90,91,43.95,7.09,6.2
91,91,92,43.95,7.09,6.2
92,92,93,43.95,7.09,6.2
93,93,94,43.95,7.09,6.2
94,94,95,43.95,7.09,6.2
95,95,96,43.95,7.09,6.2
96,96,97,43.95,7.09,6.2
97,97,98,43.95,7.09,6.2
98,98,99,43.95,7.09,6.2
99,99,100,43.95,7.09,6.2
100,100,101,43.95,7.09,6.2
101,101,102,43.95,7.09,6.2
102,102,103,43.95,7.09,6.2
103,103,104,32.16,6.96,4.62
104,104,105,43.95,7.09,6.2
105,105,106,43.95,7.09,6.2
106,106,107,43.95,7.09,6.2
107,107,108,43.95,7.09,6.2
108,108,109,43.95,7.09,6.2
109,109,110,43.95,7.09,6.2
110,110,111,43.95,7.09,6.2
111,111,112,43.95,7.09,6.2
112,112,113,43.95,7.09,6.2
113,113,114,43.95,7.09,6.2
114,114,115,43.95,7.09,6.2
115,115,116,43.95,7.09,6.2
116,116,117,43.95,7.09,6.2
117,117,118,43.95,7.09,6.2
118,118,119,43.95,7.09,6.2
119,119,120,43.95,7.09,6.2
120,120,121,43.95,7.09,6.2
121,121,122,43.95,7.09,6.2
122,122,123,32.16,6.96,4.62
123,123,124,43.95,7.09,6.2
124,124,125,43.95,7.09,6.2
125,125,126,43.95,7.09,6.2
126,126,127,43.95,7.09,6.2
