pointid,near_woodycrop
1,784.8885271
2,811.9421162
3,717.8091668
4,744.8825411
5,772.1722606
6,799.6561761
7,650.7303589
8,677.8274117
9,705.1595564
10,732.7004845
11,760.4275113
12,788.3210006
13,583.6522937
14,610.7781921
15,638.1614216
16,665.7702306
17,693.5776813
18,721.5608082
19,749.69994
20,777.9781488
21,516.5752607
22,543.7370688
23,571.1829829
24,598.8739433
25,626.7774725
26,654.8663986
27,683.1178522
28,711.5124735
29,740.033783
30,768.6676785
31,4875.023077
32,4875.207688
33,4845
34,4845
35,4845.02322
36,4845.208974
37,4815.210276
38,4815.023364
39,4815
40,4815
41,4815.023364
42,4815.210276
43,4786.151899
44,4785.587738
45,4785.211594
46,4785.023511
47,4785
48,4785
49,4785.023511
50,4785.211594
51,4757.861915
52,4756.916018
53,4756.159165
54,4755.591446
55,4755.212929
56,4755.023659
57,4755
58,4755
59,4755.023659
60,4755.212929
61,4716.25381
62,4729.022098
63,4727.880075
64,4726.928178
65,4726.166523
66,4725.595201
67,4725.214281
68,4725.023809
69,4725
70,4725
71,4725.023809
72,4725.214281
73,4649.177347
74,4676.200381
75,4700.388282
76,4699.047776
77,4697.898466
78,4696.940494
79,4696.173975
80,4695.599003
81,4695.21565
82,4695.023962
83,4695
84,4695
85,4695.023962
86,4695.21565
87,4555.112512
88,4582.101046
89,4609.126815
90,4636.189168
91,4663.287467
92,4670.422893
93,4669.073784
94,4667.917094
95,4666.952967
96,4666.181522
97,4665.602855
98,4665.217037
99,4665.024116
100,4665
101,4665
102,4665.024116
103,4665.217037
104,4488.034091
105,4515.024917
106,4542.0535
107,4569.119171
108,4596.221274
109,4623.359168
110,4642.009263
111,4640.457952
112,4639.100128
113,4637.935963
114,4636.965603
115,4636.189168
116,4635.606756
117,4635.218441
118,4635.024272
119,4635
120,4635
121,4635.024272
122,4635.218441
123,4420.955779
124,4447.948966
125,4474.980447
126,4502.049533
127,4529.15555
128,4556.297839
129,4583.475755
130,4610.688669
131,4612.054857
132,4610.493466
133,4609.126815
134,4607.955078
135,4606.978402
136,4606.196913
137,4605.610709
138,4605.219864
139,4605.02443
140,4605
141,4605
142,4605.02443
143,4605.219864
144,4353.877582
145,4380.873201
146,4407.907667
147,4434.980271
148,4462.090317
149,4489.237129
150,4516.420042
151,4543.63841
152,4570.891598
153,4583.868454
154,4582.101046
155,4580.529445
156,4579.153852
157,4577.974443
158,4576.99137
159,4576.204759
160,4575.614713
161,4575.221306
162,4575.02459
163,4575
164,4575
165,4575.02459
166,4575.221306
167,4286.799505
168,4313.797631
169,4340.835173
170,4367.9114
171,4395.025597
172,4422.177066
173,4449.365123
174,4476.589103
175,4503.848354
176,4531.14224
177,4555.902765
178,4553.926877
179,4552.147845
180,4550.565899
181,4549.181245
182,4547.994063
183,4547.004508
184,4546.212709
185,4545.61877
186,4545.222767
187,4545.024752
188,4545
189,4545
190,4545.024752
191,4545.222767
192,4219.721555
193,4246.722265
194,4273.762979
195,4300.842941
196,4327.961414
197,4355.117679
198,4382.311034
199,4409.540792
200,4436.806284
