,Unnamed: 0,woodyrip_class,pointid,near_woody
0,0,Salix gooddingii,1016360,12.0899811203
1,1,Salix gooddingii,1016445,7.497288846810001
2,2,Salix gooddingii,1016530,0.0
3,3,Salix gooddingii,1016531,27.324057422600003
4,4,Salix gooddingii,1016615,9.004854486080001
5,5,Salix gooddingii,1016616,32.9231897565
6,6,Salix exigua,746631,18.2469239737
7,7,Salix exigua,746632,11.0898792265
8,8,Salix exigua,746633,1.2979566148200001
9,9,Salix exigua,746732,0.0
10,10,Salix exigua,746733,0.0
11,11,Salix exigua,746734,0.0
12,12,Salix exigua,746833,0.0
13,13,Salix exigua,746834,0.0
14,14,Salix exigua,746835,9.833581599339999
15,15,Salix exigua,746836,16.3466784467
16,16,Salix exigua,746937,25.7822060525
17,17,Salix exigua,746938,35.6799584628
18,18,Salix exigua,747040,52.8854417337
19,19,Salix exigua,747041,61.5242987826
20,20,Quercus lobata,746535,21.6454477811
21,21,Quercus lobata,746536,18.4999522028
22,22,Quercus lobata,746634,0.0
23,23,Quercus lobata,746635,6.54331517559
24,24,Quercus lobata,746636,18.2738146758
25,25,Quercus lobata,746735,0.0
26,26,Quercus lobata,746736,0.0
27,27,Quercus lobata,746737,0.0
28,28,Quercus lobata,746738,17.5005366404
29,29,Quercus lobata,746739,47.3542689179
30,30,Quercus lobata,746837,0.606309475028
31,31,Quercus lobata,746838,0.0
32,32,Quercus lobata,746839,16.7128388284
33,33,Quercus lobata,746840,34.1701649438
34,34,Quercus lobata,746841,56.7643811313
35,35,Quercus lobata,746842,83.9559450603
36,36,Quercus lobata,746843,112.182319385
37,37,Quercus lobata,746939,38.3754778789
38,38,Quercus lobata,746940,22.3494398873
39,39,Quercus lobata,746941,16.6724784723
40,40,Quercus lobata,746942,27.8228066
41,41,Quercus lobata,746943,53.7690577857
42,42,Quercus lobata,746944,76.3690052636
43,43,Quercus lobata,746945,98.3751948551
44,44,Quercus lobata,746946,123.786642909
45,45,Quercus lobata,746947,150.892633912
46,46,Quercus lobata,746948,178.682172536
47,47,Quercus lobata,747042,61.738541150500005
48,48,Quercus lobata,747043,52.2283588038
49,49,Quercus lobata,747044,46.4949753124
50,50,Quercus lobata,747045,51.3131617344
51,51,Quercus lobata,747046,69.9965039645
52,52,Quercus lobata,747047,94.6703956097
53,53,Quercus lobata,747048,118.691654984
54,54,Quercus lobata,747049,140.474776964
55,55,Quercus lobata,747050,164.859385445
56,56,Quercus lobata,747051,190.85091292200002
57,57,Quercus lobata,747052,217.87502143
58,58,Quercus lobata,747053,245.499011795
59,59,Quercus lobata,747148,76.324979966
60,60,Quercus lobata,747149,79.3219551399
61,61,Quercus lobata,747150,92.5118509559
62,62,Quercus lobata,747151,112.360636217
63,63,Quercus lobata,747152,135.983023085
64,64,Quercus lobata,747153,161.068907499
65,65,Quercus lobata,747154,182.725605675
66,66,Quercus lobata,747155,206.480267733
67,67,Quercus lobata,747156,231.688486902
68,68,Quercus lobata,747157,257.924424926
69,69,Quercus lobata,747158,284.904304922
70,70,Quercus lobata,747159,312.423400134
71,71,Quercus lobata,747254,108.401589319
72,72,Quercus lobata,747255,118.394993842
73,73,Quercus lobata,747256,134.476185887
74,74,Quercus lobata,747257,154.75889172200002
75,75,Quercus lobata,747258,177.811092362
76,76,Quercus lobata,747259,202.690045574
77,77,Quercus lobata,747260,225.04250923400002
78,78,Quercus lobata,747261,248.37388140099998
79,79,Quercus lobata,747262,273.011060165
80,80,Quercus lobata,747263,298.631031479
81,81,Quercus lobata,747264,325.001456862
82,82,Quercus lobata,747265,351.95369152300003
83,83,Quercus lobata,747266,379.363750195
84,84,Quercus lobata,747267,407.051366269
85,85,Quercus lobata,747361,159.194147415
86,86,Quercus lobata,747362,176.66138957799998
87,87,Quercus lobata,747363,197.169258678
88,88,Quercus lobata,747364,219.868566592
89,89,Quercus lobata,747365,244.14884101200002
90,90,Quercus lobata,747366,267.39411916299997
91,91,Quercus lobata,747367,290.422225343
92,92,Quercus lobata,747368,314.62759409
93,93,Quercus lobata,747369,339.758704028
94,94,Quercus lobata,747370,365.624713302
95,95,Quercus lobata,747371,392.08020220699996
96,96,Quercus lobata,747372,419.013530764
97,97,Quercus lobata,747373,446.338204707
98,98,Quercus lobata,747374,473.95491429199996
99,99,Quercus lobata,747468,200.66932642400002
