,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,accesstype,unitname,AGNCY_NAME,pointid,near_cpad
0,0,0,0,Open Access,Carolo Gabriault Park,"Merced, City of",1744814,3397.03007294
1,1,1,1,Open Access,Carolo Gabriault Park,"Merced, City of",1744815,3367.41860874
2,2,2,2,Open Access,Carolo Gabriault Park,"Merced, City of",1744816,3337.81408357
3,3,3,3,Open Access,Carolo Gabriault Park,"Merced, City of",1744817,3308.21668373
4,4,4,4,Open Access,Carolo Gabriault Park,"Merced, City of",1744818,3278.62660217
5,5,5,5,Open Access,Carolo Gabriault Park,"Merced, City of",1744819,3249.04403887
6,6,6,6,Open Access,Carolo Gabriault Park,"Merced, City of",1744820,3219.46920105
7,7,7,7,Open Access,Carolo Gabriault Park,"Merced, City of",1744821,3189.9023036
8,8,8,8,Open Access,Carolo Gabriault Park,"Merced, City of",1744822,3160.34356937
9,9,9,9,Open Access,Carolo Gabriault Park,"Merced, City of",1744823,3130.7932296
10,10,10,10,Open Access,Carolo Gabriault Park,"Merced, City of",1744824,3101.25152422
11,11,11,11,Open Access,Carolo Gabriault Park,"Merced, City of",1744825,3071.71870237
12,12,12,12,Open Access,Carolo Gabriault Park,"Merced, City of",1744826,3042.19502276
13,13,13,13,Open Access,Carolo Gabriault Park,"Merced, City of",1744827,3012.68075416
14,14,14,14,Open Access,Carolo Gabriault Park,"Merced, City of",1744828,2983.17617591
15,15,15,15,Open Access,Carolo Gabriault Park,"Merced, City of",1744829,2953.68157838
16,16,16,16,Open Access,Carolo Gabriault Park,"Merced, City of",1744830,2924.19726361
17,17,17,17,Open Access,Carolo Gabriault Park,"Merced, City of",1744831,2894.72354578
18,18,18,18,Open Access,Carolo Gabriault Park,"Merced, City of",1744832,2865.26075192
19,19,19,19,Open Access,Carolo Gabriault Park,"Merced, City of",1744833,2835.80922251
20,20,20,20,Open Access,Carolo Gabriault Park,"Merced, City of",1744834,2806.36931221
21,21,21,21,Open Access,Carolo Gabriault Park,"Merced, City of",1744835,2776.94139054
22,22,22,22,Open Access,Carolo Gabriault Park,"Merced, City of",1744836,2747.52584273
23,23,23,23,Open Access,Carolo Gabriault Park,"Merced, City of",1744941,3422.02633428
24,24,24,24,Open Access,Carolo Gabriault Park,"Merced, City of",1744942,3392.36775755
25,25,25,25,Open Access,Carolo Gabriault Park,"Merced, City of",1744943,3362.71523809
26,26,26,26,Open Access,Carolo Gabriault Park,"Merced, City of",1744944,3333.06893755
27,27,27,27,Open Access,Carolo Gabriault Park,"Merced, City of",1744945,3303.42902338
28,28,28,28,Open Access,Carolo Gabriault Park,"Merced, City of",1744946,3273.79566902
29,29,29,29,Open Access,Carolo Gabriault Park,"Merced, City of",1744947,3244.16905424
30,30,30,30,Open Access,Carolo Gabriault Park,"Merced, City of",1744948,3214.54936538
31,31,31,31,Open Access,Carolo Gabriault Park,"Merced, City of",1744949,3184.93679568
32,32,32,32,Open Access,Carolo Gabriault Park,"Merced, City of",1744950,3155.33154557
