,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,fema_class,pointid,near_fema
0,0,0,0,100,1570401,1742.89055065
1,1,1,1,100,1570402,1785.31477375
2,2,2,2,100,1570403,1764.44537192
3,3,3,3,100,1570404,1827.73909827
4,4,4,4,100,1570405,1806.86159967
5,5,5,5,100,1570406,1786.24395576
6,6,6,6,100,1570407,1870.16351725
7,7,7,7,100,1570408,1849.27829445
8,8,8,8,100,1570409,1828.64672349
9,9,9,9,100,1570410,1808.27748658
10,10,10,10,100,1570411,1912.5880244000002
11,11,11,11,100,1570412,1891.6954248
12,12,12,12,100,1570413,1871.05056299
13,13,13,13,100,1570414,1850.66172984
14,14,14,14,100,1570415,1830.53748048
15,15,15,15,100,1570416,1955.01261404
16,16,16,16,100,1570417,1934.11296207
17,17,17,17,100,1570418,1913.45540298
18,18,18,18,100,1570419,1893.04786212
19,19,19,19,100,1570420,1872.89851227
20,20,20,20,100,1570421,1853.0136165999998
21,21,21,21,100,1570422,1997.43728085
22,22,22,22,100,1570423,1976.53088011
23,23,23,23,100,1570424,1955.86117836
24,24,24,24,100,1570425,1935.43575924
25,25,25,25,100,1570426,1915.26243821
26,26,26,26,100,1570427,1895.34926417
27,27,27,27,100,1570428,1875.61137018
28,28,28,28,100,1570429,2039.86202003
29,29,29,29,100,1570430,2018.94915486
30,30,30,30,100,1570431,1998.26782964
31,31,31,31,100,1570432,1977.82530775
32,32,32,32,100,1570433,1957.62907036
33,33,33,33,100,1570434,1937.6868184
34,34,34,34,100,1570435,1917.92968537
35,35,35,35,100,1570436,1898.40097271
36,36,36,36,100,1570437,2082.2868272
37,37,37,37,100,1570438,2061.36776431
38,38,38,38,100,1570439,2040.67530217
39,39,39,39,100,1570440,2020.21640375
40,40,40,40,100,1570441,1999.99823674
41,41,41,41,100,1570442,1980.02817558
42,42,42,42,100,1570443,1960.25266528
43,43,43,43,100,1570444,1940.6861055999998
44,44,44,44,100,1570445,1921.38868905
45,45,45,45,100,1570446,2124.71169824
46,46,46,46,100,1570447,2103.78668827
47,47,47,47,100,1570448,2083.08354578
48,48,48,48,100,1570449,2062.60895176
49,49,49,49,100,1570450,2042.36977968
50,50,50,50,100,1570451,2022.37309761
51,51,51,51,100,1570452,2002.58002222
52,52,52,52,100,1570453,1982.97727366
53,53,53,53,100,1570454,1963.63713595
54,54,54,54,100,1570455,1944.5674932
55,55,55,55,100,1570456,2167.1366294
56,56,56,56,100,1570457,2146.20590802
57,57,57,57,100,1570458,2125.49251438
58,58,58,58,100,1570459,2105.00286406
59,59,59,59,100,1570460,2084.74355421
60,60,60,60,100,1570461,2064.7213652
61,61,61,61,100,1570462,2044.91148438
62,62,62,62,100,1570463,2025.27409878
63,63,63,63,100,1570464,2005.89309512
64,64,64,64,100,1570465,1986.77604246
65,65,65,65,100,1570466,1967.93063314
66,66,66,66,100,1570467,2230.70480149
67,67,67,67,100,1570468,2209.56161726
68,68,68,68,100,1570469,2188.62540638
69,69,69,69,100,1570470,2167.90216537
70,70,70,70,100,1570471,2147.3980599
71,71,71,71,100,1570472,2127.11942699
72,72,72,72,100,1570473,2107.07277658
73,73,73,73,100,1570474,2087.24648614
74,74,74,74,100,1570475,2067.57623377
75,75,75,75,100,1570476,2048.15610157
76,76,76,76,100,1570477,2028.99367921
77,77,77,77,100,1570478,2010.09633702
78,78,78,78,100,1570479,1991.47162121
79,79,79,79,100,1570480,2273.13116234
80,80,80,80,100,1570481,2251.98665857
81,81,81,81,100,1570482,2231.0451675
82,82,82,82,100,1570483,2210.31245945
83,83,83,83,100,1570484,2189.79446469
