,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,nwi_class,pointid,near_nwi
0,0,0,0,Freshwater Emergent Wetland,4736495,0.0
1,1,1,1,Freshwater Emergent Wetland,4735335,0.0
2,2,2,2,Freshwater Emergent Wetland,4735463,0.0
3,3,3,3,Freshwater Emergent Wetland,4735464,0.0
4,4,4,4,Freshwater Emergent Wetland,4734952,0.0
5,5,5,5,Freshwater Emergent Wetland,4734422,2.10566241037
6,6,6,6,Freshwater Emergent Wetland,4734423,0.0
7,7,7,7,Freshwater Emergent Wetland,4734549,31.772639869200002
8,8,8,8,Freshwater Emergent Wetland,4734550,1.77446809366
9,9,9,9,Freshwater Emergent Wetland,4734551,0.0
10,10,10,10,Freshwater Emergent Wetland,4734676,61.439617343
11,11,11,11,Freshwater Emergent Wetland,4734677,31.4414455525
12,12,12,12,Freshwater Emergent Wetland,4734678,1.4432737769100001
13,13,13,13,Freshwater Emergent Wetland,4734679,0.0
14,14,14,14,Freshwater Emergent Wetland,4734803,91.1065948093
15,15,15,15,Freshwater Emergent Wetland,4734804,61.1084230263
16,16,16,16,Freshwater Emergent Wetland,4734805,31.1102512358
17,17,17,17,Freshwater Emergent Wetland,4734806,1.11207946023
18,18,18,18,Freshwater Emergent Wetland,4734931,90.7754004926
19,19,19,19,Freshwater Emergent Wetland,4734932,60.7772287096
20,20,20,20,Freshwater Emergent Wetland,4734933,30.779056919099997
21,21,21,21,Freshwater Emergent Wetland,4734934,0.7808851435070001
22,22,22,22,Freshwater Emergent Wetland,4735060,60.446034392799994
23,23,23,23,Freshwater Emergent Wetland,4735061,30.447862602399997
24,24,24,24,Freshwater Emergent Wetland,4735062,0.449690826775
25,25,25,25,Freshwater Emergent Wetland,4735063,0.0
26,26,26,26,Freshwater Emergent Wetland,4735188,60.114840076099995
27,27,27,27,Freshwater Emergent Wetland,4735189,30.1166682857
28,28,28,28,Freshwater Emergent Wetland,4735190,0.118496510071
29,29,29,29,Freshwater Emergent Wetland,4735191,0.0
30,30,30,30,Freshwater Emergent Wetland,4735192,0.0
31,31,31,31,Freshwater Emergent Wetland,4735197,0.0
32,32,32,32,Freshwater Emergent Wetland,4735316,59.783645759399995
33,33,33,33,Freshwater Emergent Wetland,4735317,29.7854739689
