,OBJECTID,pointid,NEAR_FID,near_woody
0,-1,1,2,784.888527116249
1,-1,2,2,811.9421161626701
2,-1,3,2,717.809166840324
3,-1,4,2,744.8825410761079
4,-1,5,2,772.172260574025
5,-1,6,2,799.6561761157104
6,-1,7,2,650.7303589037001
7,-1,8,2,677.8274116609169
8,-1,9,2,705.1595564118367
9,-1,10,2,732.700484508464
10,-1,11,2,760.4275113374962
11,-1,12,2,788.3210006075811
12,-1,13,2,583.6522937494977
13,-1,14,2,610.7781921442922
14,-1,15,2,638.1614215847351
15,-1,16,2,665.770230634451
16,-1,17,2,693.5776813011287
17,-1,18,2,721.5608082476834
18,-1,19,2,749.6999399753545
19,-1,20,2,777.9781487927858
20,-1,21,2,516.575260731677
21,-1,22,2,543.7370688117559
22,-1,23,2,571.182982939793
23,-1,24,2,598.8739433303139
24,-1,25,2,626.7774724732852
25,-1,26,2,654.8663985882922
26,-1,27,2,683.1178522041419
27,-1,28,2,711.5124735378854
28,-1,29,2,740.0337830126407
29,-1,30,2,768.6676785191376
30,-1,31,5,4875.0230768703195
31,-1,32,5,4875.20768788553
32,-1,33,5,4845.0
33,-1,34,5,4845.0
34,-1,35,5,4845.023219758601
35,-1,36,5,4845.208973821459
36,-1,37,5,4815.210275782357
37,-1,38,5,4815.023364429293
38,-1,39,5,4815.0
39,-1,40,5,4815.0
40,-1,41,5,4815.023364429293
41,-1,42,5,4815.210275782357
42,-1,43,5,4786.151898970387
43,-1,44,5,4785.5877382007975
44,-1,45,5,4785.211594069569
45,-1,46,5,4785.023510915889
46,-1,47,5,4785.000000001862
47,-1,48,5,4785.000000001862
48,-1,49,5,4785.023510915889
49,-1,50,5,4785.211594069569
50,-1,51,5,4757.861914768019
51,-1,52,5,4756.916017757722
52,-1,53,5,4756.159164704225
53,-1,54,5,4755.591445866643
54,-1,55,5,4755.2129289864615
55,-1,56,5,4755.023659247133
56,-1,57,5,4755.0
57,-1,58,5,4755.0
58,-1,59,5,4755.023659247133
59,-1,60,5,4755.2129289864615
60,-1,61,2,4716.253809963194
61,-1,62,5,4729.022097643444
62,-1,63,5,4727.880074621183
63,-1,64,5,4726.92817800313
64,-1,65,5,4726.1665226692985
65,-1,66,5,4725.595200607009
66,-1,67,5,4725.214280855421
67,-1,68,5,4725.02380946382
68,-1,69,5,4725.0
69,-1,70,5,4725.0
70,-1,71,5,4725.02380946382
71,-1,72,5,4725.214280855421
72,-1,73,2,4649.177346585092
73,-1,74,2,4676.20038065094
74,-1,75,5,4700.388281835607
75,-1,76,5,4699.047775881565
76,-1,77,5,4697.898466337633
77,-1,78,5,4696.940493557215
78,-1,79,5,4696.1739746327
79,-1,80,5,4695.599003324015
80,-1,81,5,4695.215650001338
81,-1,82,5,4695.02396160206
82,-1,83,5,4695.000000001862
83,-1,84,5,4695.000000001862
84,-1,85,5,4695.02396160206
85,-1,86,5,4695.215650001338
86,-1,87,2,4555.112512330794
87,-1,88,2,4582.101046462482
88,-1,89,2,4609.126815351533
89,-1,90,2,4636.189167839527
90,-1,91,2,4663.287467012147
91,-1,92,5,4670.422893057972
92,-1,93,5,4669.0737839533
93,-1,94,5,4667.9170943794625
94,-1,95,5,4666.952967408178
95,-1,96,5,4666.1815224013735
96,-1,97,5,4665.602854937397
