CUSTOMCODE,LC2030MOD,evt_nick_mod,evt_name_mod,ipcc_soil_mod,soc_mod,total_mass_mod,tot_mass_mod,n20_em_mod,ch4_em_mod,gridcode14
13,Riparian Restoration,NA,NA,NA,0,0,0,0,0,9999
14,Oak Conversion,NA,NA,NA,0,0,0,0,0,11111
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,Sandy,18.252,0,5.4,-4.41,0,4005
5,Urban,Urban,Western Warm Temperate Urban Herbaceous,NA,27.126,0,14.4,0,0,4819
4,Urban,Developed,Western Warm Temperate Urban Herbaceous,NA,27.126,0,14.4,0,0,2671
5,Urban,Urban,Western Warm Temperate Urban Herbaceous,Wetland,49.446,0,14.4,0,0,4620
4,Urban,Developed,Western Cool Temperate Urban Herbaceous,Sandy,27.126,0,14.4,0,0,290
4,Urban,Developed,Western Cool Temperate Urban Herbaceous,HAC,38.016,0,14.4,0,0,110
4,Urban,Developed,Western Cool Temperate Urban Herbaceous,LAC,36.18,0,14.4,0,0,684
11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Urban Herbaceous,LAC,21.564,0,5.4,-4.41,0,1712
2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,1529
4,Urban,Developed,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,14.4,0,0,3603
9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,HAC,31.657374,0,3.6,-4.626,0,1060
9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Wetland,39.731292,0,3.6,-4.626,0,1138
7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,HAC,30.33,0,30.744,-3.546,0,1512
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,HAC,26.532,0,5.4,-4.41,0,1145
7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,Sandy,21.168,0,30.744,-3.546,0,3348
2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,3.6,-0.107982,0,3962
0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,5.4,0,-6.6735,4661
7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,Wetland,38.412,0,30.744,-3.546,0,5164
11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Urban Herbaceous,HAC,26.532,0,5.4,-4.41,0,117
9,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,HAC,31.657374,0,3.6,-4.626,0,7509
0,Wetland,Wetland,Western Cool Temperate Row Crop,HAC,38.016,0,5.4,0,-6.6735,6739
2,Grassland,Grassland,Western Cool Temperate Row Crop,HAC,38.016,0,3.6,-0.107982,0,743
7,Orchard,Orchard,Western Cool Temperate Row Crop,HAC,30.33,0,30.744,-3.546,0,484
3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,Sandy,22.504536,0,3.6,-4.626,0,1519
11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Row Crop,HAC,26.532,0,5.4,-4.41,0,753
7,Orchard,Orchard,Western Cool Temperate Row Crop,LAC,30.528,0,30.744,-3.546,0,2286
3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,NA,22.504536,0,3.6,-4.626,0,1050
3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,HAC,31.657374,0,3.6,-4.626,0,658
3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,Wetland,39.731292,0,3.6,-4.626,0,772
11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Row Crop,LAC,21.564,0,5.4,-4.41,0,1598
3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,LAC,31.855176,0,3.6,-4.626,0,2376
0,Wetland,Wetland,Western Cool Temperate Row Crop,Wetland,49.446,0,5.4,0,-6.6735,5592
3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,6659
10,Rice,Rice,Western Warm Temperate Pasture and Hayland,Wetland,39.731292,0,1.8,-0.5148,-7.866,7074
0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,NA,27.126,0,5.4,0,-6.6735,6985
9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,NA,22.504536,0,3.6,-4.626,0,7269
4,Urban,Developed,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,14.4,0,0,6544
0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,5.4,0,-6.6735,7007
2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,3217
9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Sandy,22.504536,0,3.6,-4.626,0,2456
3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,3.6,-0.107982,0,3061
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,Wetland,33.39,0,5.4,-4.41,0,3390
9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,LAC,31.855176,0,3.6,-4.626,0,2449
7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,LAC,30.528,0,30.744,-3.546,0,3069
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,LAC,21.564,0,5.4,-4.41,0,2557
2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,3.6,-0.107982,0,3164
4,Urban,Developed,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,14.4,0,0,4792
3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,2604
0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,5.4,0,-6.6735,5329
0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,5.4,0,-6.6735,4386
2,Grassland,Grassland,California Northern Coastal Grassland,NA,27.126,26.676,3.6,-0.107982,0,6994
2,Grassland,Grassland,California Northern Coastal Grassland,HAC,38.016,26.676,3.6,-0.107982,0,6993
3131,Grassland,Grassland,California Northern Coastal Grassland,HAC,38.016,26.676,3.6,-0.107982,0,7000
3131,Grassland,Grassland,California Northern Coastal Grassland,NA,27.126,26.676,3.6,-0.107982,0,6998
3131,Grassland,Grassland,California Northern Coastal Grassland,LAC,36.18,26.676,3.6,-0.107982,0,7634
3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,NA,27.126,721.35,360.675,0,0,7611
3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,HAC,38.016,721.35,360.675,0,0,7282
9,Annual Cropland,Annual Cropland,California Montane Riparian Systems,LAC,31.855176,660.546,3.6,-4.626,0,6376
2,Grassland,Grassland,California Montane Riparian Systems,NA,27.126,660.546,3.6,-0.107982,0,7612
3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,HAC,38.016,660.546,330.273,0,0,7045
3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,NA,27.126,660.546,330.273,0,0,7340
2,Grassland,Grassland,California Montane Riparian Systems,LAC,36.18,660.546,3.6,-0.107982,0,1316
2,Grassland,Grassland,California Montane Riparian Systems,HAC,38.016,660.546,3.6,-0.107982,0,4017
7,Orchard,Orchard,California Montane Riparian Systems,HAC,30.33,660.546,30.744,-3.546,0,450
8,Vineyard,Vineyard,California Montane Riparian Systems,Wetland,38.412,660.546,5.22,-1.638,0,4464
2,Grassland,Grassland,California Montane Riparian Systems,Wetland,49.446,660.546,3.6,-0.107982,0,4384
11,Irrigated Pasture,Irrigated Pasture,California Montane Riparian Systems,HAC,26.532,660.546,5.4,-4.41,0,2692
5,Urban,Urban,Barren,LAC,36.18,7.542,14.4,0,0,5687
5,Urban,Urban,Barren,Sandy,27.126,7.542,14.4,0,0,4105
4,Barren,Barren,Barren,HAC,38.016,7.542,3.771,0,0,936
4,Barren,Barren,Barren,LAC,36.18,7.542,3.771,0,0,1466
4,Barren,Barren,Barren,NA,27.126,7.542,3.771,0,0,1861
4,Barren,Barren,Barren,Wetland,49.446,7.542,3.771,0,0,1465
4,Barren,Barren,Barren,Sandy,27.126,7.542,3.771,0,0,1446
11,Irrigated Pasture,Irrigated Pasture,Barren,Sandy,18.252,7.542,5.4,-4.41,0,1717
11,Irrigated Pasture,Irrigated Pasture,Barren,Wetland,33.39,7.542,5.4,-4.41,0,1716
11,Irrigated Pasture,Irrigated Pasture,Barren,NA,18.252,7.542,5.4,-4.41,0,5457
5,Urban,Urban,Barren,Wetland,49.446,7.542,14.4,0,0,5374
5,Urban,Urban,Barren,HAC,38.016,7.542,14.4,0,0,5335
11,Irrigated Pasture,Irrigated Pasture,Barren,HAC,26.532,7.542,5.4,-4.41,0,2653
5,Urban,Urban,Barren,NA,27.126,7.542,14.4,0,0,4872
11,Irrigated Pasture,Irrigated Pasture,Barren,LAC,21.564,7.542,5.4,-4.41,0,2657
4,Urban,Developed,Mediterranean California Sparsely Vegetated Systems,NA,27.126,13.32,14.4,0,0,7310
4,Urban,Developed,Mediterranean California Sparsely Vegetated Systems,HAC,38.016,13.32,14.4,0,0,7190
4,Urban,Developed,Mediterranean California Sparsely Vegetated Systems,LAC,36.18,13.32,14.4,0,0,7187
2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,NA,27.126,0,3.6,-0.107982,0,6359
5,Urban,Urban,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,14.4,0,0,7172
7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,NA,21.168,0,30.744,-3.546,0,7266
2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,1016
9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Wetland,39.731292,0,3.6,-4.626,0,1139
3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,3.6,-0.107982,0,621
9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,LAC,31.855176,0,3.6,-4.626,0,1362
7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,LAC,30.528,0,30.744,-3.546,0,819
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,Wetland,33.39,0,5.4,-4.41,0,3573
2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,3.6,-0.107982,0,1609
7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,HAC,30.33,0,30.744,-3.546,0,632
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,HAC,26.532,0,5.4,-4.41,0,1015
9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Sandy,22.504536,0,3.6,-4.626,0,1280
0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,5.4,0,-6.6735,3628
7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,Wetland,38.412,0,30.744,-3.546,0,1162
9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,NA,22.504536,0,3.6,-4.626,0,3972
3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,3.6,-0.107982,0,1521
9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,HAC,31.657374,0,3.6,-4.626,0,976
0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,5.4,0,-6.6735,4345
0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,5.4,0,-6.6735,4395
8,Vineyard,Vineyard,Western Warm Temperate Pasture and Hayland,Wetland,38.412,0,5.22,-1.638,0,3785
2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,3.6,-0.107982,0,3172
4,Urban,Developed,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,14.4,0,0,4959
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,LAC,21.564,0,5.4,-4.41,0,2820
7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,Sandy,21.168,0,30.744,-3.546,0,3157
3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,2399
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,NA,18.252,0,5.4,-4.41,0,4222
0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,NA,27.126,0,5.4,0,-6.6735,5435
5,Urban,Urban,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,14.4,0,0,4803
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,Sandy,18.252,0,5.4,-4.41,0,3843
3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,2887
2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,2392
4,Urban,Developed,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,14.4,0,0,3006
0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,5.4,0,-6.6735,4254
8,Vineyard,Vineyard,Western Warm Temperate Pasture and Hayland,HAC,30.33,0,5.22,-1.638,0,2724
4,Urban,Developed,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,14.4,0,0,3241
8,Vineyard,Vineyard,Western Warm Temperate Developed Ruderal Grassland,Wetland,38.412,0,5.22,-1.638,0,6894
5,Urban,Urban,Western Warm Temperate Developed Ruderal Grassland,Wetland,49.446,0,14.4,0,0,5701
9,Annual Cropland,Annual Cropland,Western Warm Temperate Developed Ruderal Grassland,NA,22.504536,0,3.6,-4.626,0,6983
10,Rice,Rice,Western Warm Temperate Developed Ruderal Grassland,HAC,31.657374,0,1.8,-0.5148,-7.866,6382
7,Orchard,Orchard,Western Warm Temperate Developed Ruderal Grassland,HAC,30.33,0,30.744,-3.546,0,203
3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,Wetland,49.446,0,3.6,-0.107982,0,1680
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Developed Ruderal Grassland,Wetland,33.39,0,5.4,-4.41,0,3433
0,Wetland,Wetland,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,5.4,0,-6.6735,601
2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,NA,27.126,0,3.6,-0.107982,0,3544
2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,LAC,36.18,0,3.6,-0.107982,0,792
4,Urban,Developed,Western Warm Temperate Developed Ruderal Grassland,LAC,36.18,0,14.4,0,0,4000
3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,3.6,-0.107982,0,2267
7,Orchard,Orchard,Western Warm Temperate Developed Ruderal Grassland,Wetland,38.412,0,30.744,-3.546,0,342
2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,Wetland,49.446,0,3.6,-0.107982,0,1099
7,Orchard,Orchard,Western Warm Temperate Developed Ruderal Grassland,Sandy,21.168,0,30.744,-3.546,0,770
2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,3.6,-0.107982,0,760
9,Annual Cropland,Annual Cropland,Western Warm Temperate Developed Ruderal Grassland,HAC,31.657374,0,3.6,-4.626,0,523
7,Orchard,Orchard,Western Warm Temperate Developed Ruderal Grassland,LAC,30.528,0,30.744,-3.546,0,796
0,Wetland,Wetland,Western Warm Temperate Developed Ruderal Grassland,NA,27.126,0,5.4,0,-6.6735,4132
8,Vineyard,Vineyard,Western Warm Temperate Developed Ruderal Grassland,HAC,30.33,0,5.22,-1.638,0,1237
9,Annual Cropland,Annual Cropland,Western Warm Temperate Developed Ruderal Grassland,LAC,31.855176,0,3.6,-4.626,0,1496
3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,3.6,-0.107982,0,428
2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,3.6,-0.107982,0,427
3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,NA,27.126,0,3.6,-0.107982,0,4029
3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,LAC,36.18,0,3.6,-0.107982,0,1493
7,Orchard,Orchard,Western Warm Temperate Developed Ruderal Grassland,NA,21.168,0,30.744,-3.546,0,4159
11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Developed Ruderal Grassland,HAC,26.532,0,5.4,-4.41,0,2913
0,Wetland,Wetland,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,5.4,0,-6.6735,3758
4,Urban,Developed,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,14.4,0,0,2679
5,Urban,Urban,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,14.4,0,0,5239
