,nwi_class,pointid,near_nwi
0,Riverine,1,379.870660394
1,Riverine,2,407.101465885
2,Riverine,3,312.79697596
3,Riverine,4,340.105620458
4,Riverine,5,367.833818408
5,Riverine,6,395.893423615
6,Riverine,7,245.72785293799998
7,Riverine,8,273.152086953
8,Riverine,9,301.068011426
9,Riverine,10,329.350622288
10,Riverine,11,357.913002417
11,Riverine,12,386.69316285199994
12,Riverine,13,178.66842824
13,Riverine,14,206.282069379
14,Riverine,15,234.482786244
15,Riverine,16,263.081854072
16,Riverine,17,291.962235297
17,Riverine,18,321.048020921
18,Riverine,19,350.28804809
19,Riverine,20,379.646679864
20,Riverine,21,111.636180472
21,Riverine,22,139.615621217
22,Riverine,23,168.292621898
23,Riverine,24,197.363348884
24,Riverine,25,226.676369258
25,Riverine,26,256.148514104
26,Riverine,27,285.730548201
27,Riverine,28,315.391551999
28,Riverine,29,345.11116465599997
29,Riverine,30,374.875447139
30,Freshwater Emergent Wetland,31,65.2342375983
31,Freshwater Emergent Wetland,32,35.2346436169
32,Freshwater Emergent Wetland,33,127.469212767
33,Freshwater Emergent Wetland,34,97.6049691468
34,Freshwater Emergent Wetland,35,67.7723451593
35,Freshwater Emergent Wetland,36,38.1775913554
36,Riverine,37,185.52236862200002
37,Riverine,38,156.082642822
38,Riverine,39,126.895615756
39,Riverine,40,98.0863054032
40,Riverine,41,69.3789610695
41,Riverine,42,41.3133897496
42,Riverine,43,242.561667179
43,Riverine,44,212.56490213700002
44,Riverine,45,182.569200185
45,Riverine,46,152.575188324
46,Riverine,47,122.584107158
47,Riverine,48,92.59880433110001
48,Riverine,49,62.6274420521
49,Riverine,50,32.696363635
50,Riverine,51,194.162141508
51,Riverine,52,218.11986852200002
52,Riverine,53,242.97740479400002
53,Riverine,54,213.10561949599997
54,Riverine,55,183.20461728400002
55,Riverine,56,153.341565654
56,Riverine,57,123.543349221
57,Riverine,58,93.8698587064
58,Riverine,59,64.4859797715
59,Riverine,60,35.8513083831
60,Riverine,61,128.142516939
61,Riverine,62,152.200388237
62,Riverine,63,176.313333387
63,Riverine,64,201.85342129900002
64,Riverine,65,228.456067525
65,Riverine,66,217.406097201
66,Riverine,67,188.179120248
67,Riverine,68,159.234709864
68,Riverine,69,130.717033721
69,Riverine,70,102.32761236200001
70,Riverine,71,74.3317643296
71,Riverine,72,47.5386885198
72,Riverine,73,62.8222605586
73,Riverine,74,86.0694791048
