,pointid,near_roads
0,1,1471.55720356
1,2,1478.89805863
2,3,1429.21113315
3,4,1435.5150043
4,5,1442.41540204
5,6,1449.9038094
6,7,1388.81543873
7,8,1394.01118623
8,9,1399.83072255
9,10,1406.26630347
10,11,1413.30951343
11,12,1420.95131697
12,13,1350.54514276
13,14,1354.55935533
14,15,1359.22401081
15,16,1364.53243862
16,17,1370.47715797
17,18,1377.04992828
18,19,1384.2418031
19,20,1392.0431867999996
20,21,1314.58588247
21,22,1317.3438832999998
22,23,1320.77771458
23,24,1324.88212148
24,25,1329.65089413
25,26,1335.07691342
26,27,1341.1522021
27,28,1347.8679808
28,29,1355.21472769
29,30,1363.18224116
30,31,1955.5767896
31,32,1982.63552909
32,33,1888.50139617
33,34,1915.5679535
34,35,1942.72068132
35,36,1969.95601646
36,37,1821.42649223
37,38,1848.50142758
38,39,1875.66537232
39,40,1902.91451466
40,41,1930.2452464
41,42,1957.65415036
42,43,1754.35213395
43,44,1781.43606988
44,45,1808.6120458
45,46,1835.8759744000006
46,47,1863.22399473
47,48,1890.65245767
48,49,1918.15791239
49,50,1945.73709376
50,51,1687.2783864
51,52,1714.37201749
52,53,1741.56093075
53,54,1768.84073242
54,55,1796.20728142
55,56,1823.65667246
56,57,1851.18522038
57,58,1878.78944571
58,59,1906.46606119
59,60,1934.21195934
60,61,1620.20532541
61,62,1647.30942984
62,63,1674.51229282
63,64,1701.80917848
64,65,1729.19563414
65,66,1756.66747061
66,67,1784.22074404
67,68,1811.85173914
68,69,1839.55695366
69,70,1867.33308409
70,71,1895.17701234
71,72,1923.08579352
72,73,1553.13303995
73,74,1580.24849342
74,75,1607.46644198
75,76,1634.78176625
76,77,1662.1896656
77,78,1689.68563514
78,79,1717.26544446
79,80,1744.92511814
80,81,1772.66091768
81,82,1800.46932499
82,83,1828.34702707
83,84,1856.29090192
84,85,1884.29800555
85,86,1912.36555994
86,87,1459.04630561
87,88,1486.06163502
88,89,1513.18942774
89,90,1540.42374215
90,91,1567.75902694
91,92,1595.1900914
92,93,1622.71207824
93,94,1650.32043859
94,95,1678.01090914
95,96,1705.77949113
96,97,1733.62243107
97,98,1761.53620305
98,99,1789.51749246
99,100,1817.56318102
100,101,1845.67033301
101,102,1873.83618262
102,103,1902.05812226
103,104,1391.96733626
104,105,1418.99123548
105,106,1446.13249307
106,107,1473.38462347
107,108,1500.74158663
108,109,1528.19775258
109,110,1555.74786909
110,111,1583.38703207
111,112,1611.11065867
112,113,1638.91446258
113,114,1666.79443148
114,115,1694.74680645
115,116,1722.76806307
116,117,1750.85489413
117,118,1779.00419377
118,119,1807.21304295
119,120,1835.47869608
120,121,1863.79856876
121,122,1892.17022651
122,123,1324.88867777
123,124,1351.92199097
124,125,1379.07800027
