,woodyrip_class,pointid,near_woody
0,Quercus wislizeni tree,1,8463.94240461
1,Quercus wislizeni tree,2,8455.67517556
2,Quercus wislizeni tree,3,8452.00827725
3,Quercus wislizeni tree,4,8443.5161849
4,Quercus wislizeni tree,5,8435.12224041
5,Quercus wislizeni tree,6,8426.82673707
6,Quercus wislizeni tree,7,8440.5904301
7,Quercus wislizeni tree,8,8431.87336567
8,Quercus wislizeni tree,9,8423.25412775
9,Quercus wislizeni tree,10,8414.73301695
10,Quercus wislizeni tree,11,8406.31033169
11,Quercus wislizeni tree,12,8397.98636809
12,Quercus wislizeni tree,13,8429.69096104
13,Quercus wislizeni tree,14,8420.7488589
14,Quercus wislizeni tree,15,8411.90424283
15,Quercus wislizeni tree,16,8403.15742067
16,Quercus wislizeni tree,17,8394.50869811
17,Quercus wislizeni tree,18,8385.95837866
18,Quercus wislizeni tree,19,8377.50676363
19,Quercus wislizeni tree,20,8369.15415204
20,Quercus wislizeni tree,21,8419.31188332
21,Quercus wislizeni tree,22,8410.14472139
22,Quercus wislizeni tree,23,8401.07468605
23,Quercus wislizeni tree,24,8392.10209224
24,Quercus wislizeni tree,25,8383.22725283
25,Quercus wislizeni tree,26,8374.45047861
26,Quercus wislizeni tree,27,8365.77207822
27,Quercus wislizeni tree,28,8357.19235812
28,Quercus wislizeni tree,29,8348.71162256
29,Quercus wislizeni tree,30,8340.33017348
30,Populus fremontii,31,9608.27516415
31,Populus fremontii,32,9607.93292306
32,Populus fremontii,33,9579.24614758
33,Populus fremontii,34,9578.71495452
34,Populus fremontii,35,9578.27769508
35,Populus fremontii,36,9577.93438211
36,Populus fremontii,37,9550.60007968
37,Populus fremontii,38,9549.87881106
38,Populus fremontii,39,9549.25173665
39,Populus fremontii,40,9548.71887501
40,Populus fremontii,41,9548.28024191
41,Populus fremontii,42,9547.93585033
42,Populus fremontii,43,9522.34041652
43,Populus fremontii,44,9521.42796181
44,Populus fremontii,45,9520.60995189
45,Populus fremontii,46,9519.88641109
46,Populus fremontii,47,9519.25736095
