species,flag
a037,0
a038,0
a039,0
a040,0
a041,0
a042,0
a043,0
a044,0
a045,0
a046,0
a047,0
a048,0
a049,0
a050,0
a053,0
a002,0
a004,0
a005,0
a006,0
a007,0
a008,0
a009,0
a010,0
a011,0
a012,0
a013,0
a014,0
a015,0
a016,0
a017,0
a018,0
a019,0
a020,0
a021,0
a022,0
a023,0
a024,0
a025,0
a026,0
a027,0
a028,0
a029,0
a030,0
a031,0
a032,0
a033,0
a034,0
a035,0
a036,0
a054,0
a056,0
a057,0
a058,0
a059,0
a060,0
a061,0
a062,0
a063,0
a066,0
a067,0
a068,0
a070,0
a071,0
a073,0
a074,0
a075,0
a076,0
a003,0
a077,0
a078,0
a001,0
