species,flag
b107,0
b108,0
b148,0
b200,0
b211,0
b212,0
b213,0
b214,0
b215,0
b216,0
b217,0
b219,0
b220,0
b221,0
b229,0
b236,0
b241,0
b270,0
b271,0
b272,0
b274,0
b275,0
b082,0
b083,0
b094,0
b096,0
b097,0
b099,0
b100,0
b102,0
b106,0
b111,0
b119,0
b124,0
b144,0
b169,0
b185,0
b228,0
b255,0
b256,0
b116,0
b074,0
b076,0
b090,0
b093,0
b482,0
b483,0
b551,0
b553,0
b581,0
b629,0
b773,0
b110,0
b136,0
b181,0
b190,0
b196,0
b197,0
b199,0
b231,0
b235,0
b237,0
b239,0
b240,0
b254,0
b257,0
b350,0
b353,0
b356,0
b361,0
b495,0
b010,0
b103,0
b104,0
b105,0
b113,0
b381,0
b382,0
b386,0
b389,0
b390,0
b391,0
b485,0
b491,0
b537,0
b538,0
b539,0
b077,0
b079,0
b080,0
b084,0
b085,0
b101,0
b109,0
b121,0
b123,0
b150,0
b154,0
b158,0
b162,0
b164,0
b260,0
b262,0
b263,0
b264,0
b291,0
b292,0
b294,0
b352,0
b354,0
b355,0
b357,0
b370,0
b372,0
b373,0
b400,0
b493,0
b494,0
b496,0
b584,0
b603,0
b620,0
b277,0
b278,0
b279,0
b297,0
b298,0
b300,0
b301,0
b303,0
b304,0
b305,0
b307,0
b308,0
b315,0
b317,0
b377,0
b378,0
b380,0
b404,0
b426,0
b427,0
b428,0
b461,0
b394,0
b396,0
b399,0
b475,0
b476,0
b519,0
b520,0
b542,0
b543,0
b545,0
b546,0
b547,0
b549,0
b407,0
b409,0
b435,0
b437,0
b497,0
b499,0
b552,0
b554,0
b579,0
b580,0
b656,0
b259,0
b265,0
b293,0
b341,0
b351,0
b375,0
b417,0
b418,0
b425,0
b408,0
b410,0
b415,0
b436,0
b477,0
b062,0
b065,0
b067,0
b070,0
b165,0
b168,0
b234,0
b267,0
b268,0
b273,0
b281,0
b282,0
b286,0
b288,0
b289,0
b296,0
b311,0
b345,0
b358,0
b359,0
b360,0
b376,0
b467,0
b471,0
b484,0
b487,0
b489,0
b501,0
b550,0
b003,0
b006,0
b007,0
b008,0
b043,0
b044,0
b052,0
b053,0
b057,0
b058,0
b075,0
b140,0
b141,0
b143,0
b463,0
b798,0
b126,0
b127,0
b128,0
b129,0
b131,0
b132,0
b133,0
b134,0
b135,0
b145,0
b146,0
b166,0
b172,0
b173,0
b176,0
b177,0
b179,0
b469,0
b699,0
b002,0
b180,0
b226,0
b227,0
b243,0
b244,0
b247,0
b248,0
b250,0
b251,0
b252,0
b253,0
b333,0
b334,0
b337,0
b338,0
b339,0
b340,0
b346,0
b348,0
b349,0
b369,0
b117,0
b385,0
b393,0
b398,0
b514,0
b544,0
b548,0
b009,0
b042,0
b046,0
b047,0
b114,0
b115,0
b151,0
b156,0
b159,0
b183,0
b191,0
b193,0
b438,0
b460,0
b504,0
b505,0
b506,0
b509,0
b510,0
b512,0
b634,0
b648,0
b649,0
b655,0
b702,0
b125,0
b318,0
b319,0
b320,0
b321,0
b323,0
b324,0
b326,0
b328,0
b331,0
b342,0
b343,0
b362,0
b363,0
b364,0
b365,0
b366,0
b430,0
b799,0
b806,0
b809,0
b864,0
b001,0
b137,0
b149,0
b178,0
b367,0
b368,0
b411,0
b413,0
b414,0
b521,0
b522,0
b524,0
b525,0
b527,0
b528,0
b530,0
b532,0
b533,0
b534,0
b535,0
b536,0
b049,0
b050,0
b051,0
b059,0
b086,0
b087,0
b089,0
b091,0
b098,0
b138,0
b071,0
b072,0
b139,0
b163,0
b170,0
b233,0
b269,0
b287,0
b290,0
b344,0
b276,0
b299,0
b302,0
b306,0
b309,0
