species,flag
b154,0
b292,0
b293,0
b294,0
b297,0
b298,0
b299,0
b300,0
b304,0
b305,0
b306,0
b308,0
b311,0
b315,0
b317,0
b318,0
b319,0
b320,0
b324,0
b328,0
b339,0
b340,0
b342,0
b345,0
b349,0
b350,0
b351,0
b352,0
b354,0
b355,0
b356,0
b359,0
b361,0
b414,0
b417,0
b426,0
b427,0
b067,0
b070,0
b076,0
b079,0
b080,0
b082,0
b083,0
b084,0
b086,0
b087,0
b090,0
b091,0
b093,0
b101,0
b102,0
b103,0
b104,0
b105,0
b106,0
b110,0
b111,0
b074,0
b085,0
b094,0
b177,0
b178,0
b180,0
b181,0
b191,0
b196,0
b200,0
b212,0
b214,0
b215,0
b216,0
b220,0
b221,0
b226,0
b227,0
b228,0
b229,0
b231,0
b233,0
b234,0
b235,0
b236,0
b049,0
b050,0
b053,0
b059,0
b062,0
b237,0
b239,0
b240,0
b241,0
b243,0
b244,0
b247,0
b042,0
b046,0
b372,0
b373,0
b375,0
b378,0
b380,0
b381,0
b382,0
b385,0
b386,0
b390,0
b394,0
b396,0
b399,0
b400,0
b404,0
b413,0
b484,0
b485,0
b487,0
b491,0
b493,0
b494,0
b497,0
b499,0
b501,0
b504,0
b124,0
b127,0
b129,0
b134,0
b136,0
b139,0
b141,0
b144,0
b151,0
b553,0
b581,0
b584,0
b603,0
b655,0
b656,0
b009,0
b010,0
b043,0
b044,0
b047,0
b150,0
b156,0
b159,0
b164,0
b533,0
b534,0
b535,0
b536,0
b537,0
b538,0
b539,0
b542,0
b544,0
b546,0
b548,0
b549,0
b552,0
b286,0
b289,0
b290,0
b291,0
b362,0
b363,0
b364,0
b365,0
b370,0
b162,0
b165,0
b166,0
b168,0
b169,0
b170,0
b172,0
b173,0
b176,0
b179,0
b248,0
b251,0
b259,0
b260,0
b262,0
b264,0
b267,0
b268,0
b269,0
b270,0
b271,0
b272,0
b273,0
b274,0
b275,0
b276,0
b277,0
b279,0
b281,0
b282,0
b428,0
b430,0
b436,0
b437,0
b438,0
b461,0
b463,0
b471,0
b475,0
b482,0
b505,0
b506,0
b520,0
b522,0
b524,0
b530,0
b532,0
b001,0
b002,0
b003,0
b007,0
b113,0
b114,0
b117,0
b121,0
b126,0
b128,0
b131,0
b135,0
b137,0
b140,0
b143,0
