species,flag
m110,0
m113,0
m114,0
m132,0
m134,0
m138,0
m143,0
m147,0
m148,0
m154,0
m159,0
m164,0
m169,0
m182,0
m183,0
r005,0
r015,0
r025,0
r029,0
r035,0
r038,0
r041,0
r043,0
r044,0
r048,0
r055,0
r101,0
a009,0
a011,0
a018,0
a019,0
a020,0
a023,0
a026,0
a001,0
a003,0
a005,0
a031,0
a032,0
a033,0
a035,0
a040,0
a042,0
a043,0
a044,0
a045,0
a049,0
a057,0
a058,0
a059,0
a070,0
a078,0
m006,0
m010,0
m021,0
m026,0
m029,0
m037,0
m038,0
m043,0
m044,0
m052,0
m053,0
m066,0
m069,0
m080,0
m086,0
m097,0
m099,0
m106,0
m108,0
