species,flag
r031,0
r033,0
r034,0
r036,0
r037,0
r038,0
r039,0
r040,0
r041,0
r042,0
r043,0
r044,0
r045,0
r046,0
r047,0
r048,0
r074,0
r076,0
r077,0
r078,0
r079,0
r080,0
r029,0
r030,0
r032,0
r049,0
r050,0
r051,0
r059,0
r060,0
r061,0
r062,0
r063,0
r064,0
r075,0
r093,0
r094,0
r095,0
r100,0
r101,0
r102,0
r106,0
r108,0
r003,0
r006,0
r008,0
r009,0
r010,0
r011,0
r012,0
r013,0
r014,0
r015,0
r017,0
r018,0
r019,0
r020,0
r021,0
r022,0
r023,0
r024,0
r025,0
r026,0
r027,0
r028,0
r035,0
r052,0
r053,0
r054,0
r055,0
r056,0
r057,0
r058,0
r065,0
r066,0
r067,0
r068,0
r069,0
r070,0
r071,0
r072,0
r073,0
r105,0
r107,0
r002,0
r004,0
r005,0
r007,0
