,pointid,rid
0,1,1778091
1,2,1778091
2,3,1778091
3,4,1778091
4,5,1778091
5,6,1778091
6,7,1778091
7,8,1778091
8,9,1778091
9,10,1778091
10,11,1778091
11,12,1778091
12,13,1778091
13,14,1778091
14,15,1778091
15,16,1778091
16,17,1778091
17,18,1778091
18,19,1778091
19,20,1778091
20,21,1778141
21,22,1778141
22,23,1778141
23,24,1778141
24,25,1778141
25,26,1778141
26,27,1778141
27,28,1778141
28,29,1778141
29,30,1778141
30,31,1777948
31,32,1777948
32,33,1777948
33,34,1777948
34,35,1777948
35,36,1777948
36,37,1777948
37,38,1777948
38,39,1777948
39,40,1777948
40,41,1777948
41,42,1777948
42,43,1777947
43,44,1777947
44,45,1777948
45,46,1777948
46,47,1777948
47,48,1777948
48,49,1777948
49,50,1777948
50,51,1777947
51,52,1777947
52,53,1777947
53,54,1777947
54,55,1777948
55,56,1777948
56,57,1777948
57,58,1777948
58,59,1777948
59,60,1777948
60,61,1777947
61,62,1777947
62,63,1777947
63,64,1777947
64,65,1777947
65,66,1777947
66,67,1777948
67,68,1777948
68,69,1777948
69,70,1777948
70,71,1777948
71,72,1777948
72,73,1777997
73,74,1777997
74,75,1777997
75,76,1777997
76,77,1777997
77,78,1777997
78,79,1777997
79,80,1777997
80,81,1777998
81,82,1777998
82,83,1777998
83,84,1777998
84,85,1777998
85,86,1777998
86,87,1777997
87,88,1777997
88,89,1777997
89,90,1777997
90,91,1777997
91,92,1777997
92,93,1777997
93,94,1777997
94,95,1777997
95,96,1777997
96,97,1777997
97,98,1777998
98,99,1777998
99,100,1777998
100,101,1777998
101,102,1777998
102,103,1777998
103,104,1777997
104,105,1777997
105,106,1777997
106,107,1777997
107,108,1777997
108,109,1777997
109,110,1777997
110,111,1777997
111,112,1777997
112,113,1777997
113,114,1777997
114,115,1777997
115,116,1777997
116,117,1777998
117,118,1777998
118,119,1777998
119,120,1777998
120,121,1777998
121,122,1777998
122,123,1777997
123,124,1777997
124,125,1777997
125,126,1777997
126,127,1777997
127,128,1777997
128,129,1777997
129,130,1777997
130,131,1777997
131,132,1777997
132,133,1777997
133,134,1777997
134,135,1777997
135,136,1777997
136,137,1777997
137,138,1777998
138,139,1777998
139,140,1777998
140,141,1777998
141,142,1777998
142,143,1777998
143,144,1777997
144,145,1777997
145,146,1777997
146,147,1777997
147,148,1777997
148,149,1777997
149,150,1777997
150,151,1777997
151,152,1777997
152,153,1777997
153,154,1777997
154,155,1777997
155,156,1777997
156,157,1777997
157,158,1777997
158,159,1777997
159,160,1777997
160,161,1777998
161,162,1777998
162,163,1777998
163,164,1777998
164,165,1777998
165,166,1777998
166,167,1777997
167,168,1777997
168,169,1777997
169,170,1777997
170,171,1777997
171,172,1777997
172,173,1777997
173,174,1777997
174,175,1777997
175,176,1777997
176,177,1777997
177,178,1777997
178,179,1777997
179,180,1777997
180,181,1777997
181,182,1777997
182,183,1777997
183,184,1777997
184,185,1777997
185,186,1777998
186,187,1777998
187,188,1777998
188,189,1777998
189,190,1777998
190,191,1777998
191,192,1777996
192,193,1777997
193,194,1777997
194,195,1777997
195,196,1777997
196,197,1777997
197,198,1777997
198,199,1777997
199,200,1777997
200,201,1777997
201,202,1777997
202,203,1777997
203,204,1777997
204,205,1777997
205,206,1777997
206,207,1777997
207,208,1777997
208,209,1777997
209,210,1777997
210,211,1777997
211,212,1777997
212,213,1777998
213,214,1777998
