pointid,gridcode01,gridcode14
1,91,104
2,92,105
3,2,2
4,2,2
5,91,104
6,89,100
7,2,2
8,2,2
9,89,100
10,2,2
11,91,104
12,91,104
13,89,100
14,89,100
15,89,100
16,89,100
17,2,2
18,91,104
19,2,2
20,2,2
21,93,106
22,89,100
23,89,100
24,89,100
25,89,100
26,89,100
27,89,100
28,2,2
29,93,106
30,91,104
31,27,27
32,26,25
33,2,2
34,2,2
35,27,27
36,26,25
37,2,2
38,2,2
39,2,2
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,2,2
57,2,2
58,2,2
59,2,2
60,2,2
61,2,2
62,2,2
63,2,2
64,2,2
65,2,2
66,2,2
67,2,2
68,2,2
69,2,2
70,2,2
71,2,2
72,2,2
73,26,25
74,2,2
75,2,2
76,2,2
77,2,2
78,2,2
79,2,2
80,2,2
81,2,2
82,2,2
83,2,2
84,2,2
85,2,2
86,2,2
87,26,25
88,26,25
89,26,25
90,26,25
91,2,2
92,2,2
93,2,2
94,2,2
95,2,2
96,2,2
97,2,2
98,2,2
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,26,25
105,26,25
106,26,25
107,26,25
108,26,25
109,26,25
110,40,45
111,2,2
112,2,2
113,2,2
114,2,2
115,2,2
116,2,2
117,2,2
118,2,2
119,2,2
120,2,2
121,2,2
122,2,2
123,26,25
124,26,25
125,26,25
126,26,25
127,26,25
128,26,25
129,26,25
130,26,25
131,2,2
132,2,2
133,28,28
134,28,28
135,2,2
136,2,2
137,2,2
138,2,2
139,2,2
140,2,2
141,2,2
142,2,2
143,2,2
144,2,2
145,2,2
146,26,25
147,26,25
148,26,25
149,40,45
150,26,25
151,26,25
152,26,25
153,26,25
154,2,2
155,28,28
156,28,28
157,28,28
158,28,28
159,2,2
160,2,2
161,2,2
162,2,2
163,2,2
164,2,2
165,2,2
166,2,2
167,29,29
168,2,2
169,2,2
170,2,2
171,8,6
172,26,25
173,26,25
174,26,25
175,26,25
176,26,25
177,26,25
178,26,25
179,2,2
180,26,25
181,2,2
182,28,28
183,28,28
184,2,2
185,2,2
186,2,2
187,2,2
188,2,2
189,2,2
190,2,2
191,26,25
192,42,48
193,26,25
194,26,25
195,2,2
196,2,2
197,2,2
198,2,2
199,2,2
200,2,2
201,26,25
202,26,25
203,26,25
204,26,25
205,26,25
206,28,28
207,26,25
208,2,2
209,2,2
210,2,2
211,2,2
212,2,2
213,2,2
214,2,2
215,2,2
216,2,2
217,2,2
218,2,2
219,42,48
220,44,50
221,42,48
222,26,25
223,26,25
224,26,25
225,2,2
226,2,2
227,2,2
228,2,2
229,2,2
230,2,2
231,26,25
232,26,25
233,26,25
234,26,25
235,29,29
236,26,25
237,26,25
238,2,2
239,2,2
240,2,2
241,2,2
242,2,2
243,2,2
244,2,2
245,2,2
246,2,2
247,2,2
248,2,2
249,35,51
250,42,48
251,42,48
252,44,50
253,26,25
254,26,25
255,26,25
256,26,25
257,2,2
258,2,2
259,2,2
260,26,25
261,45,52
262,42,48
263,45,52
264,42,48
265,42,48
266,26,25
267,26,25
268,26,25
269,2,2
270,24,22
271,2,2
272,2,2
273,2,2
274,2,2
275,2,2
276,2,2
277,2,2
278,40,45
279,2,2
280,2,2
281,2,2
282,8,6
283,44,50
284,45,52
285,45,52
286,27,27
287,27,27
288,26,25
289,2,2
290,2,2
291,2,2
292,26,25
293,42,48
294,42,48
295,42,48
296,45,52
297,42,48
298,48,55
299,28,28
300,27,27
301,26,25
302,26,25
303,28,28
304,27,27
305,2,2
306,2,2
307,2,2
308,2,2
309,2,2
310,2,2
311,26,25
312,2,2
313,2,2
314,8,6
315,2,2
316,2,2
317,2,2
318,26,25
319,42,48
320,42,48
321,45,52
322,27,27
323,40,45
324,2,2
325,2,2
326,2,2
327,26,25
328,42,48
329,42,48
330,42,48
331,45,57
332,48,55
333,48,55
334,28,28
335,27,27
336,26,25
337,29,29
338,28,28
339,26,25
340,2,2
341,2,2
342,2,2
343,2,2
344,2,2
345,2,2
346,26,25
347,2,2
348,8,6
349,2,2
350,2,2
351,2,2
352,2,2
353,2,2
354,2,2
355,26,25
356,42,48
357,45,52
358,45,52
359,27,27
360,27,27
361,26,25
362,2,2
363,2,2
364,2,2
365,45,52
366,45,52
367,52,60
368,52,61
369,53,62
370,48,55
371,28,28
372,27,27
373,26,25
374,28,28
375,26,25
376,26,25
377,2,2
378,2,2
379,2,2
380,2,2
381,26,25
382,26,25
383,26,25
384,56,65
385,28,28
386,8,6
387,8,6
388,2,2
389,2,2
390,2,2
391,2,2
392,2,2
393,8,6
394,8,6
395,44,50
396,42,48
397,45,52
398,27,27
399,27,27
400,28,28
401,2,2
402,2,2
403,2,2
404,2,2
405,45,52
406,52,61
407,52,61
408,42,48
409,53,62
410,42,48
411,27,27
412,27,27
413,28,28
414,27,27
415,29,29
416,2,2
417,2,2
418,2,2
419,2,2
420,2,2
421,26,25
422,26,25
423,2,2
424,8,6
425,28,28
426,28,28
427,28,28
428,28,28
429,28,28
430,2,2
431,2,2
432,2,2
433,2,2
434,2,2
435,2,2
436,3,3
437,42,48
438,42,48
439,45,52
440,53,62
441,42,48
442,1,1
443,2,2
444,2,2
445,2,2
446,45,52
447,52,61
448,42,48
449,45,52
450,45,52
451,45,52
452,26,25
453,27,27
454,46,53
455,27,27
456,26,25
457,2,2
458,2,2
459,2,2
460,2,2
461,28,28
462,27,27
463,26,25
464,28,28
465,56,65
466,8,6
467,8,6
468,8,6
469,8,6
470,28,28
471,28,28
472,2,2
473,2,2
474,2,2
475,2,2
476,2,2
477,2,2
478,2,2
479,8,6
480,57,66
481,42,48
482,45,52
483,45,52
484,45,52
485,42,48
486,2,2
487,2,2
488,40,45
489,42,48
490,45,52
491,42,48
492,42,48
493,45,52
494,45,52
495,27,27
496,27,27
497,46,53
498,27,27
499,2,2
500,26,25
501,26,25
502,2,2
503,26,25
504,40,45
505,27,27
506,26,25
507,2,2
508,28,28
509,28,28
510,28,28
511,8,6
512,8,6
513,8,6
514,8,6
515,8,6
516,2,2
517,8,6
518,8,6
519,8,6
520,2,2
521,2,2
522,2,2
523,2,2
524,8,6
525,3,3
526,44,50
527,44,50
528,45,52
529,52,61
530,45,52
531,42,48
532,45,52
533,45,52
534,52,61
535,45,52
536,45,52
537,45,52
538,45,52
539,45,52
540,45,52
541,26,25
542,26,25
543,42,48
544,2,2
545,26,25
546,26,25
547,26,25
548,26,25
549,26,25
550,26,25
551,26,25
552,2,2
553,2,2
554,2,2
555,2,2
556,2,2
557,28,28
558,28,28
559,8,6
560,2,2
561,8,6
562,8,6
563,8,6
564,8,6
565,8,6
566,8,6
567,8,6
568,8,6
569,2,2
570,8,6
571,13,10
572,3,3
573,3,3
574,26,25
575,45,52
576,45,52
577,45,52
578,45,52
579,45,52
580,45,52
581,45,52
582,42,48
583,45,52
584,42,48
585,42,48
586,48,55
587,45,52
588,42,48
589,45,52
590,45,52
591,26,25
592,26,25
593,28,28
594,26,25
595,40,45
596,26,25
597,26,25
598,26,25
599,2,2
600,2,2
601,2,2
602,2,2
603,2,2
604,2,2
605,2,2
606,2,2
607,28,28
608,28,28
609,28,28
610,28,28
611,8,6
612,8,6
613,56,65
614,8,6
615,15,7
616,8,6
617,56,65
618,56,65
619,2,2
620,2,2
621,2,2
622,2,2
623,8,6
624,26,25
625,42,48
626,45,52
627,42,48
628,45,52
629,52,61
630,1,1
631,21,21
632,21,21
633,59,68
634,42,48
635,42,48
636,48,55
637,42,48
638,45,52
639,45,52
640,26,25
641,26,25
642,26,25
643,26,25
644,26,25
645,28,28
646,28,28
647,28,28
648,2,2
649,2,2
650,2,2
651,2,2
652,2,2
653,2,2
654,2,2
655,2,2
656,2,2
657,2,2
658,2,2
659,2,2
660,2,2
661,28,28
662,28,28
663,28,28
664,28,28
665,28,28
666,28,28
667,56,65
668,28,28
669,28,28
670,2,2
671,2,2
672,2,2
673,2,2
674,2,2
675,2,2
676,45,52
677,60,69
678,26,25
679,27,27
680,26,25
681,2,2
682,21,21
683,21,21
684,21,21
685,42,48
686,42,48
687,42,48
688,42,48
689,45,52
690,52,61
691,26,25
692,26,25
693,26,25
694,26,25
695,26,25
