,pointid,ci_score,poll_score,popchar_score
0,1,32.16,6.96,4.62
1,2,43.95,7.09,6.2
2,3,32.16,6.96,4.62
3,4,43.95,7.09,6.2
4,5,43.95,7.09,6.2
5,6,43.95,7.09,6.2
6,7,32.16,6.96,4.62
7,8,43.95,7.09,6.2
8,9,43.95,7.09,6.2
9,10,43.95,7.09,6.2
10,11,43.95,7.09,6.2
11,12,43.95,7.09,6.2
12,13,32.16,6.96,4.62
13,14,43.95,7.09,6.2
14,15,43.95,7.09,6.2
15,16,43.95,7.09,6.2
16,17,43.95,7.09,6.2
17,18,43.95,7.09,6.2
18,19,43.95,7.09,6.2
19,20,43.95,7.09,6.2
20,21,32.16,6.96,4.62
21,22,43.95,7.09,6.2
22,23,43.95,7.09,6.2
23,24,43.95,7.09,6.2
24,25,43.95,7.09,6.2
25,26,43.95,7.09,6.2
26,27,43.95,7.09,6.2
27,28,43.95,7.09,6.2
28,29,43.95,7.09,6.2
29,30,43.95,7.09,6.2
30,31,43.95,7.09,6.2
31,32,43.95,7.09,6.2
32,33,43.95,7.09,6.2
33,34,43.95,7.09,6.2
34,35,43.95,7.09,6.2
35,36,43.95,7.09,6.2
36,37,43.95,7.09,6.2
37,38,43.95,7.09,6.2
38,39,43.95,7.09,6.2
39,40,43.95,7.09,6.2
40,41,43.95,7.09,6.2
41,42,43.95,7.09,6.2
42,43,43.95,7.09,6.2
43,44,43.95,7.09,6.2
44,45,43.95,7.09,6.2
45,46,43.95,7.09,6.2
46,47,43.95,7.09,6.2
47,48,43.95,7.09,6.2
48,49,43.95,7.09,6.2
49,50,43.95,7.09,6.2
50,51,43.95,7.09,6.2
51,52,43.95,7.09,6.2
52,53,43.95,7.09,6.2
53,54,43.95,7.09,6.2
54,55,43.95,7.09,6.2
55,56,43.95,7.09,6.2
56,57,43.95,7.09,6.2
57,58,43.95,7.09,6.2
58,59,43.95,7.09,6.2
59,60,43.95,7.09,6.2
60,61,43.95,7.09,6.2
61,62,43.95,7.09,6.2
62,63,43.95,7.09,6.2
63,64,43.95,7.09,6.2
64,65,43.95,7.09,6.2
65,66,43.95,7.09,6.2
66,67,43.95,7.09,6.2
67,68,43.95,7.09,6.2
68,69,43.95,7.09,6.2
69,70,43.95,7.09,6.2
70,71,43.95,7.09,6.2
71,72,43.95,7.09,6.2
72,73,43.95,7.09,6.2
73,74,43.95,7.09,6.2
74,75,43.95,7.09,6.2
75,76,43.95,7.09,6.2
76,77,43.95,7.09,6.2
77,78,43.95,7.09,6.2
78,79,43.95,7.09,6.2
79,80,43.95,7.09,6.2
80,81,43.95,7.09,6.2
81,82,43.95,7.09,6.2
82,83,43.95,7.09,6.2
83,84,43.95,7.09,6.2
84,85,43.95,7.09,6.2
85,86,43.95,7.09,6.2
86,87,32.16,6.96,4.62
87,88,43.95,7.09,6.2
88,89,43.95,7.09,6.2
89,90,43.95,7.09,6.2
90,91,43.95,7.09,6.2
91,92,43.95,7.09,6.2
92,93,43.95,7.09,6.2
93,94,43.95,7.09,6.2
94,95,43.95,7.09,6.2
95,96,43.95,7.09,6.2
96,97,43.95,7.09,6.2
97,98,43.95,7.09,6.2
98,99,43.95,7.09,6.2
99,100,43.95,7.09,6.2
100,101,43.95,7.09,6.2
101,102,43.95,7.09,6.2
102,103,43.95,7.09,6.2
103,104,32.16,6.96,4.62
104,105,43.95,7.09,6.2
105,106,43.95,7.09,6.2
106,107,43.95,7.09,6.2
107,108,43.95,7.09,6.2
108,109,43.95,7.09,6.2
109,110,43.95,7.09,6.2
110,111,43.95,7.09,6.2
111,112,43.95,7.09,6.2
112,113,43.95,7.09,6.2
113,114,43.95,7.09,6.2
114,115,43.95,7.09,6.2
115,116,43.95,7.09,6.2
116,117,43.95,7.09,6.2
117,118,43.95,7.09,6.2
118,119,43.95,7.09,6.2
119,120,43.95,7.09,6.2
120,121,43.95,7.09,6.2
121,122,43.95,7.09,6.2
122,123,32.16,6.96,4.62
123,124,43.95,7.09,6.2
124,125,43.95,7.09,6.2
125,126,43.95,7.09,6.2
126,127,43.95,7.09,6.2
127,128,43.95,7.09,6.2
128,129,43.95,7.09,6.2
129,130,43.95,7.09,6.2
130,131,43.95,7.09,6.2
131,132,43.95,7.09,6.2
132,133,43.95,7.09,6.2
133,134,43.95,7.09,6.2
134,135,43.95,7.09,6.2
135,136,43.95,7.09,6.2
136,137,43.95,7.09,6.2
137,138,43.95,7.09,6.2
138,139,43.95,7.09,6.2
139,140,43.95,7.09,6.2
140,141,43.95,7.09,6.2
141,142,43.95,7.09,6.2
142,143,43.95,7.09,6.2
143,144,32.16,6.96,4.62
144,145,43.95,7.09,6.2
145,146,43.95,7.09,6.2
146,147,43.95,7.09,6.2
147,148,43.95,7.09,6.2
148,149,43.95,7.09,6.2
149,150,43.95,7.09,6.2
150,151,43.95,7.09,6.2
151,152,43.95,7.09,6.2
152,153,43.95,7.09,6.2
153,154,43.95,7.09,6.2
154,155,43.95,7.09,6.2
155,156,43.95,7.09,6.2
156,157,43.95,7.09,6.2
157,158,43.95,7.09,6.2
158,159,43.95,7.09,6.2
159,160,43.95,7.09,6.2
160,161,43.95,7.09,6.2
161,162,43.95,7.09,6.2
162,163,43.95,7.09,6.2
163,164,43.95,7.09,6.2
164,165,43.95,7.09,6.2
165,166,43.95,7.09,6.2
166,167,32.16,6.96,4.62
167,168,43.95,7.09,6.2
168,169,43.95,7.09,6.2
169,170,43.95,7.09,6.2
170,171,43.95,7.09,6.2
171,172,43.95,7.09,6.2
172,173,43.95,7.09,6.2
173,174,43.95,7.09,6.2
174,175,43.95,7.09,6.2
175,176,43.95,7.09,6.2
176,177,43.95,7.09,6.2
177,178,43.95,7.09,6.2
178,179,43.95,7.09,6.2
179,180,43.95,7.09,6.2
180,181,43.95,7.09,6.2
181,182,43.95,7.09,6.2
182,183,43.95,7.09,6.2
183,184,43.95,7.09,6.2
184,185,43.95,7.09,6.2
185,186,43.95,7.09,6.2
186,187,43.95,7.09,6.2
187,188,43.95,7.09,6.2
188,189,43.95,7.09,6.2
189,190,43.95,7.09,6.2
190,191,43.95,7.09,6.2
191,192,,,
192,193,43.95,7.09,6.2
193,194,43.95,7.09,6.2
194,195,43.95,7.09,6.2
195,196,43.95,7.09,6.2
196,197,43.95,7.09,6.2
197,198,43.95,7.09,6.2
198,199,43.95,7.09,6.2
199,200,43.95,7.09,6.2
200,201,43.95,7.09,6.2
201,202,43.95,7.09,6.2
202,203,43.95,7.09,6.2
203,204,43.95,7.09,6.2
204,205,43.95,7.09,6.2
205,206,43.95,7.09,6.2
206,207,43.95,7.09,6.2
207,208,43.95,7.09,6.2
208,209,43.95,7.09,6.2
209,210,43.95,7.09,6.2
210,211,43.95,7.09,6.2
211,212,43.95,7.09,6.2
212,213,43.95,7.09,6.2
213,214,43.95,7.09,6.2
214,215,43.95,7.09,6.2
215,216,43.95,7.09,6.2
216,217,43.95,7.09,6.2
217,218,43.95,7.09,6.2
218,219,,,
219,220,43.95,7.09,6.2
220,221,43.95,7.09,6.2
221,222,43.95,7.09,6.2
222,223,43.95,7.09,6.2
223,224,43.95,7.09,6.2
224,225,43.95,7.09,6.2
225,226,43.95,7.09,6.2
226,227,43.95,7.09,6.2
227,228,43.95,7.09,6.2
228,229,43.95,7.09,6.2
229,230,43.95,7.09,6.2
230,231,43.95,7.09,6.2
231,232,43.95,7.09,6.2
232,233,43.95,7.09,6.2
233,234,43.95,7.09,6.2
234,235,43.95,7.09,6.2
235,236,43.95,7.09,6.2
236,237,43.95,7.09,6.2
237,238,43.95,7.09,6.2
238,239,43.95,7.09,6.2
239,240,43.95,7.09,6.2
240,241,43.95,7.09,6.2
241,242,43.95,7.09,6.2
242,243,43.95,7.09,6.2
243,244,43.95,7.09,6.2
