,pointid,huc12_val
0,1,Peaslee Creek-Tuolumne River
1,2,Peaslee Creek-Tuolumne River
2,3,Peaslee Creek-Tuolumne River
3,4,Peaslee Creek-Tuolumne River
4,5,Peaslee Creek-Tuolumne River
5,6,Peaslee Creek-Tuolumne River
6,7,Peaslee Creek-Tuolumne River
7,8,Peaslee Creek-Tuolumne River
8,9,Peaslee Creek-Tuolumne River
9,10,Peaslee Creek-Tuolumne River
10,11,Peaslee Creek-Tuolumne River
11,12,Peaslee Creek-Tuolumne River
12,13,Peaslee Creek-Tuolumne River
13,14,Peaslee Creek-Tuolumne River
14,15,Peaslee Creek-Tuolumne River
15,16,Peaslee Creek-Tuolumne River
16,17,Peaslee Creek-Tuolumne River
17,18,Peaslee Creek-Tuolumne River
18,19,Peaslee Creek-Tuolumne River
19,20,Peaslee Creek-Tuolumne River
20,21,Peaslee Creek-Tuolumne River
21,22,Peaslee Creek-Tuolumne River
22,23,Peaslee Creek-Tuolumne River
23,24,Peaslee Creek-Tuolumne River
24,25,Peaslee Creek-Tuolumne River
25,26,Peaslee Creek-Tuolumne River
26,27,Peaslee Creek-Tuolumne River
27,28,Peaslee Creek-Tuolumne River
28,29,Peaslee Creek-Tuolumne River
29,30,Peaslee Creek-Tuolumne River
30,31,Middle Dry Creek
31,32,Middle Dry Creek
32,33,Middle Dry Creek
33,34,Middle Dry Creek
34,35,Middle Dry Creek
35,36,Middle Dry Creek
36,37,Middle Dry Creek
37,38,Middle Dry Creek
38,39,Middle Dry Creek
39,40,Middle Dry Creek
40,41,Middle Dry Creek
41,42,Middle Dry Creek
42,43,Middle Dry Creek
43,44,Middle Dry Creek
44,45,Middle Dry Creek
45,46,Middle Dry Creek
46,47,Middle Dry Creek
47,48,Middle Dry Creek
48,49,Middle Dry Creek
49,50,Middle Dry Creek
50,51,Middle Dry Creek
51,52,Middle Dry Creek
52,53,Middle Dry Creek
53,54,Middle Dry Creek
54,55,Middle Dry Creek
55,56,Middle Dry Creek
56,57,Middle Dry Creek
57,58,Middle Dry Creek
58,59,Middle Dry Creek
59,60,Middle Dry Creek
60,61,Middle Dry Creek
61,62,Middle Dry Creek
62,63,Middle Dry Creek
63,64,Middle Dry Creek
64,65,Middle Dry Creek
65,66,Middle Dry Creek
66,67,Middle Dry Creek
67,68,Middle Dry Creek
68,69,Middle Dry Creek
69,70,Middle Dry Creek
70,71,Middle Dry Creek
71,72,Middle Dry Creek
72,73,Middle Dry Creek
73,74,Middle Dry Creek
74,75,Middle Dry Creek
75,76,Middle Dry Creek
76,77,Middle Dry Creek
77,78,Middle Dry Creek
78,79,Middle Dry Creek
79,80,Middle Dry Creek
80,81,Middle Dry Creek
81,82,Middle Dry Creek
82,83,Middle Dry Creek
83,84,Middle Dry Creek
84,85,Middle Dry Creek
85,86,Middle Dry Creek
86,87,Middle Dry Creek
87,88,Middle Dry Creek
88,89,Middle Dry Creek
89,90,Middle Dry Creek
90,91,Middle Dry Creek
91,92,Middle Dry Creek
92,93,Middle Dry Creek
93,94,Middle Dry Creek
94,95,Middle Dry Creek
95,96,Middle Dry Creek
96,97,Middle Dry Creek
97,98,Middle Dry Creek
98,99,Middle Dry Creek
99,100,Middle Dry Creek
100,101,Middle Dry Creek
101,102,Middle Dry Creek
102,103,Middle Dry Creek
103,104,Middle Dry Creek
104,105,Middle Dry Creek
