,pointid,nlcd_val
0,1,71
1,2,71
2,3,71
3,4,71
4,5,71
5,6,71
6,7,71
7,8,71
8,9,71
9,10,71
10,11,71
11,12,71
12,13,71
13,14,71
14,15,71
15,16,71
16,17,71
17,18,71
18,19,71
19,20,71
20,21,71
21,22,71
22,23,71
23,24,71
24,25,71
25,26,71
26,27,71
27,28,71
28,29,71
29,30,71
30,31,71
31,32,71
32,33,71
33,34,71
34,35,71
35,36,71
36,37,71
37,38,71
38,39,71
39,40,71
40,41,71
41,42,71
42,43,71
43,44,71
44,45,71
45,46,71
46,47,71
47,48,71
48,49,71
49,50,71
50,51,71
51,52,71
52,53,71
53,54,71
54,55,71
55,56,71
56,57,71
57,58,71
58,59,71
59,60,71
60,61,71
61,62,71
62,63,71
63,64,71
64,65,71
65,66,71
66,67,71
67,68,71
68,69,71
69,70,71
70,71,71
71,72,71
72,73,71
73,74,71
74,75,71
75,76,71
76,77,71
77,78,71
78,79,71
79,80,71
80,81,71
81,82,71
82,83,71
83,84,71
84,85,71
85,86,71
86,87,71
87,88,71
88,89,71
89,90,71
90,91,71
91,92,71
92,93,71
93,94,71
94,95,71
95,96,71
96,97,71
97,98,71
98,99,71
99,100,71
100,101,71
101,102,71
102,103,71
103,104,71
104,105,71
105,106,71
106,107,71
107,108,71
108,109,71
109,110,71
110,111,71
111,112,71
112,113,71
113,114,71
114,115,71
115,116,71
116,117,71
117,118,71
118,119,71
119,120,71
120,121,71
121,122,71
122,123,71
123,124,71
124,125,71
125,126,71
126,127,71
127,128,71
128,129,71
129,130,71
130,131,71
131,132,71
132,133,71
133,134,71
134,135,71
135,136,71
136,137,71
137,138,71
138,139,71
139,140,71
140,141,71
141,142,71
142,143,71
143,144,71
144,145,71
145,146,71
146,147,71
147,148,71
148,149,71
149,150,71
150,151,71
151,152,71
152,153,71
153,154,71
154,155,71
155,156,71
156,157,71
157,158,71
158,159,71
159,160,71
160,161,71
161,162,71
162,163,71
163,164,71
164,165,71
165,166,71
166,167,71
167,168,71
168,169,71
169,170,71
170,171,71
171,172,71
172,173,71
173,174,71
174,175,71
175,176,71
176,177,71
177,178,71
178,179,71
179,180,71
180,181,71
181,182,71
182,183,71
183,184,71
184,185,71
185,186,71
186,187,71
187,188,71
188,189,71
189,190,71
190,191,71
191,192,71
192,193,71
193,194,71
194,195,71
195,196,71
196,197,71
197,198,71
198,199,71
199,200,71
200,201,71
201,202,71
202,203,71
203,204,71
204,205,71
205,206,71
206,207,71
207,208,71
208,209,71
209,210,71
210,211,71
211,212,71
212,213,71
213,214,71
214,215,71
215,216,71
216,217,71
217,218,71
218,219,71
219,220,71
220,221,71
221,222,71
222,223,71
223,224,71
224,225,71
225,226,71
226,227,71
227,228,71
228,229,71
229,230,71
230,231,71
231,232,71
232,233,71
233,234,71
234,235,71
235,236,71
236,237,71
237,238,71
238,239,71
239,240,71
240,241,71
241,242,71
242,243,71
243,244,71
244,245,71
245,246,71
246,247,71
247,248,71
248,249,71
249,250,71
250,251,71
251,252,71
252,253,71
253,254,71
254,255,71
255,256,71
256,257,71
257,258,71
258,259,71
259,260,71
260,261,71
261,262,71
262,263,71
263,264,71
264,265,71
265,266,71
266,267,71
267,268,71
268,269,71
269,270,71
270,271,71
271,272,71
272,273,71
273,274,71
274,275,71
275,276,71
276,277,71
277,278,71
278,279,71
279,280,71
280,281,71
281,282,71
282,283,71
283,284,71
284,285,71
285,286,71
286,287,71
287,288,71
288,289,71
289,290,71
290,291,71
291,292,71
292,293,71
293,294,71
294,295,71
295,296,71
296,297,71
297,298,71
298,299,71
299,300,71
300,301,71
301,302,71
302,303,71
303,304,71
304,305,71
305,306,71
306,307,71
307,308,71
308,309,71
309,310,71
310,311,71
311,312,71
312,313,71
313,314,71
314,315,71
315,316,71
316,317,71
317,318,71
318,319,71
319,320,71
320,321,71
321,322,71
322,323,71
323,324,71
324,325,71
325,326,71
326,327,71
327,328,71
328,329,71
329,330,71
330,331,71
331,332,71
332,333,71
333,334,71
334,335,71
335,336,71
336,337,71
337,338,71
338,339,71
339,340,71
340,341,71
341,342,71
342,343,71
343,344,71
344,345,71
345,346,71
346,347,71
347,348,71
348,349,71
349,350,71
350,351,71
351,352,71
352,353,71
353,354,71
354,355,71
355,356,71
356,357,71
357,358,71
358,359,71
359,360,71
360,361,71
361,362,71
362,363,71
363,364,71
364,365,71
365,366,71
366,367,71
367,368,71
